@relation problem

@attribute domain string
@attribute task_name string
@attribute requirements numeric
@attribute types numeric
@attribute objects numeric
@attribute predicates numeric
@attribute functions numeric
@attribute init numeric
@attribute goal numeric
@attribute actions numeric
@attribute axioms numeric
@attribute use_min_cost_metric numeric
@attribute generated_rules numeric
@attribute relevant_atoms numeric
@attribute auxiliary_atoms numeric
@attribute final_queue_length numeric
@attribute total_queue_pushes numeric
@attribute implied_effects_removed numeric
@attribute effect_conditions_simplified numeric
@attribute implied_preconditions_added numeric
@attribute translator_variables numeric
@attribute translator_derived_variables numeric
@attribute translator_facts numeric
@attribute translator_mutex_groups numeric
@attribute translator_total_mutex_groups_size numeric
@attribute translator_operators numeric
@attribute translator_task_size numeric
@attribute numberVariablesCG numeric
@attribute highLevelVariablesCG numeric
@attribute totalEdgesCG numeric
@attribute totalWeightCG numeric
@attribute veRatio numeric
@attribute weRatio numeric
@attribute wvRatio numeric
@attribute hvRatio numeric
@attribute inputEdgeCGMax numeric
@attribute inputEdgeCGAvg numeric
@attribute inputEdgeCGStd numeric
@attribute outputEdgeCGMax numeric
@attribute outputEdgeCGAvg numeric
@attribute outputEdgeCGStd numeric
@attribute inputWeightCGMax numeric
@attribute inputWeightCGAvg numeric
@attribute inputWeightCGStd numeric
@attribute outputWeightCGMax numeric
@attribute outputWeightCGAvg numeric
@attribute outputWeightCGStd numeric
@attribute inputEdgeHVMax numeric
@attribute inputEdgeHVAvg numeric
@attribute inputEdgeHVStd numeric
@attribute outputEdgeHVMax numeric
@attribute outputEdgeHVAvg numeric
@attribute outputEdgeHVStd numeric
@attribute inputWeightHVMax numeric
@attribute inputWeightHVAvg numeric
@attribute inputWeightHVStd numeric
@attribute outputWeightHVMax numeric
@attribute outputWeightHVAvg numeric
@attribute outputWeightHVStd numeric
@attribute numberVariablesDTG numeric
@attribute totalEdgesDTG numeric
@attribute totalWeigthDTG numeric
@attribute edVaRatioDTG numeric
@attribute weEdRatioDTG numeric
@attribute weVaRatioDTG numeric
@attribute inputEdgeDTGMax numeric
@attribute inputEdgeDTGAvg numeric
@attribute inputEdgeDTGStd numeric
@attribute outputEdgeDTGMax numeric
@attribute outputEdgeDTGAvg numeric
@attribute outputEdgeDTGStd numeric
@attribute inputWeightDTGMax numeric
@attribute inputWeightDTGAvg numeric
@attribute inputWeightDTGStd numeric
@attribute outputWeightDTGMax numeric
@attribute outputWeightDTGAvg numeric
@attribute outputWeightDTGStd numeric
@attribute no numeric
@attribute file string
@attribute num_relevant_facts numeric
@attribute num_actions numeric
@attribute h_max numeric
@attribute h_ff numeric
@attribute h_ff_ratio numeric
@attribute rp_fact_balance_min numeric
@attribute rp_fact_balance_avg numeric
@attribute rp_fact_balance_var numeric
@attribute rp_goal_balance_min numeric
@attribute rp_goal_balance_avg numeric
@attribute rp_goal_balance_var numeric
@attribute balance_Ratio numeric
@attribute Unbalance_Ratio numeric
@attribute Balance_Distorsion numeric
@attribute Additive numeric
@attribute Blind numeric
@attribute Causal_graph numeric
@attribute Context-enhanced_additive numeric
@attribute FF numeric
@attribute Goal_count numeric
@attribute Landmark_count numeric
@attribute Landmark-cut numeric
@attribute Max numeric
@attribute n_landmarks numeric
@attribute numberEdges numeric
@attribute edVaratioLand numeric
@attribute numberFatherNodes numeric
@attribute numberChildrenNodes numeric
@attribute nodosbetween numeric
@attribute avginput numeric
@attribute maxinput numeric
@attribute stdinput numeric
@attribute avgoutput numeric
@attribute maxoutput numeric
@attribute stdoutput numeric
@attribute blackVariables numeric
@attribute blackRootVariables numeric
@attribute redBlackVariables numeric
@attribute allpairsvaluesconnected numeric
@attribute allvaluesconnectedgoal numeric
@attribute blackstronglpyarents numeric
@attribute Maximaleffectsblack  numeric
@attribute Hred-black numeric
@attribute  nameDomain2 string
@attribute  nameFile2 string
@data

upp,printjob,2,8,47,12,1,37,24,23,0,1,212,444,536,980,1232,0,81,0,82,0,228,4,72,137,1276,50,24, 362, 881, 0.138122, 2.4337, 17.62, 0.48, 24, 4.5, 4.82597, 20, 4.5, 4.83839, 128, 17.62, 23.4426,68, 12.92, 17.4389, 5, 0.88, 1.55743, 18, 5.18, 7.02194, 26, 4.48, 8.16392, 18, 5.18,7.02194,160, 168, 510, 0.329412, 0.952381, 1, 16, 0.832941, 0, 14, 0.832941, 0, 39, 1.26235,0.0692965, 31,1.26235, 0,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/parcprinter-strips08/problems/p04.pddl, 150, 137, 11, 37, 3.363636, -2, 0.160000, 0.674092, 0, 0.625000, 0.695971, 13.321168, 0.350365, 54,204,1,174,184,39,12,43,27,11,83,361,4.3494,36,20,27,4.3494,23,6.16441,4.3494,37,7.54983,?,?,?,?,?,?,?,39,allfeatures-parcprinter-strips08,all-p04.pddl
upp,printjob,2,8,45,12,1,29,18,23,0,1,212,271,299,570,624,0,10,0,38,0,106,3,36,43,425,25,9, 118, 168, 0.211864, 1.42373, 6.72, 0.36, 9, 3.28, 2.63089, 12, 3.28, 3.30478, 27, 6.72, 6.03006,22, 5.28, 6.45303, 3, 0.36, 0.974885, 4, 1.28, 1.75545, 9, 1.08, 2.92465, 4, 1.28,1.75545,77, 61, 157, 0.388535, 1.2623, 1, 9, 0.630909, 0.096, 9, 0.630909, 0.096, 18, 0.810909,0.096, 18,0.810909, 0.096,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/parcprinter-strips08/problems/p03.pddl, 71, 43, 10, 25, 2.500000, -2, 0.295775, 0.811786, 1, 1.333333, 0.471404, 7.255815, 0.418605, 27,132,1,114,120,27,9,35,22,10,58,395,6.81034,23,6,29,6.81034,29,8.42615,6.81034,37,7.68115,?,?,?,?,?,?,?,27,allfeatures-parcprinter-strips08,all-p03.pddl
etipp,printjob,2,8,35,12,1,37,24,23,0,1,211,378,558,936,1220,0,81,0,72,0,184,4,48,141,1201,44,24, 309, 801, 0.142395, 2.59223, 18.2045, 0.545455, 24, 4.15909, 4.88012, 14, 4.15909, 3.3025, 96, 18.2045, 20.5466,68, 14.3864, 18.338, 5, 0.727273, 1.42005, 20, 5.06818, 6.28995, 26, 4, 7.50757, 20, 5.06818,6.28995,128, 190, 603, 0.315091, 0.673684, 1, 12, 1.40152, 0, 12, 1.40152, 0, 33, 2.56061,0.0736647, 33,2.56061, 0,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/parcprinter-strips08/problems/p24.pddl, 116, 141, 11, 29, 2.636364, -1, 0.120690, 0.511171, 0, 0.500000, 0.500000, 12.602837, 0.000000, 0,256,1,216,222,43,12,46,29,11,89,415,4.66292,33,17,39,4.66292,33,7.54983,4.66292,39,7.28011,4,0,44,0,0,0,2,38,allfeatures-parcprinter-strips08,all-p24.pddl
etipp,printjob,2,8,47,12,1,79,54,23,0,1,211,993,1232,2225,3116,0,307,0,278,0,646,9,108,442,4047,91,54, 1193, 3056, 0.0762783, 2.56161, 33.5824, 0.593407, 56, 4.51648, 7.92737, 14, 4.51648, 3.27616, 594, 33.5824, 65.875,110, 23.8681, 29.962, 5, 0.769231, 1.46817, 27, 7.61538, 9.0999, 47, 7.83516, 14.1555, 27, 7.61538,9.0999,272, 417, 1338, 0.311659, 0.652278, 1, 11, 1.46703, 0, 11, 1.46703, 0, 29, 2.73077,0.0518383, 29,2.73077, 0,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/parcprinter-strips08/problems/p29.pddl, 377, 442, 16, 66, 4.125000, -1, 0.063660, 0.426173, 0, 0.537037, 0.498626, 30.352949, 0.244344, 24,956,1,776,812,97,29,104,64,16,194,1324,6.82474,73,37,84,6.82474,81,13.7113,6.82474,78,12.9228,9,0,91,0,0,0,2,89,allfeatures-parcprinter-strips08,all-p29.pddl
etipp,printjob,2,8,48,12,1,13,6,36,0,1,350,242,266,508,600,0,25,0,23,0,65,1,21,46,393,22,4, 73, 233, 0.30137, 3.19178, 10.5909, 0.181818, 14, 3, 2.82843, 18, 3, 3.98862, 51, 10.5909, 11.6917,77, 9.86364, 18.9336, 4, 0.227273, 0.849161, 40, 3.18182, 8.99816, 28, 1.63636, 5.98897, 40, 3.18182,8.99816,63, 97, 295, 0.328814, 0.649485, 1, 23, 1.46429, 0.20351, 23, 1.46429, 0.20351, 63, 2.65693,0.508774, 63,2.65693, 0.20351,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/parcprinter-strips08/problems/p11.pddl, 43, 46, 7, 9, 1.285714, -1, 0.348837, 0.642803, 0, 0.750000, 0.433013, 4.173913, 0.260870, 4,38,1,36,36,11,3,15,9,7,35,93,2.65714,19,3,13,2.65714,11,2.64575,2.65714,15,4.24264,1,0,22,0,0,0,2,10,allfeatures-parcprinter-strips08,all-p11.pddl
etipp,printjob,2,8,67,12,1,86,60,36,0,1,350,1802,2342,4144,6664,0,841,0,315,0,820,10,210,1051,8861,106,60, 1922, 8222, 0.0551509, 4.27784, 77.566, 0.566038, 61, 6.12264, 10.8738, 21, 6.12264, 5.14269, 660, 77.566, 106.745,258, 53.1887, 70.3255, 5, 0.745283, 1.44105, 72, 19.0849, 24.8407, 118, 20.3019, 35.5292, 72, 19.0849,24.8407,402, 909, 2997, 0.303303, 0.442244, 1, 26, 2.58064, 0, 23, 2.58064, 0, 71, 5.13522,0.0481061, 63,5.13522, 0,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/parcprinter-strips08/problems/p20.pddl, 515, 1051, 16, 86, 5.375000, -1, 0.064078, 0.488480, 0, 0.583333, 0.613505, 41.069450, 7.222645, 237,942,1,920,926,94,31,106,82,16,210,1499,7.1381,75,41,94,7.1381,90,13.7113,7.1381,86,14.3875,10,0,106,0,0,0,2,88,allfeatures-parcprinter-strips08,all-p20.pddl
etipp,printjob,2,8,54,12,1,37,24,36,0,1,350,582,954,1536,2072,0,161,0,79,0,234,4,84,245,2005,51,24, 432, 1536, 0.118056, 3.55556, 30.1176, 0.470588, 24, 5.17647, 5.76911, 21, 5.17647, 5.05928, 96, 30.1176, 29.0838,126, 23.5294, 33.0201, 5, 0.627451, 1.34253, 40, 8.52941, 12.272, 52, 6.90196, 14.2158, 40, 8.52941,12.272,178, 371, 1207, 0.307374, 0.479784, 1, 25, 2.21802, 0.137282, 23, 2.21802, 0.137282, 69, 4.33754,0.343206, 63,4.33754, 0.137282,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/parcprinter-strips08/problems/p14.pddl, 159, 245, 10, 35, 3.500000, -1, 0.132075, 0.594664, 0, 0.583333, 0.640095, 15.302040, 2.742857, 52,228,1,220,220,39,12,45,33,10,92,419,4.55435,35,17,40,4.55435,35,7.48331,4.55435,38,7.2111,4,0,51,0,0,0,2,35,allfeatures-parcprinter-strips08,all-p14.pddl
etipp,printjob,2,8,52,12,1,29,18,36,0,1,350,458,726,1184,1556,0,109,0,57,0,171,3,63,172,1405,42,18, 297, 1035, 0.141414, 3.48485, 24.6429, 0.428571, 18, 4.80952, 4.76714, 21, 4.80952, 4.9677, 77, 24.6429, 23.1289,114, 19.881, 29.7019, 5, 0.571429, 1.29363, 40, 7, 11.7757, 46, 5.28571, 12.2266, 40, 7,11.7757,141, 283, 917, 0.308615, 0.498233, 1, 26, 2.07653, 0, 23, 2.07653, 0, 71, 4.0119,0.0753147, 63,4.0119, 0,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/parcprinter-strips08/problems/p13.pddl, 117, 172, 9, 26, 2.888889, -1, 0.162393, 0.598535, 0, 0.555556, 0.598352, 11.831395, 1.604651, 28,152,1,146,146,28,9,35,25,9,75,297,3.96,31,13,31,3.96,26,6.08276,3.96,30,6.16441,3,0,42,0,0,0,2,26,allfeatures-parcprinter-strips08,all-p13.pddl
upp,printjob,2,8,41,12,1,13,6,23,0,1,212,197,142,339,376,0,9,0,23,0,62,1,18,25,251,21,4, 64, 113, 0.328125, 1.76562, 5.38095, 0.190476, 13, 2.71429, 2.86428, 17, 2.71429, 3.66636, 20, 5.38095, 5.48136,36, 4.71429, 7.93511, 4, 0.333333, 1.03892, 12, 1.61905, 3.74771, 10, 0.857143, 2.65986, 12, 1.61905,3.74771,57, 49, 132, 0.371212, 1.16327, 1, 16, 0.704482, 0, 14, 0.704482, 0, 39, 0.966387,0.103913, 31,0.966387, 0,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/parcprinter-strips08/problems/p01.pddl, 40, 25, 8, 11, 1.375000, -2, 0.375000, 0.796477, 0, 1.000000, 0.707107, 4.160000, 0.160000, 11,26,1,23,23,11,3,13,8,8,29,68,2.34483,16,2,11,2.34483,9,1.41421,2.34483,17,4.3589,?,?,?,?,?,?,?,11,allfeatures-parcprinter-strips08,all-p01.pddl
