@relation problem

@attribute domain string
@attribute task_name string
@attribute requirements numeric
@attribute types numeric
@attribute objects numeric
@attribute predicates numeric
@attribute functions numeric
@attribute init numeric
@attribute goal numeric
@attribute actions numeric
@attribute axioms numeric
@attribute use_min_cost_metric numeric
@attribute generated_rules numeric
@attribute relevant_atoms numeric
@attribute auxiliary_atoms numeric
@attribute final_queue_length numeric
@attribute total_queue_pushes numeric
@attribute implied_effects_removed numeric
@attribute effect_conditions_simplified numeric
@attribute implied_preconditions_added numeric
@attribute translator_variables numeric
@attribute translator_derived_variables numeric
@attribute translator_facts numeric
@attribute translator_mutex_groups numeric
@attribute translator_total_mutex_groups_size numeric
@attribute translator_operators numeric
@attribute translator_task_size numeric
@attribute numberVariablesCG numeric
@attribute highLevelVariablesCG numeric
@attribute totalEdgesCG numeric
@attribute totalWeightCG numeric
@attribute veRatio numeric
@attribute weRatio numeric
@attribute wvRatio numeric
@attribute hvRatio numeric
@attribute inputEdgeCGMax numeric
@attribute inputEdgeCGAvg numeric
@attribute inputEdgeCGStd numeric
@attribute outputEdgeCGMax numeric
@attribute outputEdgeCGAvg numeric
@attribute outputEdgeCGStd numeric
@attribute inputWeightCGMax numeric
@attribute inputWeightCGAvg numeric
@attribute inputWeightCGStd numeric
@attribute outputWeightCGMax numeric
@attribute outputWeightCGAvg numeric
@attribute outputWeightCGStd numeric
@attribute inputEdgeHVMax numeric
@attribute inputEdgeHVAvg numeric
@attribute inputEdgeHVStd numeric
@attribute outputEdgeHVMax numeric
@attribute outputEdgeHVAvg numeric
@attribute outputEdgeHVStd numeric
@attribute inputWeightHVMax numeric
@attribute inputWeightHVAvg numeric
@attribute inputWeightHVStd numeric
@attribute outputWeightHVMax numeric
@attribute outputWeightHVAvg numeric
@attribute outputWeightHVStd numeric
@attribute numberVariablesDTG numeric
@attribute totalEdgesDTG numeric
@attribute totalWeigthDTG numeric
@attribute edVaRatioDTG numeric
@attribute weEdRatioDTG numeric
@attribute weVaRatioDTG numeric
@attribute inputEdgeDTGMax numeric
@attribute inputEdgeDTGAvg numeric
@attribute inputEdgeDTGStd numeric
@attribute outputEdgeDTGMax numeric
@attribute outputEdgeDTGAvg numeric
@attribute outputEdgeDTGStd numeric
@attribute inputWeightDTGMax numeric
@attribute inputWeightDTGAvg numeric
@attribute inputWeightDTGStd numeric
@attribute outputWeightDTGMax numeric
@attribute outputWeightDTGAvg numeric
@attribute outputWeightDTGStd numeric
@attribute no numeric
@attribute file string
@attribute num_relevant_facts numeric
@attribute num_actions numeric
@attribute h_max numeric
@attribute h_ff numeric
@attribute h_ff_ratio numeric
@attribute rp_fact_balance_min numeric
@attribute rp_fact_balance_avg numeric
@attribute rp_fact_balance_var numeric
@attribute rp_goal_balance_min numeric
@attribute rp_goal_balance_avg numeric
@attribute rp_goal_balance_var numeric
@attribute balance_Ratio numeric
@attribute Unbalance_Ratio numeric
@attribute Balance_Distorsion numeric
@attribute Additive numeric
@attribute Blind numeric
@attribute Causal_graph numeric
@attribute Context-enhanced_additive numeric
@attribute FF numeric
@attribute Goal_count numeric
@attribute Landmark_count numeric
@attribute Landmark-cut numeric
@attribute Max numeric
@attribute n_landmarks numeric
@attribute numberEdges numeric
@attribute edVaratioLand numeric
@attribute numberFatherNodes numeric
@attribute numberChildrenNodes numeric
@attribute nodosbetween numeric
@attribute avginput numeric
@attribute maxinput numeric
@attribute stdinput numeric
@attribute avgoutput numeric
@attribute maxoutput numeric
@attribute stdoutput numeric
@attribute blackVariables numeric
@attribute blackRootVariables numeric
@attribute redBlackVariables numeric
@attribute allpairsvaluesconnected numeric
@attribute allvaluesconnectedgoal numeric
@attribute blackstronglpyarents numeric
@attribute Maximaleffectsblack  numeric
@attribute Hred-black numeric
@attribute  nameDomain2 string
@attribute  nameFile2 string
@data

pipesworld_strips,p04-net1-b8-g5_rt0_instance,2,6,39,16,0,87,7,6,0,0,126,1044,2478,3522,7315,0,656,0,47,0,122,31,98,656,8144,31,5, 904, 15744, 0.034292, 17.4159, 507.871, 0.16129, 30, 18.8387, 5.84806, 30, 18.8387, 5.84806, 1968, 507.871, 428.615,984, 338.581, 261.62, 30, 4.32258, 9.98188, 728, 92.129, 216.91, 624, 78.9677, 185.923, 728, 92.129,216.91,90, 4592, 20336, 0.225806, 0.0195993, 1, 216, 44.9677, 18.1031, 216, 44.9677, 18.1031, 864, 179.871,72.4125, 864,179.871, 18.1031,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/pipesworld06/problems/p04.pddl, 98, 772, 4, 9, 2.250000, -4, 0.020408, 1.316920, 1, 1.200000, 0.400000, 13.523315, 5.841969, 67,13,1,10,13,9,5,11,6,4,21,37,1.7619,10,5,6,1.7619,7,1.41421,1.7619,10,2.23607,10,0,31,0,0,0,15,10,allfeatures-pipesworld06,all-p04.pddl
pipesworld_strips,p42-net5-b22-g4_rt0_instance,2,6,102,16,0,215,9,6,0,0,126,46688,25988,72676,260926,0,16956,0,201,0,1012,96,902,43556,417783,179,8, 11582, 617808, 0.015455, 53.3421, 3451.44, 0.0446927, 169, 59.4749, 38.0871, 169, 59.4749, 38.0871, 29566, 3451.44, 5598.62,27258, 3129.12, 4908.59, 169, 5.22346, 26.1392, 27258, 881.698, 4385, 29566, 982.704, 4831.57, 27258, 881.698,4385,968, 183456, 743568, 0.246724, 0.00527647, 1, 4546, 278.288, 39.7972, 4546, 278.288, 39.7972, 21806, 1176.06,176.975, 21806,1176.06, 39.7972,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/pipesworld06/problems/p42.pddl, 902, 45360, 9, 30, 3.333333, -7, 0.000000, 0.660914, -2, 1.125000, 2.521780, 17.647951, 9.406084, 433,62,1,22,48,30,4,16,10,9,31,70,2.25806,15,6,10,2.25806,11,2,2.25806,15,3.60555,13,0,179,0,0,0,35,27,allfeatures-pipesworld06,all-p42.pddl
pipesworld_strips,p45-net5-b26-g4_rt0_instance,2,6,111,16,0,233,9,6,0,0,126,68415,33222,101637,379353,0,25092,0,230,0,1265,105,1135,64536,618886,204,8, 15240, 916760, 0.0133858, 60.1549, 4493.92, 0.0392157, 193, 68.6765, 43.1819, 193, 68.6765, 43.1272, 43553, 4493.92, 7515.46,40179, 4063.96, 6616.87, 193, 5.34804, 28.7293, 40179, 1104.53, 5963.3, 43553, 1229.04, 6548.34, 40179, 1104.53,5963.3,1213, 271640, 1100688, 0.246791, 0.00446547, 1, 6700, 358.747, 44.1482, 6700, 358.747, 44.1482, 32453, 1526.96,196.805, 32453,1526.96, 44.1482,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/pipesworld06/problems/p45.pddl, 1135, 66818, 9, 34, 3.777778, -4, 0.000881, 0.573266, -2, 1.500000, 1.870829, 18.215197, 9.527014, 388,61,1,18,56,37,4,12,11,9,30,61,2.03333,18,5,7,2.03333,6,1.41421,2.03333,14,3.60555,14,0,204,0,0,0,40,34,allfeatures-pipesworld06,all-p45.pddl
pipesworld_strips,p03-net1-b8-g3_rt0_instance,2,6,39,16,0,87,5,6,0,0,126,1044,2478,3522,7315,0,656,0,47,0,122,31,98,656,8142,31,3, 904, 15744, 0.034292, 17.4159, 507.871, 0.0967742, 30, 18.8387, 5.84806, 30, 18.8387, 5.84806, 1968, 507.871, 428.615,984, 338.581, 261.62, 30, 2.64516, 8.16582, 728, 52.3871, 165.84, 624, 44.9032, 142.148, 728, 52.3871,165.84,90, 4592, 20336, 0.225806, 0.0195993, 1, 216, 44.9677, 9.76134, 216, 44.9677, 9.76134, 864, 179.871,39.0454, 864,179.871, 9.76134,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/pipesworld06/problems/p03.pddl, 98, 772, 4, 8, 2.000000, -3, 0.020408, 1.142675, 1, 1.000000, 0.000000, 13.147668, 3.786269, 45,11,1,8,11,8,3,9,6,4,17,33,1.94118,8,3,6,1.94118,6,1,1.94118,10,2.23607,10,0,31,0,0,0,15,8,allfeatures-pipesworld06,all-p03.pddl
pipesworld_strips,p24-net3-b14-g5_rt0_instance,2,6,62,16,0,133,8,6,0,0,126,8897,9424,18321,53148,0,3728,0,94,0,442,55,400,7724,76107,80,7, 3210, 115416, 0.0249221, 35.9551, 1442.7, 0.0875, 73, 34.975, 17.708, 73, 34.975, 17.708, 9270, 1442.7, 1808.38,8502, 1237.1, 1525.75, 73, 5.1125, 16.896, 8502, 376.05, 1464.74, 9270, 433.25, 1644.36, 8502, 376.05,1464.74,414, 32432, 131400, 0.246819, 0.0127652, 1, 1423, 114.068, 18.6327, 1423, 114.068, 18.6327, 6496, 471.601,79.4742, 6496,471.601, 18.6327,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/pipesworld06/problems/p24.pddl, 400, 8232, 6, 28, 4.666667, -4, 0.000000, 0.868907, -3, 0.857143, 1.884415, 16.526117, 6.923956, 258,47,1,23,48,29,5,14,11,6,37,77,2.08108,21,5,11,2.08108,6,1,2.08108,19,3.60555,9,0,80,0,0,0,23,28,allfeatures-pipesworld06,all-p24.pddl
pipesworld_strips,p47-net5-b28-g5_rt0_instance,2,6,118,16,0,247,10,6,0,0,126,84149,37753,121902,465511,0,31684,0,247,0,1395,112,1255,79712,765754,219,9, 17264, 1139040, 0.0126854, 65.9778, 5201.1, 0.0410959, 207, 72.4749, 45.8083, 207, 72.4749, 45.7671, 53029, 5201.1, 8797.19,48915, 4671.71, 7732.01, 207, 5.63927, 28.9937, 48915, 1218.85, 6865.21, 53029, 1347.95, 7503.12, 48915, 1218.85,6865.21,1339, 335304, 1358408, 0.246836, 0.00399339, 1, 8170, 411.669, 47.5256, 8170, 411.669, 47.5256, 38462, 1752.18,211.139, 38462,1752.18, 47.5256,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/pipesworld06/problems/p47.pddl, 1255, 82404, 9, 49, 5.444445, -6, 0.000000, 0.745772, -2, 1.000000, 2.000000, 21.940708, 12.925124, 673,84,1,29,75,48,5,18,14,9,36,87,2.41667,16,7,13,2.41667,10,2,2.41667,14,3.60555,15,0,219,0,0,0,43,47,allfeatures-pipesworld06,all-p47.pddl
pipesworld_strips,p29-net3-b20-g6_rt0_instance,2,6,89,16,0,187,9,6,0,0,126,26133,18449,44582,152112,0,11912,0,139,0,740,82,680,23940,236035,119,8, 6704, 363572, 0.0177506, 54.2321, 3055.23, 0.0672269, 107, 49.0588, 25.4817, 107, 49.0588, 25.4817, 27148, 3055.23, 4256.19,24972, 2560.71, 3630.98, 107, 6.0084, 22.7251, 24972, 744.706, 3472.72, 27148, 868.134, 3885.91, 24972, 744.706,3472.72,700, 100056, 404780, 0.247186, 0.00699608, 1, 4218, 230.531, 31.1381, 4218, 230.531, 31.1381, 19208, 949.119,136.514, 19208,949.119, 31.1381,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/pipesworld06/problems/p29.pddl, 680, 25080, 8, 31, 3.875000, -4, 0.000000, 0.637089, 0, 1.000000, 0.866025, 20.791067, 7.521013, 280,62,1,25,60,33,6,16,12,8,35,100,2.85714,18,6,11,2.85714,9,2.64575,2.85714,14,3.74166,14,0,119,0,0,0,34,33,allfeatures-pipesworld06,all-p29.pddl
pipesworld_strips,p31-net4-b14-g3_rt0_instance,2,6,37,16,0,85,7,6,0,0,126,2633,4320,6953,15476,0,641,0,72,0,347,31,305,2039,19802,63,6, 1733, 27400, 0.0363531, 15.8107, 434.921, 0.0952381, 62, 25.5397, 14.4165, 62, 25.5397, 14.17, 2219, 434.921, 559.993,2064, 418.667, 496.663, 62, 4.28571, 14.0412, 2064, 138.857, 452.845, 2219, 151.857, 492.56, 2064, 138.857,452.845,321, 8621, 34997, 0.246335, 0.0372347, 1, 349, 38.7909, 6.45362, 349, 38.7909, 6.45362, 1679, 172.708,28.9278, 1679,172.708, 6.45362,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/pipesworld06/problems/p31.pddl, 304, 2163, 7, 26, 3.714286, -3, 0.000000, 0.765197, -2, 0.166667, 1.213352, 16.729080, 5.544152, 239,38,1,21,35,24,3,11,11,7,23,42,1.82609,13,5,5,1.82609,6,1.41421,1.82609,12,3.16228,3,0,63,0,0,0,11,22,allfeatures-pipesworld06,all-p31.pddl
pipesworld_strips,p11-net2-b10-g2_rt0_instance,2,6,32,16,0,73,4,6,0,0,126,2104,3608,5712,12578,0,576,0,44,0,220,26,200,1648,15812,44,4, 1086, 21888, 0.0405157, 20.1547, 497.455, 0.0909091, 39, 24.6818, 8.65178, 39, 24.6818, 8.65178, 2728, 497.455, 581.106,2472, 497.455, 510.94, 39, 3, 9.60824, 2472, 147.818, 532.811, 2728, 161.636, 586.313, 2472, 147.818,532.811,220, 7104, 28992, 0.245033, 0.0309685, 1, 424, 48.3273, 7.22469, 424, 48.3273, 7.22469, 1920, 200.63,30.2505, 1920,200.63, 7.22469,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/pipesworld06/problems/p11.pddl, 200, 1760, 5, 14, 2.800000, -4, 0.000000, 0.707107, 0, 0.500000, 0.500000, 10.571023, 2.042046, 80,22,1,10,22,15,2,7,8,5,20,39,1.95,13,2,5,1.95,4,1,1.95,12,3.16228,?,?,?,?,?,?,?,14,allfeatures-pipesworld06,all-p11.pddl
