@relation problem

@attribute domain string
@attribute task_name string
@attribute requirements numeric
@attribute types numeric
@attribute objects numeric
@attribute predicates numeric
@attribute functions numeric
@attribute init numeric
@attribute goal numeric
@attribute actions numeric
@attribute axioms numeric
@attribute use_min_cost_metric numeric
@attribute generated_rules numeric
@attribute relevant_atoms numeric
@attribute auxiliary_atoms numeric
@attribute final_queue_length numeric
@attribute total_queue_pushes numeric
@attribute implied_effects_removed numeric
@attribute effect_conditions_simplified numeric
@attribute implied_preconditions_added numeric
@attribute translator_variables numeric
@attribute translator_derived_variables numeric
@attribute translator_facts numeric
@attribute translator_mutex_groups numeric
@attribute translator_total_mutex_groups_size numeric
@attribute translator_operators numeric
@attribute translator_task_size numeric
@attribute numberVariablesCG numeric
@attribute highLevelVariablesCG numeric
@attribute totalEdgesCG numeric
@attribute totalWeightCG numeric
@attribute veRatio numeric
@attribute weRatio numeric
@attribute wvRatio numeric
@attribute hvRatio numeric
@attribute inputEdgeCGMax numeric
@attribute inputEdgeCGAvg numeric
@attribute inputEdgeCGStd numeric
@attribute outputEdgeCGMax numeric
@attribute outputEdgeCGAvg numeric
@attribute outputEdgeCGStd numeric
@attribute inputWeightCGMax numeric
@attribute inputWeightCGAvg numeric
@attribute inputWeightCGStd numeric
@attribute outputWeightCGMax numeric
@attribute outputWeightCGAvg numeric
@attribute outputWeightCGStd numeric
@attribute inputEdgeHVMax numeric
@attribute inputEdgeHVAvg numeric
@attribute inputEdgeHVStd numeric
@attribute outputEdgeHVMax numeric
@attribute outputEdgeHVAvg numeric
@attribute outputEdgeHVStd numeric
@attribute inputWeightHVMax numeric
@attribute inputWeightHVAvg numeric
@attribute inputWeightHVStd numeric
@attribute outputWeightHVMax numeric
@attribute outputWeightHVAvg numeric
@attribute outputWeightHVStd numeric
@attribute numberVariablesDTG numeric
@attribute totalEdgesDTG numeric
@attribute totalWeigthDTG numeric
@attribute edVaRatioDTG numeric
@attribute weEdRatioDTG numeric
@attribute weVaRatioDTG numeric
@attribute inputEdgeDTGMax numeric
@attribute inputEdgeDTGAvg numeric
@attribute inputEdgeDTGStd numeric
@attribute outputEdgeDTGMax numeric
@attribute outputEdgeDTGAvg numeric
@attribute outputEdgeDTGStd numeric
@attribute inputWeightDTGMax numeric
@attribute inputWeightDTGAvg numeric
@attribute inputWeightDTGStd numeric
@attribute outputWeightDTGMax numeric
@attribute outputWeightDTGAvg numeric
@attribute outputWeightDTGStd numeric
@attribute no numeric
@attribute file string
@attribute num_relevant_facts numeric
@attribute num_actions numeric
@attribute h_max numeric
@attribute h_ff numeric
@attribute h_ff_ratio numeric
@attribute rp_fact_balance_min numeric
@attribute rp_fact_balance_avg numeric
@attribute rp_fact_balance_var numeric
@attribute rp_goal_balance_min numeric
@attribute rp_goal_balance_avg numeric
@attribute rp_goal_balance_var numeric
@attribute balance_Ratio numeric
@attribute Unbalance_Ratio numeric
@attribute Balance_Distorsion numeric
@attribute Additive numeric
@attribute Blind numeric
@attribute Causal_graph numeric
@attribute Context-enhanced_additive numeric
@attribute FF numeric
@attribute Goal_count numeric
@attribute Landmark_count numeric
@attribute Landmark-cut numeric
@attribute Max numeric
@attribute n_landmarks numeric
@attribute numberEdges numeric
@attribute edVaratioLand numeric
@attribute numberFatherNodes numeric
@attribute numberChildrenNodes numeric
@attribute nodosbetween numeric
@attribute avginput numeric
@attribute maxinput numeric
@attribute stdinput numeric
@attribute avgoutput numeric
@attribute maxoutput numeric
@attribute stdoutput numeric
@attribute blackVariables numeric
@attribute blackRootVariables numeric
@attribute redBlackVariables numeric
@attribute allpairsvaluesconnected numeric
@attribute allvaluesconnectedgoal numeric
@attribute blackstronglpyarents numeric
@attribute Maximaleffectsblack  numeric
@attribute Hred-black numeric
@attribute  nameDomain2 string
@attribute  nameFile2 string
@data

tpp-propositional,tpp,2,8,9,8,0,20,4,4,0,0,45,86,139,225,234,0,0,0,17,0,34,17,34,14,167,17,4, 40, 48, 0.425, 1.2, 2.82353, 0.235294, 16, 2.35294, 3.44607, 3, 2.35294, 0.76244, 24, 2.82353, 5.31629,4, 2.82353, 1.19977, 1, 0.235294, 0.424183, 2, 0.470588, 0.848365, 1, 0.235294, 0.424183, 2, 0.470588,0.848365,34, 26, 74, 0.351351, 1.30769, 1, 1, 0.764706, 0.114134, 1, 0.764706, 0.114134, 1, 0.764706,0.114134, 1,0.764706, 0.114134,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/tpp06/problems/p04.pddl, 34, 14, 4, 13, 3.250000, -1, 0.000000, 0.727607, 1, 1.000000, 0.000000, 9.857143, 0.000000, 0,20,1,20,20,13,4,13,13,4,30,69,2.3,17,4,9,2.3,12,2.23607,2.3,8,2.82843,1,1,17,1,0,0,0,14,allfeatures-tpp06,all-p04.pddl
tpp-propositional,tpp,2,8,8,8,0,16,3,4,0,0,45,71,111,182,189,0,0,0,13,0,26,13,26,11,128,13,3, 30, 36, 0.433333, 1.2, 2.76923, 0.230769, 12, 2.30769, 2.83887, 3, 2.30769, 0.821314, 18, 2.76923, 4.42291,4, 2.76923, 1.24985, 1, 0.230769, 0.421325, 2, 0.461538, 0.84265, 1, 0.230769, 0.421325, 2, 0.461538,0.84265,26, 20, 56, 0.357143, 1.3, 1, 1, 0.769231, 0.128008, 1, 0.769231, 0.128008, 1, 0.769231,0.128008, 1,0.769231, 0.128008,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/tpp06/problems/p03.pddl, 26, 11, 4, 10, 2.500000, -1, 0.000000, 0.733799, 1, 1.000000, 0.000000, 7.272727, 0.000000, 0,15,1,15,15,10,3,10,10,4,23,52,2.26087,13,3,7,2.26087,9,1.73205,2.26087,8,2.82843,1,1,13,1,0,0,0,11,allfeatures-tpp06,all-p03.pddl
tpp-propositional,tpp,2,8,35,8,0,299,14,4,0,0,45,15123,28851,43974,70859,0,0,0,180,0,967,180,967,13902,85144,180,14, 1324, 55080, 0.135952, 41.6012, 306, 0.0777778, 104, 7.35556, 18.0643, 13, 7.35556, 3.68574, 4590, 306, 801.672,900, 306, 206.246, 6, 0.466667, 1.60693, 900, 70, 241.039, 450, 35, 120.52, 900, 70,241.039,967, 27672, 82752, 0.334397, 0.0349451, 1, 132, 17.837, 2.65289, 117, 17.5981, 2.45945, 384, 32.6259,8.63285, 339,32.387, 2.45945,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/tpp06/problems/p24.pddl, 967, 13902, 8, 69, 8.625000, -4, 0.000000, 0.401651, 1, 1.000000, 0.000000, 30.521938, 7.076392, 100,199,1,69,199,84,14,35,62,8,49,69,1.40816,14,14,21,1.40816,5,1,1.40816,5,1,6,6,180,6,0,0,0,105,allfeatures-tpp06,all-p24.pddl
tpp-propositional,tpp,2,8,45,8,0,519,19,4,0,0,45,43151,83221,126372,206218,0,0,0,313,0,1923,313,1923,40848,248546,313,19, 2886, 162432, 0.108455, 56.2827, 518.952, 0.0607029, 172, 9.22045, 26.5082, 17, 9.22045, 4.9727, 10152, 518.952, 1570.52,1728, 518.952, 370.476, 8, 0.485623, 1.91028, 1728, 104.895, 412.62, 864, 52.4473, 206.31, 1728, 104.895,412.62,1923, 81456, 243888, 0.333989, 0.0236078, 1, 194, 23.8488, 3.20126, 194, 23.5069, 2.63013, 566, 43.04,10.1761, 566,42.6982, 2.63013,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/tpp06/problems/p29.pddl, 1923, 40848, 9, 104, 11.555555, -4, 0.000000, 0.404087, 1, 1.000000, 0.000000, 38.446827, 14.988445, 269,357,1,107,357,126,19,61,94,9,80,139,1.7375,19,19,42,1.7375,5,1,1.7375,5,1,8,8,313,8,0,0,0,146,allfeatures-tpp06,all-p29.pddl
tpp-propositional,tpp,2,8,18,8,0,74,6,4,0,0,45,1015,2192,3207,4543,0,0,0,45,0,173,45,173,744,4789,45,6, 198, 2880, 0.227273, 14.5455, 64, 0.133333, 30, 4.4, 6.92628, 7, 4.4, 1.89033, 480, 64, 111.975,108, 64, 31.6481, 3, 0.4, 1.0198, 108, 14.4, 36.7129, 54, 7.2, 18.3565, 108, 14.4,36.7129,173, 1464, 4344, 0.337017, 0.118169, 1, 15, 6.75852, 0.3092, 15, 6.68444, 0.3092, 30, 12.3585,0.535551, 39,12.2844, 0.3092,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/tpp06/problems/p11.pddl, 173, 744, 8, 30, 3.750000, -2, 0.000000, 0.588915, 1, 1.000000, 0.000000, 18.387096, 1.846774, 30,111,1,39,111,40,6,15,28,8,33,54,1.63636,14,6,13,1.63636,3,0,1.63636,6,1.41421,3,3,45,3,0,0,0,41,allfeatures-tpp06,all-p11.pddl
tpp-propositional,tpp,2,8,32,8,0,263,15,4,0,0,45,7741,17675,25416,38242,0,0,0,173,0,777,173,777,6750,42032,173,15, 1158, 26720, 0.149396, 23.0743, 154.451, 0.0867052, 108, 6.69364, 17.5668, 11, 6.69364, 2.93155, 2672, 154.451, 435.959,320, 154.451, 80.1311, 5, 0.433526, 1.40701, 320, 27.7457, 90.0488, 160, 13.8728, 45.0244, 320, 27.7457,90.0488,777, 13430, 40150, 0.334496, 0.0578555, 1, 65, 12.0116, 1.48509, 65, 11.815, 1.56014, 185, 19.8266,4.82469, 185,19.6301, 1.56014,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/tpp06/problems/p20.pddl, 777, 6750, 9, 69, 7.666667, -3, 0.000000, 0.453784, 1, 1.000000, 0.000000, 38.122963, 6.725185, 129,198,1,71,198,86,15,36,62,9,51,71,1.39216,15,15,21,1.39216,4,0,1.39216,4,0,5,5,173,5,0,0,0,101,allfeatures-tpp06,all-p20.pddl
tpp-propositional,tpp,2,8,23,8,0,138,9,4,0,0,45,2126,5023,7149,10186,0,0,0,85,0,320,85,320,1664,10550,85,9, 468, 6432, 0.181624, 13.7436, 75.6706, 0.105882, 54, 5.50588, 10.8635, 9, 5.50588, 2.40403, 804, 75.6706, 162.727,144, 75.6706, 37.6796, 4, 0.423529, 1.23075, 144, 15.2471, 44.3069, 72, 7.62353, 22.1535, 144, 15.2471,44.3069,320, 3272, 9704, 0.337181, 0.0977995, 1, 20, 6.53529, 0.63414, 20, 6.3098, 0.63414, 52, 7.57059,1.97356, 52,7.3451, 0.63414,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/tpp06/problems/p14.pddl, 320, 1664, 6, 41, 6.833333, -2, 0.000000, 0.493710, 1, 1.000000, 0.000000, 29.350960, 1.459135, 24,101,1,40,101,48,9,19,39,6,31,38,1.22581,11,9,11,1.22581,3,0,1.22581,4,0,4,4,85,4,0,0,0,54,allfeatures-tpp06,all-p14.pddl
tpp-propositional,tpp,2,8,22,8,0,125,8,4,0,0,45,1905,4483,6388,9089,0,0,0,76,0,287,76,287,1484,9394,76,8, 416, 5712, 0.182692, 13.7308, 75.1579, 0.105263, 48, 5.47368, 10.117, 9, 5.47368, 2.43588, 714, 75.1579, 151.516,144, 75.1579, 38.0654, 4, 0.421053, 1.22757, 144, 15.1579, 44.1925, 72, 7.57895, 22.0962, 144, 15.1579,44.1925,287, 2912, 8624, 0.337662, 0.0985577, 1, 20, 6.4989, 0.669692, 20, 6.2807, 0.669692, 52, 7.52522,2.08421, 52,7.30702, 0.669692,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/tpp06/problems/p13.pddl, 287, 1484, 6, 31, 5.166667, -2, 0.000000, 0.408959, 1, 1.000000, 0.000000, 24.026955, 0.533693, 8,73,1,34,73,41,8,13,31,6,24,26,1.08333,10,8,6,1.08333,3,0,1.08333,5,1,4,4,76,4,0,0,0,49,allfeatures-tpp06,all-p13.pddl
tpp-propositional,tpp,2,8,6,8,0,8,1,4,0,0,45,41,55,96,99,0,0,0,5,0,10,5,10,5,50,5,1, 10, 12, 0.5, 1.2, 2.4, 0.2, 4, 2, 1.09545, 3, 2, 1.09545, 6, 2.4, 1.85472,4, 2.4, 1.49666, 1, 0.2, 0.4, 2, 0.4, 0.8, 1, 0.2, 0.4, 2, 0.4,0.8,10, 8, 20, 0.4, 1.25, 1, 1, 0.8, 0.178885, 1, 0.8, 0.178885, 1, 0.8,0.178885, 1,0.8, 0.178885,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/tpp06/problems/p01.pddl, 10, 5, 4, 4, 1.000000, -1, 0.000000, 0.774597, 1, 1.000000, 0.000000, 2.400000, 0.000000, 0,5,1,5,5,4,1,4,4,4,9,18,2,5,1,3,2,3,1,2,8,2.64575,1,1,5,1,0,0,0,5,allfeatures-tpp06,all-p01.pddl
