@relation problem

@attribute domainInt string
@attribute task_name string
@attribute requirements numeric
@attribute types numeric
@attribute objects numeric
@attribute predicates numeric
@attribute functions numeric
@attribute init numeric
@attribute goal numeric
@attribute actions numeric
@attribute axioms numeric
@attribute use_min_cost_metric numeric
@attribute generated_rules numeric
@attribute relevant_atoms numeric
@attribute auxiliary_atoms numeric
@attribute final_queue_length numeric
@attribute total_queue_pushes numeric
@attribute implied_effects_removed numeric
@attribute effect_conditions_simplified numeric
@attribute implied_preconditions_added numeric
@attribute translator_variables numeric
@attribute translator_derived_variables numeric
@attribute translator_facts numeric
@attribute translator_mutex_groups numeric
@attribute translator_total_mutex_groups_size numeric
@attribute translator_operators numeric
@attribute translator_task_size numeric
@attribute numberVariablesCG numeric
@attribute highLevelVariablesCG numeric
@attribute totalEdgesCG numeric
@attribute totalWeightCG numeric
@attribute veRatio numeric
@attribute weRatio numeric
@attribute wvRatio numeric
@attribute hvRatio numeric
@attribute inputEdgeCGMax numeric
@attribute inputEdgeCGAvg numeric
@attribute inputEdgeCGStd numeric
@attribute outputEdgeCGMax numeric
@attribute outputEdgeCGAvg numeric
@attribute outputEdgeCGStd numeric
@attribute inputWeightCGMax numeric
@attribute inputWeightCGAvg numeric
@attribute inputWeightCGStd numeric
@attribute outputWeightCGMax numeric
@attribute outputWeightCGAvg numeric
@attribute outputWeightCGStd numeric
@attribute inputEdgeHVMax numeric
@attribute inputEdgeHVAvg numeric
@attribute inputEdgeHVStd numeric
@attribute outputEdgeHVMax numeric
@attribute outputEdgeHVAvg numeric
@attribute outputEdgeHVStd numeric
@attribute inputWeightHVMax numeric
@attribute inputWeightHVAvg numeric
@attribute inputWeightHVStd numeric
@attribute outputWeightHVMax numeric
@attribute outputWeightHVAvg numeric
@attribute outputWeightHVStd numeric
@attribute numberVariablesDTG numeric
@attribute totalEdgesDTG numeric
@attribute totalWeigthDTG numeric
@attribute edVaRatioDTG numeric
@attribute weEdRatioDTG numeric
@attribute weVaRatioDTG numeric
@attribute inputEdgeDTGMax numeric
@attribute inputEdgeDTGAvg numeric
@attribute inputEdgeDTGStd numeric
@attribute outputEdgeDTGMax numeric
@attribute outputEdgeDTGAvg numeric
@attribute outputEdgeDTGStd numeric
@attribute inputWeightDTGMax numeric
@attribute inputWeightDTGAvg numeric
@attribute inputWeightDTGStd numeric
@attribute outputWeightDTGMax numeric
@attribute outputWeightDTGAvg numeric
@attribute outputWeightDTGStd numeric
@attribute no numeric
@attribute file string
@attribute num_relevant_facts numeric
@attribute num_actions numeric
@attribute h_max numeric
@attribute h_ff numeric
@attribute h_ff_ratio numeric
@attribute rp_fact_balance_min numeric
@attribute rp_fact_balance_avg numeric
@attribute rp_fact_balance_var numeric
@attribute rp_goal_balance_min numeric
@attribute rp_goal_balance_avg numeric
@attribute rp_goal_balance_var numeric
@attribute balance_Ratio numeric
@attribute Unbalance_Ratio numeric
@attribute Balance_Distorsion numeric
@attribute Additive numeric
@attribute Blind numeric
@attribute Causal_graph numeric
@attribute Context-enhanced_additive numeric
@attribute FF numeric
@attribute Goal_count numeric
@attribute Landmark_count numeric
@attribute Landmark-cut numeric
@attribute Max numeric
@attribute n_landmarks numeric
@attribute numberEdges numeric
@attribute edVaratioLand numeric
@attribute numberFatherNodes numeric
@attribute numberChildrenNodes numeric
@attribute nodosbetween numeric
@attribute avginput numeric
@attribute maxinput numeric
@attribute stdinput numeric
@attribute avgoutput numeric
@attribute maxoutput numeric
@attribute stdoutput numeric
@attribute blackVariables numeric
@attribute blackRootVariables numeric
@attribute redBlackVariables numeric
@attribute allpairsvaluesconnected numeric
@attribute allvaluesconnectedgoal numeric
@attribute blackstronglpyarents numeric
@attribute Maximaleffectsblack  numeric
@attribute Hred-black numeric
@attribute  nameDomain2 string
@attribute  nameFile2 string

@attribute planner {mercury, siw, jasper, bfs-f,arvand,lamar,fd-autotune-1,fd-autotune-2,fdss-2,lama-2008,lama-2011,lpg,madagascar,madagascar-p,probe,yahsp2-mt}
@attribute domain {barman, barmanlearning11, blocksworldlearning11, cybersec-strips, depotslearning11, elevators, elevators08, floortile, gold-minerlearning08, gripperlearning11, matching-bwlearning08, nomystery, n-puzzlelearning08, openstacks, openstacks06, openstacks-adl08, openstacks-strips08, parcprinter, parcprinter-strips08, parking, parkinglearning08, parkinglearning11, pathways06, pegsol, pegsol-strips08, pipesworld06, roverlearning11, rovers06, satellitelearning11, scanalyzer, scanalyzer-strips08, sokoban, sokobanlearning08, sokoban-strips08, storage06, thoughtfullearning08, tidybot, tpp06, tppLearning11, trainingphase, transport, transport-strips08, trucks06, visitall, woodworking, woodworking-strips08}
@attribute problem numeric
@attribute oktimefirssol numeric

@attribute class {True, False}
@data

gold-miner-typed,gold-miner-target-6x6-04-typed,1,2,36,13,0,161,0,7,0,0,34,745,811,1556,1919,0,165,0,64,0,199,4,80,356,2142,51,1, 225, 1187, 0.226667, 5.27556, 23.2745, 0.0196078, 50, 3.90196, 10.336, 30, 3.90196, 4.44688, 531, 23.2745, 83.8669,263, 21.4706, 38.9093, 35, 0.686275, 4.85269, 263, 5.15686, 36.4645, 152, 2.98039, 21.0746, 263, 5.15686,36.4645,173, 677, 1916, 0.35334, 0.255539, 1, 106, 3.85842, 7.01216, 106, 3.85842, 7.01216, 320, 11.7081,21.8968, 320,11.7081, 7.01216,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/gold-minerlearning08/problems/gold-miner-target-6x6-04-typed.pddl, 137, 372, 17, 17, 1.000000, -2, -0.014599, 0.400463, 1, 1.000000, 0.000000, 1.827957, 0.120968, 11,345,1,13,345,18,1,5,17,17,14,31,2.21429,5,1,8,2.21429,4,0,2.21429,12,3,1,0,51,0,0,0,1,18,allfeatures-gold-minerlearning08,all-gold-miner-target-6x6-04-typed.pddl,bfs-f,gold-minerlearning08,000,0,True
gold-miner-typed,gold-miner-target-6x6-05-typed,1,2,36,13,0,161,0,7,0,0,34,750,818,1568,1941,0,170,0,64,0,199,4,80,361,2177,53,1, 233, 1222, 0.227468, 5.24464, 23.0566, 0.0188679, 52, 3.98113, 10.722, 30, 3.98113, 4.49524, 546, 23.0566, 84.3974,273, 21.5094, 39.344, 39, 0.735849, 5.30628, 273, 5.15094, 37.144, 162, 3.0566, 22.0415, 273, 5.15094,37.144,177, 697, 1981, 0.351843, 0.253945, 1, 106, 3.87791, 7.04312, 106, 3.87791, 7.04312, 340, 11.7857,22.1942, 340,11.7857, 7.04312,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/gold-minerlearning08/problems/gold-miner-target-6x6-05-typed.pddl, 137, 377, 16, 16, 1.000000, -2, -0.014599, 0.400463, 1, 1.000000, 0.000000, 1.827586, 0.114058, 11,282,1,13,282,17,1,5,16,16,13,28,2.15385,5,1,7,2.15385,4,0,2.15385,11,3.16228,1,0,53,0,0,0,1,17,allfeatures-gold-minerlearning08,all-gold-miner-target-6x6-05-typed.pddl,bfs-f,gold-minerlearning08,001,0,True
gold-miner-typed,gold-miner-target-5x5-05-typed,1,2,25,13,0,110,0,7,0,0,34,524,571,1095,1371,0,124,0,44,0,137,4,58,254,1553,41,1, 175, 902, 0.234286, 5.15429, 22, 0.0243902, 40, 4.12195, 9.54883, 20, 4.12195, 3.65724, 403, 22, 69.2045,213, 21.4146, 32.9352, 35, 0.853659, 5.39901, 213, 5.19512, 32.8568, 135, 3.29268, 20.8248, 213, 5.19512,32.8568,131, 521, 1499, 0.347565, 0.25144, 1, 83, 3.93593, 5.99993, 83, 3.93593, 5.99993, 253, 12.0045,19.123, 253,12.0045, 5.99993,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/gold-minerlearning08/problems/gold-miner-target-5x5-05-typed.pddl, 95, 267, 12, 13, 1.083333, -2, -0.021053, 0.434776, 1, 1.000000, 0.000000, 2.044944, 0.000000, 1,124,1,11,124,14,1,9,12,12,15,41,2.73333,5,1,9,2.73333,5,1.41421,2.73333,13,3.87298,1,0,41,0,0,0,1,13,allfeatures-gold-minerlearning08,all-gold-miner-target-5x5-05-typed.pddl,bfs-f,gold-minerlearning08,002,0,True
gold-miner-typed,gold-miner-target-5x5-20-typed,1,2,25,13,0,110,0,7,0,0,34,515,559,1074,1332,0,115,0,44,0,137,4,58,245,1490,38,1, 163, 839, 0.233129, 5.14724, 22.0789, 0.0263158, 37, 3.97368, 8.85998, 20, 3.97368, 3.52052, 376, 22.0789, 67.2784,195, 20.9737, 31.7129, 29, 0.763158, 4.64211, 195, 5.13158, 31.2142, 117, 3.07895, 18.7285, 195, 5.13158,31.2142,125, 485, 1382, 0.350941, 0.257732, 1, 83, 3.83219, 5.93006, 83, 3.83219, 5.93006, 249, 11.6517,18.488, 249,11.6517, 5.93006,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/gold-minerlearning08/problems/gold-miner-target-5x5-20-typed.pddl, 95, 258, 11, 12, 1.090909, -2, -0.021053, 0.434776, 1, 1.000000, 0.000000, 2.058140, 0.000000, 1,93,1,11,93,12,1,9,11,11,14,37,2.64286,5,1,8,2.64286,5,1,2.64286,12,3.60555,1,0,38,0,0,0,1,12,allfeatures-gold-minerlearning08,all-gold-miner-target-5x5-20-typed.pddl,bfs-f,gold-minerlearning08,003,0,True
gold-miner-typed,gold-miner-target-6x6-01-typed,1,2,36,13,0,161,0,7,0,0,34,741,806,1547,1902,0,161,0,64,0,199,4,80,352,2114,50,1, 221, 1159, 0.226244, 5.24434, 23.18, 0.02, 49, 3.86, 10.143, 30, 3.86, 4.42723, 519, 23.18, 82.9994,255, 21.18, 38.355, 33, 0.66, 4.62, 255, 5.1, 35.7, 144, 2.88, 20.16, 255, 5.1,35.7,171, 661, 1864, 0.354614, 0.258699, 1, 102, 3.79559, 6.93242, 102, 3.79559, 6.93242, 332, 11.5217,21.7696, 332,11.5217, 6.93242,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/gold-minerlearning08/problems/gold-miner-target-6x6-01-typed.pddl, 137, 368, 15, 15, 1.000000, -2, -0.014599, 0.381801, 1, 1.000000, 0.000000, 1.948370, 0.000000, 1,283,1,14,283,15,1,7,15,15,14,33,2.35714,5,1,8,2.35714,5,1,2.35714,12,3.31662,1,0,50,0,0,0,1,16,allfeatures-gold-minerlearning08,all-gold-miner-target-6x6-01-typed.pddl,bfs-f,gold-minerlearning08,004,0,True
gold-miner-typed,gold-miner-target-7x7-01-typed,1,2,49,13,0,222,0,7,0,0,34,1032,1128,2160,2674,0,237,0,88,0,273,4,106,502,3012,70,1, 313, 1692, 0.223642, 5.40575, 24.1714, 0.0142857, 69, 3.95714, 12.4378, 42, 3.95714, 5.44698, 754, 24.1714, 102.578,369, 22.3429, 47.6097, 49, 0.7, 5.81464, 369, 5.27143, 43.7878, 219, 3.12857, 25.9879, 369, 5.27143,43.7878,237, 956, 2716, 0.351988, 0.247908, 1, 161, 3.99484, 8.49227, 161, 3.99484, 8.49227, 483, 12.0945,26.119, 483,12.0945, 8.49227,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/gold-minerlearning08/problems/gold-miner-target-7x7-01-typed.pddl, 187, 521, 15, 16, 1.066667, -2, -0.010695, 0.372724, 1, 1.000000, 0.000000, 1.925144, 0.011516, 16,317,1,13,317,17,1,5,16,15,10,19,1.9,5,1,4,1.9,4,0,1.9,8,2.44949,1,0,70,0,0,0,1,17,allfeatures-gold-minerlearning08,all-gold-miner-target-7x7-01-typed.pddl,bfs-f,gold-minerlearning08,005,0,True
gold-miner-typed,gold-miner-target-7x7-02-typed,1,2,49,13,0,222,0,7,0,0,34,1051,1152,2203,2755,0,256,0,88,0,273,4,106,521,3145,75,1, 333, 1825, 0.225225, 5.48048, 24.3333, 0.0133333, 74, 4.09333, 13.2606, 42, 4.09333, 5.55739, 811, 24.3333, 105.87,407, 23.1333, 49.7547, 59, 0.786667, 6.76716, 407, 5.42667, 46.682, 257, 3.42667, 29.4773, 407, 5.42667,46.682,247, 1032, 2963, 0.348296, 0.239341, 1, 193, 4.17185, 9.2433, 193, 4.17185, 9.2433, 579, 12.6301,28.148, 579,12.6301, 9.2433,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/gold-minerlearning08/problems/gold-miner-target-7x7-02-typed.pddl, 187, 540, 15, 16, 1.066667, -2, -0.010695, 0.372724, 1, 1.000000, 0.000000, 1.901852, 0.011111, 16,317,1,14,317,17,1,7,16,15,12,28,2.33333,5,1,6,2.33333,5,1,2.33333,10,3.16228,1,0,75,0,0,0,1,17,allfeatures-gold-minerlearning08,all-gold-miner-target-7x7-02-typed.pddl,bfs-f,gold-minerlearning08,006,0,True
gold-miner-typed,gold-miner-target-7x7-05-typed,1,2,49,13,0,222,0,7,0,0,34,1029,1125,2154,2662,0,234,0,88,0,273,4,106,499,2991,70,1, 313, 1671, 0.223642, 5.33866, 23.8714, 0.0142857, 69, 3.95714, 12.4378, 42, 3.95714, 5.44698, 745, 23.8714, 101.518,363, 21.9571, 47.0211, 49, 0.7, 5.81464, 363, 5.18571, 43.0758, 213, 3.04286, 25.2759, 363, 5.18571,43.0758,237, 944, 2677, 0.352634, 0.251059, 1, 145, 3.91984, 8.25759, 145, 3.91984, 8.25759, 439, 11.8862,25.7432, 439,11.8862, 8.25759,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/gold-minerlearning08/problems/gold-miner-target-7x7-05-typed.pddl, 187, 518, 18, 18, 1.000000, -2, -0.010695, 0.342830, 1, 1.000000, 0.000000, 1.936293, 0.000000, 1,698,1,15,698,19,1,5,18,18,13,26,2,5,1,7,2,4,1,2,11,3,1,0,70,0,0,0,1,19,allfeatures-gold-minerlearning08,all-gold-miner-target-7x7-05-typed.pddl,bfs-f,gold-minerlearning08,007,0,True
gold-miner-typed,gold-miner-target-5x5-07-typed,1,2,25,13,0,110,0,7,0,0,34,510,553,1063,1311,0,111,0,44,0,137,4,58,240,1456,37,1, 159, 806, 0.232704, 5.06918, 21.7838, 0.027027, 36, 3.91892, 8.62861, 20, 3.91892, 3.48261, 362, 21.7838, 65.8988,185, 20.3784, 30.7284, 27, 0.72973, 4.37838, 185, 5, 30, 107, 2.89189, 17.3514, 185, 5,30,123, 466, 1320, 0.35303, 0.263948, 1, 76, 3.71279, 5.74103, 76, 3.71279, 5.74103, 253, 11.3158,18.3916, 253,11.3158, 5.74103,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/gold-minerlearning08/problems/gold-miner-target-5x5-07-typed.pddl, 95, 253, 11, 13, 1.181818, -2, -0.021053, 0.480766, 1, 1.000000, 0.000000, 2.007905, 0.019763, 12,93,1,10,93,14,1,7,12,11,12,28,2.33333,5,1,6,2.33333,5,1,2.33333,10,3.16228,1,0,37,0,0,0,1,14,allfeatures-gold-minerlearning08,all-gold-miner-target-5x5-07-typed.pddl,bfs-f,gold-minerlearning08,008,0,True
