@relation problem

@attribute domainInt string
@attribute task_name string
@attribute requirements numeric
@attribute types numeric
@attribute objects numeric
@attribute predicates numeric
@attribute functions numeric
@attribute init numeric
@attribute goal numeric
@attribute actions numeric
@attribute axioms numeric
@attribute use_min_cost_metric numeric
@attribute generated_rules numeric
@attribute relevant_atoms numeric
@attribute auxiliary_atoms numeric
@attribute final_queue_length numeric
@attribute total_queue_pushes numeric
@attribute implied_effects_removed numeric
@attribute effect_conditions_simplified numeric
@attribute implied_preconditions_added numeric
@attribute translator_variables numeric
@attribute translator_derived_variables numeric
@attribute translator_facts numeric
@attribute translator_mutex_groups numeric
@attribute translator_total_mutex_groups_size numeric
@attribute translator_operators numeric
@attribute translator_task_size numeric
@attribute numberVariablesCG numeric
@attribute highLevelVariablesCG numeric
@attribute totalEdgesCG numeric
@attribute totalWeightCG numeric
@attribute veRatio numeric
@attribute weRatio numeric
@attribute wvRatio numeric
@attribute hvRatio numeric
@attribute inputEdgeCGMax numeric
@attribute inputEdgeCGAvg numeric
@attribute inputEdgeCGStd numeric
@attribute outputEdgeCGMax numeric
@attribute outputEdgeCGAvg numeric
@attribute outputEdgeCGStd numeric
@attribute inputWeightCGMax numeric
@attribute inputWeightCGAvg numeric
@attribute inputWeightCGStd numeric
@attribute outputWeightCGMax numeric
@attribute outputWeightCGAvg numeric
@attribute outputWeightCGStd numeric
@attribute inputEdgeHVMax numeric
@attribute inputEdgeHVAvg numeric
@attribute inputEdgeHVStd numeric
@attribute outputEdgeHVMax numeric
@attribute outputEdgeHVAvg numeric
@attribute outputEdgeHVStd numeric
@attribute inputWeightHVMax numeric
@attribute inputWeightHVAvg numeric
@attribute inputWeightHVStd numeric
@attribute outputWeightHVMax numeric
@attribute outputWeightHVAvg numeric
@attribute outputWeightHVStd numeric
@attribute numberVariablesDTG numeric
@attribute totalEdgesDTG numeric
@attribute totalWeigthDTG numeric
@attribute edVaRatioDTG numeric
@attribute weEdRatioDTG numeric
@attribute weVaRatioDTG numeric
@attribute inputEdgeDTGMax numeric
@attribute inputEdgeDTGAvg numeric
@attribute inputEdgeDTGStd numeric
@attribute outputEdgeDTGMax numeric
@attribute outputEdgeDTGAvg numeric
@attribute outputEdgeDTGStd numeric
@attribute inputWeightDTGMax numeric
@attribute inputWeightDTGAvg numeric
@attribute inputWeightDTGStd numeric
@attribute outputWeightDTGMax numeric
@attribute outputWeightDTGAvg numeric
@attribute outputWeightDTGStd numeric
@attribute no numeric
@attribute file string
@attribute num_relevant_facts numeric
@attribute num_actions numeric
@attribute h_max numeric
@attribute h_ff numeric
@attribute h_ff_ratio numeric
@attribute rp_fact_balance_min numeric
@attribute rp_fact_balance_avg numeric
@attribute rp_fact_balance_var numeric
@attribute rp_goal_balance_min numeric
@attribute rp_goal_balance_avg numeric
@attribute rp_goal_balance_var numeric
@attribute balance_Ratio numeric
@attribute Unbalance_Ratio numeric
@attribute Balance_Distorsion numeric
@attribute Additive numeric
@attribute Blind numeric
@attribute Causal_graph numeric
@attribute Context-enhanced_additive numeric
@attribute FF numeric
@attribute Goal_count numeric
@attribute Landmark_count numeric
@attribute Landmark-cut numeric
@attribute Max numeric
@attribute n_landmarks numeric
@attribute numberEdges numeric
@attribute edVaratioLand numeric
@attribute numberFatherNodes numeric
@attribute numberChildrenNodes numeric
@attribute nodosbetween numeric
@attribute avginput numeric
@attribute maxinput numeric
@attribute stdinput numeric
@attribute avgoutput numeric
@attribute maxoutput numeric
@attribute stdoutput numeric
@attribute blackVariables numeric
@attribute blackRootVariables numeric
@attribute redBlackVariables numeric
@attribute allpairsvaluesconnected numeric
@attribute allvaluesconnectedgoal numeric
@attribute blackstronglpyarents numeric
@attribute Maximaleffectsblack  numeric
@attribute Hred-black numeric
@attribute  nameDomain2 string
@attribute  nameFile2 string

@attribute planner {mercury, siw, jasper, bfs-f,arvand,lamar,fd-autotune-1,fd-autotune-2,fdss-2,lama-2008,lama-2011,lpg,madagascar,madagascar-p,probe,yahsp2-mt}
@attribute domain {barman, barmanlearning11, blocksworldlearning11, cybersec-strips, depotslearning11, elevators, elevators08, floortile, gold-minerlearning08, gripperlearning11, matching-bwlearning08, nomystery, n-puzzlelearning08, openstacks, openstacks06, openstacks-adl08, openstacks-strips08, parcprinter, parcprinter-strips08, parking, parkinglearning08, parkinglearning11, pathways06, pegsol, pegsol-strips08, pipesworld06, roverlearning11, rovers06, satellitelearning11, scanalyzer, scanalyzer-strips08, sokoban, sokobanlearning08, sokoban-strips08, storage06, thoughtfullearning08, tidybot, tpp06, tppLearning11, trainingphase, transport, transport-strips08, trucks06, visitall, woodworking, woodworking-strips08}
@attribute problem numeric
@attribute oktimefirssol numeric

@attribute class {True, False}
@data

woodworking,wood-prob,2,18,51,16,5,121,49,13,0,1,198,2106,4065,6171,12094,0,912,0,125,0,328,49,176,1636,14002,118,46, 1874, 17326, 0.0629669, 9.24546, 146.831, 0.389831, 73, 14.7288, 18.6173, 33, 14.7288, 11.6529, 1376, 146.831, 172.483,440, 141.441, 121.952, 29, 3.04237, 6.66943, 440, 78.2458, 117.152, 460, 81.0847, 137.356, 440, 78.2458,117.152,308, 3151, 11669, 0.270032, 0.0977467, 1, 34, 9.73037, 0.846471, 30, 9.03969, 0.846471, 102, 28.9185,2.53941, 90,26.8521, 0.846471,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/woodworking-strips08/problems/p04.pddl, 218, 1660, 3, 43, 14.333333, -1, 0.229358, 0.644426, 0, 0.956522, 0.358531, 31.378315, 1.488554, 12,162,1,428,96,49,45,79,41,3,136,262,1.92647,57,33,46,1.92647,8,1.73205,1.92647,7,2,4,0,118,0,0,0,6,46,allfeatures-woodworking-strips08,all-p04.pddl,bfs-f,woodworking-strips08,000,0,True
woodworking,wood-prob,2,18,50,16,5,102,31,13,0,1,198,1633,3181,4814,9235,0,677,0,102,0,258,39,132,1228,10538,94,30, 1420, 13029, 0.0661972, 9.17535, 138.606, 0.319149, 62, 13.7128, 15.3072, 33, 13.7128, 10.9909, 1016, 138.606, 154.785,440, 132.394, 122.057, 29, 2.7234, 6.27797, 416, 61.9787, 105.727, 459, 71.1702, 132.842, 416, 61.9787,105.727,238, 2319, 8646, 0.268217, 0.10263, 1, 51, 8.99929, 0.769671, 51, 8.99929, 0.769671, 152, 27.1351,2.30901, 152,27.1351, 0.769671,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/woodworking-strips08/problems/p03.pddl, 167, 1246, 2, 23, 11.500000, -2, 0.239521, 0.693939, 0, 0.966667, 0.314466, 14.756020, 0.000000, 6,72,1,259,52,31,30,47,22,2,80,120,1.5,33,22,25,1.5,7,1.41421,1.5,6,1.41421,3,0,94,0,0,0,1,23,allfeatures-woodworking-strips08,all-p03.pddl,bfs-f,woodworking-strips08,001,0,True
woodworking,wood-prob,2,18,50,16,5,127,47,13,0,1,198,2431,4603,7034,13377,0,1380,0,143,0,359,47,167,1946,16119,136,43, 1517, 19127, 0.0896506, 12.6084, 140.64, 0.316176, 65, 10.3676, 14.33, 32, 10.3676, 9.5269, 914, 140.64, 167.384,588, 137.243, 150.592, 28, 2.38971, 5.1452, 391, 55.3382, 104.237, 540, 82.3824, 158.698, 391, 55.3382,104.237,339, 3892, 14591, 0.26674, 0.0871017, 1, 53, 10.4923, 0.789359, 53, 10.4923, 0.789359, 158, 32.4223,2.3875, 158,32.4223, 0.789359,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/woodworking-strips08/problems/p24.pddl, 232, 1970, 2, 37, 18.500000, -2, 0.301724, 0.827541, -1, 1.046512, 0.645323, 19.898478, 1.741117, 19,89,1,321,68,42,40,57,29,2,107,156,1.45794,50,29,28,1.45794,7,1.41421,1.45794,5,1.41421,5,0,136,0,0,0,8,38,allfeatures-woodworking-strips08,all-p24.pddl,bfs-f,woodworking-strips08,002,0,True
woodworking,wood-prob,2,18,77,16,5,256,102,13,0,1,198,6746,12438,19184,38833,0,3819,0,332,0,912,109,466,5704,48002,322,96, 5285, 59189, 0.0609272, 11.1994, 183.817, 0.298137, 144, 15.6646, 29.6281, 45, 15.6646, 16.0459, 3800, 183.817, 267.01,748, 180.326, 202.594, 28, 2.84161, 5.75507, 748, 79.4348, 165.508, 514, 96.4845, 174.665, 748, 79.4348,165.508,892, 12969, 46924, 0.276383, 0.0687794, 1, 81, 13.845, 2.17758, 81, 13.845, 2.17758, 273, 41.641,6.95695, 273,41.641, 2.17758,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/woodworking-strips08/problems/p29.pddl, 613, 5758, 3, 81, 27.000000, -2, 0.293638, 0.893282, 0, 1.187500, 0.440466, 105.323204, 7.374088, 64,206,1,740,165,100,95,130,70,3,249,363,1.45783,119,72,58,1.45783,7,1.41421,1.45783,6,1.41421,13,0,322,0,0,0,8,91,allfeatures-woodworking-strips08,all-p29.pddl,bfs-f,woodworking-strips08,003,0,True
woodworking,wood-prob,2,18,26,16,5,41,9,13,0,1,198,294,496,790,1234,0,108,0,15,0,36,6,18,153,1082,15,5, 48, 903, 0.3125, 18.8125, 60.2, 0.333333, 4, 3.2, 0.748331, 4, 3.2, 0.979796, 112, 60.2, 36.9454,105, 60.2, 26.7462, 4, 1.2, 1.75879, 105, 23.5333, 35.4756, 112, 29.2, 45.8377, 105, 23.5333,35.4756,36, 258, 795, 0.324528, 0.139535, 1, 23, 7.25, 1.92789, 23, 7.25, 1.92789, 69, 21.75,5.78366, 69,21.75, 1.92789,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6,1,22,6,5,4,6,5,2,16,21,1.3125,10,4,2,1.3125,3,0,1.3125,4,1.41421,3,0,15,0,0,0,4,6,allfeatures-woodworking-strips08,all-p11.pddl,bfs-f,woodworking-strips08,004,1,True
woodworking,wood-prob,2,18,84,16,5,276,110,13,0,1,198,9384,15419,24803,56726,0,4452,0,402,0,1118,126,566,8166,71472,391,106, 10886, 95488, 0.0359177, 8.77163, 244.215, 0.2711, 201, 27.0205, 45.4121, 77, 27.0205, 28.0068, 9052, 244.215, 503.793,952, 240.148, 263.606, 59, 4.01023, 11.1082, 952, 96.6829, 198.554, 660, 105.808, 200.569, 952, 96.6829,198.554,1096, 17170, 62577, 0.274382, 0.0638323, 1, 71, 15.4404, 1.12624, 71, 14.5657, 1.02636, 242, 46.0607,3.66108, 242,43.4366, 1.02636,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/woodworking-strips08/problems/p20.pddl, 750, 8226, 2, 88, 44.000000, -2, 0.286667, 0.865153, 1, 1.216981, 0.412189, 61.494774, 4.730367, 42,207,1,815,168,111,106,143,74,2,277,378,1.36462,134,78,65,1.36462,7,1,1.36462,5,1,12,0,391,0,0,0,8,106,allfeatures-woodworking-strips08,all-p20.pddl,bfs-f,woodworking-strips08,005,3,True
woodworking,wood-prob,2,18,53,16,5,129,41,13,0,1,198,2763,4922,7685,15391,0,1468,0,152,0,387,52,187,2246,19076,143,40, 2145, 23827, 0.0666667, 11.1082, 166.622, 0.27972, 79, 13.7832, 18.5103, 37, 13.7832, 12.3996, 1498, 166.622, 209.371,640, 161, 171.791, 32, 1.98601, 4.99648, 580, 54.8881, 113.461, 605, 74.5455, 161.802, 580, 54.8881,113.461,361, 4391, 16653, 0.263676, 0.0822136, 1, 47, 11.0889, 0.816789, 36, 10.3791, 0.816789, 140, 32.8164,2.45774, 108,30.6871, 0.816789,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/woodworking-strips08/problems/p14.pddl, 249, 2270, 2, 32, 16.000000, -2, 0.301205, 0.740155, 1, 1.150000, 0.357071, 21.901762, 1.055507, 8,86,1,305,67,42,40,57,26,2,107,145,1.35514,50,29,28,1.35514,7,1,1.35514,5,1,5,0,143,0,0,0,7,42,allfeatures-woodworking-strips08,all-p14.pddl,bfs-f,woodworking-strips08,006,7,True
woodworking,wood-prob,2,18,48,16,5,93,33,13,0,1,198,1809,3329,5138,10170,0,882,0,108,0,272,40,136,1410,12303,102,33, 1543, 15732, 0.066105, 10.1957, 154.235, 0.323529, 65, 14.0686, 16.9215, 31, 14.0686, 10.7678, 1086, 154.235, 174.737,504, 149.294, 142.314, 28, 2.59804, 6.03139, 345, 57.9608, 102.625, 486, 77.0294, 148.059, 345, 57.9608,102.625,257, 2757, 10866, 0.253727, 0.0932173, 1, 70, 9.3402, 0.201461, 72, 9.28137, 0.201461, 229, 24.7711,0.440895, 231,24.026, 0.201461,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/woodworking-strips08/problems/p13.pddl, 174, 1428, 3, 29, 9.666667, -1, 0.258621, 0.692165, 1, 1.090909, 0.287480, 17.651260, 0.491597, 10,114,1,301,76,32,33,54,24,3,95,165,1.73684,41,22,32,1.73684,9,1.41421,1.73684,7,1.73205,2,0,102,0,0,0,1,29,allfeatures-woodworking-strips08,all-p13.pddl,bfs-f,woodworking-strips08,007,11,True
woodworking,wood-prob,2,18,30,16,5,47,11,13,0,1,198,297,572,869,1233,0,68,0,17,0,43,10,29,132,960,16,7, 48, 777, 0.333333, 16.1875, 48.5625, 0.4375, 6, 2.875, 1.36359, 5, 2.875, 1.21835, 119, 48.5625, 33.9724,112, 48.3125, 34.4433, 5, 1.1875, 1.66654, 112, 25.8125, 40.1781, 119, 23.8125, 38.3523, 112, 25.8125,40.1781,41, 213, 711, 0.299578, 0.192488, 1, 12, 5.0875, 0.234375, 11, 5.05625, 0.234375, 36, 15.15,0.703125, 33,15.0563, 0.234375,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/woodworking-strips08/problems/p01.pddl, 32, 138, 3, 6, 2.000000, -1, 0.187500, 0.768013, 1, 1.142857, 0.349927, 8.065217, 0.000000, 0,19,1,59,14,6,7,10,6,3,24,40,1.66667,14,4,6,1.66667,7,1.41421,1.66667,7,2,3,0,16,0,0,0,3,6,allfeatures-woodworking-strips08,all-p01.pddl,bfs-f,woodworking-strips08,008,25,True
