@relation problem

@attribute domainInt string
@attribute task_name string
@attribute requirements numeric
@attribute types numeric
@attribute objects numeric
@attribute predicates numeric
@attribute functions numeric
@attribute init numeric
@attribute goal numeric
@attribute actions numeric
@attribute axioms numeric
@attribute use_min_cost_metric numeric
@attribute generated_rules numeric
@attribute relevant_atoms numeric
@attribute auxiliary_atoms numeric
@attribute final_queue_length numeric
@attribute total_queue_pushes numeric
@attribute implied_effects_removed numeric
@attribute effect_conditions_simplified numeric
@attribute implied_preconditions_added numeric
@attribute translator_variables numeric
@attribute translator_derived_variables numeric
@attribute translator_facts numeric
@attribute translator_mutex_groups numeric
@attribute translator_total_mutex_groups_size numeric
@attribute translator_operators numeric
@attribute translator_task_size numeric
@attribute numberVariablesCG numeric
@attribute highLevelVariablesCG numeric
@attribute totalEdgesCG numeric
@attribute totalWeightCG numeric
@attribute veRatio numeric
@attribute weRatio numeric
@attribute wvRatio numeric
@attribute hvRatio numeric
@attribute inputEdgeCGMax numeric
@attribute inputEdgeCGAvg numeric
@attribute inputEdgeCGStd numeric
@attribute outputEdgeCGMax numeric
@attribute outputEdgeCGAvg numeric
@attribute outputEdgeCGStd numeric
@attribute inputWeightCGMax numeric
@attribute inputWeightCGAvg numeric
@attribute inputWeightCGStd numeric
@attribute outputWeightCGMax numeric
@attribute outputWeightCGAvg numeric
@attribute outputWeightCGStd numeric
@attribute inputEdgeHVMax numeric
@attribute inputEdgeHVAvg numeric
@attribute inputEdgeHVStd numeric
@attribute outputEdgeHVMax numeric
@attribute outputEdgeHVAvg numeric
@attribute outputEdgeHVStd numeric
@attribute inputWeightHVMax numeric
@attribute inputWeightHVAvg numeric
@attribute inputWeightHVStd numeric
@attribute outputWeightHVMax numeric
@attribute outputWeightHVAvg numeric
@attribute outputWeightHVStd numeric
@attribute numberVariablesDTG numeric
@attribute totalEdgesDTG numeric
@attribute totalWeigthDTG numeric
@attribute edVaRatioDTG numeric
@attribute weEdRatioDTG numeric
@attribute weVaRatioDTG numeric
@attribute inputEdgeDTGMax numeric
@attribute inputEdgeDTGAvg numeric
@attribute inputEdgeDTGStd numeric
@attribute outputEdgeDTGMax numeric
@attribute outputEdgeDTGAvg numeric
@attribute outputEdgeDTGStd numeric
@attribute inputWeightDTGMax numeric
@attribute inputWeightDTGAvg numeric
@attribute inputWeightDTGStd numeric
@attribute outputWeightDTGMax numeric
@attribute outputWeightDTGAvg numeric
@attribute outputWeightDTGStd numeric
@attribute no numeric
@attribute file string
@attribute num_relevant_facts numeric
@attribute num_actions numeric
@attribute h_max numeric
@attribute h_ff numeric
@attribute h_ff_ratio numeric
@attribute rp_fact_balance_min numeric
@attribute rp_fact_balance_avg numeric
@attribute rp_fact_balance_var numeric
@attribute rp_goal_balance_min numeric
@attribute rp_goal_balance_avg numeric
@attribute rp_goal_balance_var numeric
@attribute balance_Ratio numeric
@attribute Unbalance_Ratio numeric
@attribute Balance_Distorsion numeric
@attribute Additive numeric
@attribute Blind numeric
@attribute Causal_graph numeric
@attribute Context-enhanced_additive numeric
@attribute FF numeric
@attribute Goal_count numeric
@attribute Landmark_count numeric
@attribute Landmark-cut numeric
@attribute Max numeric
@attribute n_landmarks numeric
@attribute numberEdges numeric
@attribute edVaratioLand numeric
@attribute numberFatherNodes numeric
@attribute numberChildrenNodes numeric
@attribute nodosbetween numeric
@attribute avginput numeric
@attribute maxinput numeric
@attribute stdinput numeric
@attribute avgoutput numeric
@attribute maxoutput numeric
@attribute stdoutput numeric
@attribute blackVariables numeric
@attribute blackRootVariables numeric
@attribute redBlackVariables numeric
@attribute allpairsvaluesconnected numeric
@attribute allvaluesconnectedgoal numeric
@attribute blackstronglpyarents numeric
@attribute Maximaleffectsblack  numeric
@attribute Hred-black numeric
@attribute  nameDomain2 string
@attribute  nameFile2 string

@attribute planner {mercury, siw, jasper, bfs-f,arvand,lamar,fd-autotune-1,fd-autotune-2,fdss-2,lama-2008,lama-2011,lpg,madagascar,madagascar-p,probe,yahsp2-mt}
@attribute domain {barman, barmanlearning11, blocksworldlearning11, cybersec-strips, depotslearning11, elevators, elevators08, floortile, gold-minerlearning08, gripperlearning11, matching-bwlearning08, nomystery, n-puzzlelearning08, openstacks, openstacks06, openstacks-adl08, openstacks-strips08, parcprinter, parcprinter-strips08, parking, parkinglearning08, parkinglearning11, pathways06, pegsol, pegsol-strips08, pipesworld06, roverlearning11, rovers06, satellitelearning11, scanalyzer, scanalyzer-strips08, sokoban, sokobanlearning08, sokoban-strips08, storage06, thoughtfullearning08, tidybot, tpp06, tppLearning11, trainingphase, transport, transport-strips08, trucks06, visitall, woodworking, woodworking-strips08}
@attribute problem numeric
@attribute oktimefirssol numeric

@attribute class {True, False}
@data

woodworking,wood-prob,2,18,80,16,5,251,95,13,0,1,198,8743,14347,23090,53783,0,3894,0,378,0,1045,116,521,7607,67374,367,91, 10978, 91437, 0.0334305, 8.32911, 249.147, 0.247956, 198, 29.0436, 45.1343, 84, 29.0436, 30.3176, 9256, 249.147, 525.191,982, 244.842, 273.608, 66, 3.57766, 10.5567, 982, 96.0708, 207.411, 730, 95.3706, 191.918, 982, 96.0708,207.411,1023, 16152, 58797, 0.274708, 0.0633358, 1, 85, 15.4644, 2.14249, 83, 15.4644, 2.01902, 278, 47.0814,6.79524, 278,47.0814, 2.01902,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/woodworking/problems/p04.pddl, 697, 7661, 2, 78, 39.000000, -2, 0.286944, 0.823447, -1, 1.153846, 0.489967, 56.946091, 5.261323, 34,186,1,735,146,93,89,126,63,2,241,330,1.36929,115,61,65,1.36929,7,1,1.36929,5,1,12,0,367,0,0,0,8,96,allfeatures-woodworking,all-p04.pddl,bfs-f,woodworking,000,7,True
woodworking,wood-prob,2,18,77,16,5,265,100,13,0,1,198,7008,12413,19421,40737,0,3801,0,342,0,910,102,430,5972,50318,333,86, 6214, 63104, 0.0535887, 10.1551, 189.502, 0.258258, 146, 18.048, 30.1595, 62, 18.048, 20.466, 4698, 189.502, 308.297,860, 186.691, 219.16, 46, 3.07808, 7.76068, 860, 73.0901, 164.414, 520, 89.0691, 173.014, 860, 73.0901,164.414,892, 12290, 44447, 0.276509, 0.0725793, 1, 64, 13.1818, 1.34513, 64, 12.4091, 1.26791, 224, 39.855,4.38205, 224,37.5387, 1.26791,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/woodworking/problems/p03.pddl, 604, 6026, 2, 73, 36.500000, -2, 0.248344, 0.755497, 0, 1.151163, 0.470464, 48.893795, 3.004647, 30,168,1,629,141,90,84,118,64,2,227,334,1.47137,109,64,54,1.47137,7,1,1.47137,5,1.41421,15,0,333,0,0,0,8,84,allfeatures-woodworking,all-p03.pddl,bfs-f,woodworking,001,10,True
woodworking,wood-prob,2,18,85,16,5,316,119,13,0,1,198,9211,15571,24782,54105,0,4830,0,416,0,1128,126,548,7963,67578,405,105, 8994, 86310, 0.04503, 9.5964, 213.111, 0.259259, 179, 21.5333, 38.107, 70, 21.5333, 24.339, 7138, 213.111, 402.465,910, 209.891, 238.877, 52, 3.44198, 9.21136, 910, 85.0074, 182.021, 590, 99.963, 188.736, 910, 85.0074,182.021,1106, 16391, 59018, 0.277729, 0.0674761, 1, 85, 14.4338, 2.04002, 85, 14.4338, 1.96243, 284, 43.8453,6.48391, 284,43.8453, 1.96243,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/woodworking/problems/p11.pddl, 755, 8029, 2, 97, 48.500000, -2, 0.264901, 0.857395, -1, 1.123810, 0.563919, 62.080460, 5.669448, 51,220,1,825,165,121,100,150,82,2,283,423,1.4947,133,74,76,1.4947,7,1.41421,1.4947,6,1.41421,15,0,405,0,0,0,8,91,allfeatures-woodworking,all-p11.pddl,bfs-f,woodworking,002,11,True
woodworking,wood-prob,2,18,87,16,5,234,80,13,0,1,198,18703,12662,31365,103037,0,9312,0,325,0,889,100,457,17556,153099,316,77, 8687, 211960, 0.0363762, 24.3997, 670.759, 0.243671, 169, 26.7247, 40.2937, 77, 26.7247, 27.4562, 6840, 670.759, 863.739,2690, 660.582, 747.388, 59, 3.68038, 10.6154, 2690, 266.361, 572.805, 1920, 276.446, 547.271, 2690, 266.361,572.805,871, 18234, 64473, 0.282816, 0.0477679, 1, 97, 19.6296, 0.364496, 96, 17.5304, 0.364496, 318, 58.8459,1.12153, 318,52.3639, 0.364496,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/woodworking/problems/p20.pddl, 592, 17694, 2, 66, 33.000000, -2, 0.285473, 0.826866, 0, 1.194805, 0.427586, 40.123207, 2.605403, 23,163,1,622,124,83,76,109,56,2,202,290,1.43564,93,55,54,1.43564,7,1.41421,1.43564,6,1.41421,5,0,316,0,0,0,8,63,allfeatures-woodworking,all-p20.pddl,bfs-f,woodworking,003,25,True
woodworking,wood-prob,2,18,87,16,5,349,125,13,0,1,198,9423,15727,25150,54646,0,5076,0,438,0,1152,127,530,8142,68104,428,100, 8749, 85428, 0.0489199, 9.76432, 199.598, 0.233645, 169, 19.8621, 35.0063, 70, 19.8621, 24.1989, 6818, 199.598, 377.468,910, 196.832, 232.433, 53, 2.80607, 8.57988, 910, 77.236, 181.737, 590, 82.3995, 175.451, 910, 77.236,181.737,1132, 16136, 57658, 0.279857, 0.0701537, 1, 90, 13.7437, 1.74328, 77, 13.7437, 1.43153, 270, 40.6498,5.22587, 229,40.6498, 1.43153,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/woodworking/problems/p14.pddl, 765, 8214, 2, 87, 43.500000, -2, 0.227451, 0.769028, -1, 1.070000, 0.604235, 68.436325, 4.719747, 39,178,1,677,155,105,95,130,71,2,275,369,1.34182,145,73,57,1.34182,6,1,1.34182,5,1.41421,21,0,428,0,0,0,8,84,allfeatures-woodworking,all-p14.pddl,bfs-f,woodworking,004,37,True
woodworking,wood-prob,2,18,87,16,5,323,130,13,0,1,198,9734,16183,25917,58938,0,4476,0,423,0,1182,139,614,8428,73028,413,120, 11264, 96048, 0.0366655, 8.52699, 232.562, 0.290557, 204, 26.477, 46.4443, 74, 26.477, 27.5351, 9392, 232.562, 501.266,848, 228.523, 236.657, 58, 4.2276, 11.564, 848, 96.3608, 190.191, 640, 98.7724, 182.623, 848, 96.3608,190.191,1162, 17593, 62843, 0.279952, 0.066049, 1, 77, 15.0968, 1.0063, 72, 15.0968, 1.0063, 240, 45.2422,3.11707, 240,45.2422, 1.0063,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/woodworking/problems/p13.pddl, 804, 8500, 2, 103, 51.500000, -2, 0.273632, 0.829944, 0, 1.141667, 0.488123, 75.403999, 6.019647, 47,236,1,892,185,121,115,166,89,2,316,449,1.42089,150,86,80,1.42089,7,1,1.42089,5,1.41421,14,0,413,0,0,0,8,125,allfeatures-woodworking,all-p13.pddl,bfs-f,woodworking,005,28,True
woodworking,wood-prob,2,18,71,16,5,200,76,13,0,1,198,5902,9838,15740,36026,0,2621,0,279,0,748,92,374,5035,44785,270,74, 7327, 60603, 0.03685, 8.27119, 224.456, 0.274074, 160, 26.3333, 37.9015, 70, 26.3333, 25.1203, 6084, 224.456, 405.951,812, 220.656, 229.472, 55, 3.80741, 10.4169, 657, 86.2926, 172.614, 600, 92.3407, 172.719, 657, 86.2926,172.614,730, 10999, 40566, 0.271138, 0.0663697, 1, 82, 14.4776, 2.06279, 69, 14.4776, 1.56032, 246, 42.8378,6.15426, 205,42.8378, 1.56032,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/woodworking/problems/p01.pddl, 492, 5077, 2, 66, 33.000000, -2, 0.294715, 0.788982, 1, 1.189189, 0.391659, 44.241875, 2.708686, 26,168,1,627,125,80,74,104,53,2,195,285,1.46154,91,53,51,1.46154,7,1.41421,1.46154,5,1.41421,9,0,270,0,0,0,8,78,allfeatures-woodworking,all-p01.pddl,bfs-f,woodworking,006,12,True
woodworking,wood-prob,2,18,84,16,5,276,110,13,0,1,198,9384,15419,24803,56726,0,4452,0,402,0,1118,126,566,8166,71472,391,106, 10886, 95488, 0.0359177, 8.77163, 244.215, 0.2711, 201, 27.0205, 45.4121, 77, 27.0205, 28.0068, 9052, 244.215, 503.793,952, 240.148, 263.606, 59, 4.01023, 11.1082, 952, 96.6829, 198.554, 660, 105.808, 200.569, 952, 96.6829,198.554,1096, 17170, 62577, 0.274382, 0.0638323, 1, 71, 15.4404, 1.12624, 71, 14.5657, 1.02636, 242, 46.0607,3.66108, 242,43.4366, 1.02636,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/woodworking/problems/p05.pddl, 750, 8226, 2, 88, 44.000000, -2, 0.286667, 0.865153, 1, 1.216981, 0.412189, 61.494774, 4.730367, 42,207,1,815,168,111,106,143,74,2,277,378,1.36462,134,78,65,1.36462,7,1,1.36462,5,1,12,0,391,0,0,0,8,106,allfeatures-woodworking,all-p05.pddl,bfs-f,woodworking,007,-1,False
woodworking,wood-prob,2,18,77,16,5,225,89,13,0,1,198,6637,11144,17781,42235,0,2304,0,302,0,838,103,440,5664,51094,292,85, 9707, 70614, 0.0300814, 7.27454, 241.829, 0.291096, 188, 32.3219, 44.5133, 87, 32.3219, 30.4689, 8396, 241.829, 524.355,826, 237.404, 236.128, 72, 4.47945, 13.0272, 710, 113.01, 206.179, 780, 94.0445, 176.139, 710, 113.01,206.179,818, 11991, 42837, 0.279922, 0.0682178, 1, 71, 14.4593, 1.97277, 67, 14.4593, 1.87809, 226, 44.1895,6.26236, 226,44.1895, 1.87809,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/woodworking/problems/p02.pddl, 563, 5712, 2, 72, 36.000000, -2, 0.301954, 0.900629, 0, 1.164706, 0.401382, 54.735294, 3.909664, 35,186,1,707,141,73,85,122,60,2,219,323,1.47489,97,60,62,1.47489,7,1.41421,1.47489,5,1.41421,10,0,292,0,0,0,7,88,allfeatures-woodworking,all-p02.pddl,bfs-f,woodworking,008,8,True
