
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : barmanlearning11
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+------------------+---------+----------------+
| planner |      domain      | problem | oktimefirstsol |
+---------+------------------+---------+----------------+
|  bfs-f  | barmanlearning11 |   000   |       5        |
|  bfs-f  | barmanlearning11 |   001   |       5        |
|  bfs-f  | barmanlearning11 |   002   |       5        |
|  bfs-f  | barmanlearning11 |   003   |       4        |
|  bfs-f  | barmanlearning11 |   004   |       4        |
|  bfs-f  | barmanlearning11 |   005   |       8        |
|  bfs-f  | barmanlearning11 |   006   |       8        |
|  bfs-f  | barmanlearning11 |   007   |       9        |
|  bfs-f  | barmanlearning11 |   008   |       10       |
|  bfs-f  | barmanlearning11 |   009   |       8        |
|  bfs-f  | barmanlearning11 |   010   |       11       |
|  bfs-f  | barmanlearning11 |   011   |       14       |
|  bfs-f  | barmanlearning11 |   012   |       12       |
|  bfs-f  | barmanlearning11 |   013   |       12       |
|  bfs-f  | barmanlearning11 |   014   |       12       |
|  bfs-f  | barmanlearning11 |   015   |       17       |
|  bfs-f  | barmanlearning11 |   016   |       17       |
|  bfs-f  | barmanlearning11 |   017   |       15       |
|  bfs-f  | barmanlearning11 |   018   |       17       |
|  bfs-f  | barmanlearning11 |   019   |       19       |
|  bfs-f  | barmanlearning11 |   020   |       23       |
|  bfs-f  | barmanlearning11 |   021   |       25       |
|  bfs-f  | barmanlearning11 |   022   |       25       |
|  bfs-f  | barmanlearning11 |   023   |       23       |
|  bfs-f  | barmanlearning11 |   024   |       21       |
|  bfs-f  | barmanlearning11 |   025   |       32       |
|  bfs-f  | barmanlearning11 |   026   |       31       |
|  bfs-f  | barmanlearning11 |   027   |       38       |
|  bfs-f  | barmanlearning11 |   028   |       32       |
|  bfs-f  | barmanlearning11 |   029   |       34       |
|  jasper | barmanlearning11 |   000   |       -1       |
|  jasper | barmanlearning11 |   001   |       -1       |
|  jasper | barmanlearning11 |   002   |       -1       |
|  jasper | barmanlearning11 |   003   |       -1       |
|  jasper | barmanlearning11 |   004   |       -1       |
|  jasper | barmanlearning11 |   005   |       -1       |
|  jasper | barmanlearning11 |   006   |       -1       |
|  jasper | barmanlearning11 |   007   |       -1       |
|  jasper | barmanlearning11 |   008   |       -1       |
