
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : blocksworldlearning11
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+-----------------------+---------+----------------+
| planner |         domain        | problem | oktimefirstsol |
+---------+-----------------------+---------+----------------+
|  bfs-f  | blocksworldlearning11 |   000   |       -1       |
|  bfs-f  | blocksworldlearning11 |   001   |       -1       |
|  bfs-f  | blocksworldlearning11 |   002   |      133       |
|  bfs-f  | blocksworldlearning11 |   003   |       -1       |
|  bfs-f  | blocksworldlearning11 |   004   |       -1       |
|  bfs-f  | blocksworldlearning11 |   005   |       -1       |
|  bfs-f  | blocksworldlearning11 |   006   |       -1       |
|  bfs-f  | blocksworldlearning11 |   007   |       -1       |
|  bfs-f  | blocksworldlearning11 |   008   |       -1       |
|  bfs-f  | blocksworldlearning11 |   009   |       -1       |
|  bfs-f  | blocksworldlearning11 |   010   |       -1       |
|  bfs-f  | blocksworldlearning11 |   011   |       -1       |
|  bfs-f  | blocksworldlearning11 |   012   |       -1       |
|  bfs-f  | blocksworldlearning11 |   013   |       -1       |
|  bfs-f  | blocksworldlearning11 |   014   |       -1       |
|  bfs-f  | blocksworldlearning11 |   015   |       -1       |
|  bfs-f  | blocksworldlearning11 |   016   |       -1       |
|  bfs-f  | blocksworldlearning11 |   017   |       -1       |
|  bfs-f  | blocksworldlearning11 |   018   |       -1       |
|  bfs-f  | blocksworldlearning11 |   019   |       -1       |
|  bfs-f  | blocksworldlearning11 |   020   |       -1       |
|  bfs-f  | blocksworldlearning11 |   021   |       -1       |
|  bfs-f  | blocksworldlearning11 |   022   |       -1       |
|  bfs-f  | blocksworldlearning11 |   023   |       -1       |
|  bfs-f  | blocksworldlearning11 |   024   |       -1       |
|  bfs-f  | blocksworldlearning11 |   025   |       -1       |
|  bfs-f  | blocksworldlearning11 |   026   |       -1       |
|  bfs-f  | blocksworldlearning11 |   027   |       -1       |
|  bfs-f  | blocksworldlearning11 |   028   |       -1       |
|  bfs-f  | blocksworldlearning11 |   029   |       -1       |
|  jasper | blocksworldlearning11 |   000   |       -1       |
|  jasper | blocksworldlearning11 |   001   |       -1       |
|  jasper | blocksworldlearning11 |   002   |       -1       |
|  jasper | blocksworldlearning11 |   003   |       -1       |
|  jasper | blocksworldlearning11 |   004   |       -1       |
|  jasper | blocksworldlearning11 |   005   |       -1       |
|  jasper | blocksworldlearning11 |   006   |       -1       |
|  jasper | blocksworldlearning11 |   007   |       -1       |
|  jasper | blocksworldlearning11 |   008   |       -1       |
|  jasper | blocksworldlearning11 |   009   |       -1       |
|  jasper | blocksworldlearning11 |   010   |       -1       |
|  jasper | blocksworldlearning11 |   011   |       -1       |
|  jasper | blocksworldlearning11 |   012   |       -1       |
|  jasper | blocksworldlearning11 |   013   |       -1       |
