
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : elevators
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+-------------+---------+----------------+
| planner |    domain   | problem | oktimefirstsol |
+---------+-------------+---------+----------------+
|  bfs-f  |  elevators  |   000   |       1        |
|  bfs-f  |  elevators  |   001   |       19       |
|  bfs-f  |  elevators  |   002   |       40       |
|  bfs-f  |  elevators  |   003   |       3        |
|  bfs-f  |  elevators  |   004   |       4        |
|  bfs-f  |  elevators  |   005   |       61       |
|  bfs-f  |  elevators  |   006   |       26       |
|  bfs-f  |  elevators  |   007   |      133       |
|  bfs-f  |  elevators  |   008   |      192       |
|  bfs-f  |  elevators  |   009   |      170       |
|  bfs-f  |  elevators  |   010   |      304       |
|  bfs-f  |  elevators  |   011   |      698       |
|  bfs-f  |  elevators  |   012   |      410       |
|  bfs-f  |  elevators  |   013   |      671       |
|  bfs-f  |  elevators  |   014   |      758       |
|  bfs-f  |  elevators  |   015   |      895       |
|  bfs-f  |  elevators  |   016   |      1541      |
|  bfs-f  |  elevators  |   017   |       -1       |
|  bfs-f  |  elevators  |   018   |       -1       |
|  bfs-f  |  elevators  |   019   |       -1       |
|  jasper |  elevators  |   000   |       0        |
|  jasper |  elevators  |   001   |       2        |
|  jasper |  elevators  |   002   |       6        |
|  jasper |  elevators  |   003   |       1        |
|  jasper |  elevators  |   004   |       1        |
|  jasper |  elevators  |   005   |       4        |
|  jasper |  elevators  |   006   |       3        |
|  jasper |  elevators  |   007   |       3        |
|  jasper |  elevators  |   008   |       4        |
|  jasper |  elevators  |   009   |       4        |
|  jasper |  elevators  |   010   |       7        |
|  jasper |  elevators  |   011   |       8        |
|  jasper |  elevators  |   012   |       9        |
|  jasper |  elevators  |   013   |       10       |
|  jasper |  elevators  |   014   |       10       |
|  jasper |  elevators  |   015   |       9        |
|  jasper |  elevators  |   016   |       11       |
|  jasper |  elevators  |   017   |       15       |
|  jasper |  elevators  |   018   |       19       |
|  jasper |  elevators  |   019   |       20       |
| mercury |  elevators  |   000   |       3        |
| mercury |  elevators  |   001   |       3        |
| mercury |  elevators  |   002   |       3        |
| mercury |  elevators  |   003   |       2        |
| mercury |  elevators  |   004   |       2        |
| mercury |  elevators  |   005   |       3        |
| mercury |  elevators  |   006   |       3        |
| mercury |  elevators  |   007   |       3        |
| mercury |  elevators  |   008   |       3        |
| mercury |  elevators  |   009   |       4        |
| mercury |  elevators  |   010   |       5        |
| mercury |  elevators  |   011   |       5        |
| mercury |  elevators  |   012   |       6        |
| mercury |  elevators  |   013   |       6        |
| mercury |  elevators  |   014   |       6        |
| mercury |  elevators  |   015   |       6        |
| mercury |  elevators  |   016   |       7        |
| mercury |  elevators  |   017   |       7        |
| mercury |  elevators  |   018   |       8        |
| mercury |  elevators  |   019   |       8        |
|   siw   |  elevators  |   000   |       1        |
|   siw   |  elevators  |   001   |       25       |
|   siw   |  elevators  |   002   |       41       |
|   siw   |  elevators  |   003   |       4        |
|   siw   |  elevators  |   004   |       5        |
|   siw   |  elevators  |   005   |       71       |
|   siw   |  elevators  |   006   |       30       |
|   siw   |  elevators  |   007   |       71       |
|   siw   |  elevators  |   008   |      104       |
|   siw   |  elevators  |   009   |       96       |
|   siw   |  elevators  |   010   |      410       |
