
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : openstacks-adl08
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+------------------+---------+----------------+
| planner |      domain      | problem | oktimefirstsol |
+---------+------------------+---------+----------------+
|  bfs-f  | openstacks-adl08 |   000   |       0        |
|  bfs-f  | openstacks-adl08 |   001   |       0        |
|  bfs-f  | openstacks-adl08 |   002   |       0        |
|  bfs-f  | openstacks-adl08 |   003   |       0        |
|  bfs-f  | openstacks-adl08 |   004   |       0        |
|  bfs-f  | openstacks-adl08 |   005   |       0        |
|  bfs-f  | openstacks-adl08 |   006   |       0        |
|  bfs-f  | openstacks-adl08 |   007   |       0        |
|  bfs-f  | openstacks-adl08 |   008   |       0        |
|  bfs-f  | openstacks-adl08 |   009   |       0        |
|  bfs-f  | openstacks-adl08 |   010   |       0        |
|  bfs-f  | openstacks-adl08 |   011   |       0        |
|  bfs-f  | openstacks-adl08 |   012   |       0        |
|  bfs-f  | openstacks-adl08 |   013   |       1        |
|  bfs-f  | openstacks-adl08 |   014   |       1        |
|  bfs-f  | openstacks-adl08 |   015   |       0        |
|  bfs-f  | openstacks-adl08 |   016   |       1        |
|  bfs-f  | openstacks-adl08 |   017   |       1        |
|  bfs-f  | openstacks-adl08 |   018   |       1        |
|  bfs-f  | openstacks-adl08 |   019   |       2        |
|  bfs-f  | openstacks-adl08 |   020   |       2        |
|  bfs-f  | openstacks-adl08 |   021   |       3        |
|  bfs-f  | openstacks-adl08 |   022   |       5        |
|  bfs-f  | openstacks-adl08 |   023   |       5        |
|  bfs-f  | openstacks-adl08 |   024   |       4        |
|  bfs-f  | openstacks-adl08 |   025   |       18       |
|  bfs-f  | openstacks-adl08 |   026   |       19       |
|  bfs-f  | openstacks-adl08 |   027   |       20       |
|  bfs-f  | openstacks-adl08 |   028   |       47       |
|  bfs-f  | openstacks-adl08 |   029   |       47       |
|  bfs-f  | openstacks-adl08 |   030   |       45       |
|  jasper | openstacks-adl08 |   000   |       -1       |
|  jasper | openstacks-adl08 |   001   |       -1       |
|  jasper | openstacks-adl08 |   002   |       -1       |
|  jasper | openstacks-adl08 |   003   |       -1       |
|  jasper | openstacks-adl08 |   004   |       -1       |
|  jasper | openstacks-adl08 |   005   |       -1       |
|  jasper | openstacks-adl08 |   006   |       -1       |
|  jasper | openstacks-adl08 |   007   |       -1       |
|  jasper | openstacks-adl08 |   008   |       -1       |
|  jasper | openstacks-adl08 |   009   |       -1       |
|  jasper | openstacks-adl08 |   010   |       -1       |
|  jasper | openstacks-adl08 |   011   |       -1       |
|  jasper | openstacks-adl08 |   012   |       -1       |
|  jasper | openstacks-adl08 |   013   |       -1       |
|  jasper | openstacks-adl08 |   014   |       -1       |
|  jasper | openstacks-adl08 |   015   |       -1       |
|  jasper | openstacks-adl08 |   016   |       -1       |
|  jasper | openstacks-adl08 |   017   |       -1       |
|  jasper | openstacks-adl08 |   018   |       -1       |
|  jasper | openstacks-adl08 |   019   |       -1       |
|  jasper | openstacks-adl08 |   020   |       -1       |
|  jasper | openstacks-adl08 |   021   |       -1       |
|  jasper | openstacks-adl08 |   022   |       -1       |
