
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : openstacks
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+---------------------+---------+----------------+
| planner |        domain       | problem | oktimefirstsol |
+---------+---------------------+---------+----------------+
|  bfs-f  |      openstacks     |   000   |       3        |
|  bfs-f  |      openstacks     |   001   |       4        |
|  bfs-f  |      openstacks     |   002   |       4        |
|  bfs-f  |      openstacks     |   003   |       19       |
|  bfs-f  |      openstacks     |   004   |       21       |
|  bfs-f  |      openstacks     |   005   |       22       |
|  bfs-f  |      openstacks     |   006   |       3        |
|  bfs-f  |      openstacks     |   007   |       48       |
|  bfs-f  |      openstacks     |   008   |       49       |
|  bfs-f  |      openstacks     |   009   |       47       |
|  bfs-f  |      openstacks     |   010   |      154       |
|  bfs-f  |      openstacks     |   011   |      248       |
|  bfs-f  |      openstacks     |   012   |      370       |
|  bfs-f  |      openstacks     |   013   |      626       |
|  bfs-f  |      openstacks     |   014   |      822       |
|  bfs-f  |      openstacks     |   015   |      1369      |
|  bfs-f  |      openstacks     |   016   |      1668      |
|  bfs-f  |      openstacks     |   017   |       -1       |
|  bfs-f  |      openstacks     |   018   |       -1       |
|  bfs-f  |      openstacks     |   019   |       -1       |
|  jasper |      openstacks     |   000   |       2        |
|  jasper |      openstacks     |   001   |       3        |
|  jasper |      openstacks     |   002   |       3        |
|  jasper |      openstacks     |   003   |       5        |
|  jasper |      openstacks     |   004   |       5        |
|  jasper |      openstacks     |   005   |       5        |
|  jasper |      openstacks     |   006   |       1        |
|  jasper |      openstacks     |   007   |       8        |
|  jasper |      openstacks     |   008   |       10       |
|  jasper |      openstacks     |   009   |       9        |
|  jasper |      openstacks     |   010   |       17       |
|  jasper |      openstacks     |   011   |       23       |
|  jasper |      openstacks     |   012   |       30       |
|  jasper |      openstacks     |   013   |       41       |
|  jasper |      openstacks     |   014   |       52       |
|  jasper |      openstacks     |   015   |       68       |
|  jasper |      openstacks     |   016   |       81       |
|  jasper |      openstacks     |   017   |      112       |
|  jasper |      openstacks     |   018   |      124       |
|  jasper |      openstacks     |   019   |      175       |
| mercury |      openstacks     |   000   |       2        |
| mercury |      openstacks     |   001   |       3        |
| mercury |      openstacks     |   002   |       4        |
| mercury |      openstacks     |   003   |       5        |
| mercury |      openstacks     |   004   |       5        |
| mercury |      openstacks     |   005   |       5        |
| mercury |      openstacks     |   006   |       3        |
| mercury |      openstacks     |   007   |       9        |
| mercury |      openstacks     |   008   |       9        |
| mercury |      openstacks     |   009   |       10       |
| mercury |      openstacks     |   010   |       16       |
| mercury |      openstacks     |   011   |       32       |
| mercury |      openstacks     |   012   |       29       |
| mercury |      openstacks     |   013   |       65       |
| mercury |      openstacks     |   014   |       63       |
| mercury |      openstacks     |   015   |      129       |
| mercury |      openstacks     |   016   |      113       |
| mercury |      openstacks     |   017   |      242       |
| mercury |      openstacks     |   018   |      218       |
| mercury |      openstacks     |   019   |      458       |
|   siw   |      openstacks     |   000   |       2        |
|   siw   |      openstacks     |   001   |       4        |
|   siw   |      openstacks     |   002   |       6        |
|   siw   |      openstacks     |   003   |       -1       |
|   siw   |      openstacks     |   004   |      188       |
|   siw   |      openstacks     |   005   |       15       |
|   siw   |      openstacks     |   006   |      299       |
|   siw   |      openstacks     |   007   |       -1       |
|   siw   |      openstacks     |   008   |       -1       |
|   siw   |      openstacks     |   009   |       -1       |
|   siw   |      openstacks     |   010   |      195       |
|   siw   |      openstacks     |   011   |       -1       |
|   siw   |      openstacks     |   012   |       -1       |
|   siw   |      openstacks     |   013   |       -1       |
|   siw   |      openstacks     |   014   |       -1       |
|   siw   |      openstacks     |   015   |       -1       |
|   siw   |      openstacks     |   016   |       -1       |
|   siw   |      openstacks     |   017   |       -1       |
|   siw   |      openstacks     |   018   |       -1       |
|   siw   |      openstacks     |   019   |       -1       |
|  bfs-f  |   openstacks-adl08  |   000   |       0        |
|  bfs-f  |   openstacks-adl08  |   001   |       0        |
|  bfs-f  |   openstacks-adl08  |   002   |       0        |
|  bfs-f  |   openstacks-adl08  |   003   |       0        |
|  bfs-f  |   openstacks-adl08  |   004   |       0        |
|  bfs-f  |   openstacks-adl08  |   005   |       0        |
|  bfs-f  |   openstacks-adl08  |   006   |       0        |
|  bfs-f  |   openstacks-adl08  |   007   |       0        |
|  bfs-f  |   openstacks-adl08  |   008   |       0        |
|  bfs-f  |   openstacks-adl08  |   009   |       0        |
|  bfs-f  |   openstacks-adl08  |   010   |       0        |
|  bfs-f  |   openstacks-adl08  |   011   |       0        |
|  bfs-f  |   openstacks-adl08  |   012   |       0        |
|  bfs-f  |   openstacks-adl08  |   013   |       1        |
|  bfs-f  |   openstacks-adl08  |   014   |       1        |
|  bfs-f  |   openstacks-adl08  |   015   |       0        |
|  bfs-f  |   openstacks-adl08  |   016   |       1        |
|  bfs-f  |   openstacks-adl08  |   017   |       1        |
|  bfs-f  |   openstacks-adl08  |   018   |       1        |
|  bfs-f  |   openstacks-adl08  |   019   |       2        |
|  bfs-f  |   openstacks-adl08  |   020   |       2        |
|  bfs-f  |   openstacks-adl08  |   021   |       3        |
|  bfs-f  |   openstacks-adl08  |   022   |       5        |
|  bfs-f  |   openstacks-adl08  |   023   |       5        |
|  bfs-f  |   openstacks-adl08  |   024   |       4        |
|  bfs-f  |   openstacks-adl08  |   025   |       18       |
|  bfs-f  |   openstacks-adl08  |   026   |       19       |
|  bfs-f  |   openstacks-adl08  |   027   |       20       |
|  bfs-f  |   openstacks-adl08  |   028   |       47       |
|  bfs-f  |   openstacks-adl08  |   029   |       47       |
|  bfs-f  |   openstacks-adl08  |   030   |       45       |
|  jasper |   openstacks-adl08  |   000   |       -1       |
|  jasper |   openstacks-adl08  |   001   |       -1       |
|  jasper |   openstacks-adl08  |   002   |       -1       |
|  jasper |   openstacks-adl08  |   003   |       -1       |
|  jasper |   openstacks-adl08  |   004   |       -1       |
|  jasper |   openstacks-adl08  |   005   |       -1       |
|  jasper |   openstacks-adl08  |   006   |       -1       |
|  jasper |   openstacks-adl08  |   007   |       -1       |
|  jasper |   openstacks-adl08  |   008   |       -1       |
|  jasper |   openstacks-adl08  |   009   |       -1       |
|  jasper |   openstacks-adl08  |   010   |       -1       |
|  jasper |   openstacks-adl08  |   011   |       -1       |
|  jasper |   openstacks-adl08  |   012   |       -1       |
|  jasper |   openstacks-adl08  |   013   |       -1       |
|  jasper |   openstacks-adl08  |   014   |       -1       |
|  jasper |   openstacks-adl08  |   015   |       -1       |
|  jasper |   openstacks-adl08  |   016   |       -1       |
|  jasper |   openstacks-adl08  |   017   |       -1       |
|  jasper |   openstacks-adl08  |   018   |       -1       |
|  jasper |   openstacks-adl08  |   019   |       -1       |
|  jasper |   openstacks-adl08  |   020   |       -1       |
|  jasper |   openstacks-adl08  |   021   |       -1       |
|  jasper |   openstacks-adl08  |   022   |       -1       |
|  jasper |   openstacks-adl08  |   023   |       -1       |
|  jasper |   openstacks-adl08  |   024   |       -1       |
|  jasper |   openstacks-adl08  |   025   |       -1       |
|  jasper |   openstacks-adl08  |   026   |       -1       |
|  jasper |   openstacks-adl08  |   027   |       -1       |
|  jasper |   openstacks-adl08  |   028   |       -1       |
|  jasper |   openstacks-adl08  |   029   |       -1       |
|  jasper |   openstacks-adl08  |   030   |       -1       |
| mercury |   openstacks-adl08  |   000   |       -1       |
| mercury |   openstacks-adl08  |   001   |       -1       |
| mercury |   openstacks-adl08  |   002   |       -1       |
| mercury |   openstacks-adl08  |   003   |       -1       |
| mercury |   openstacks-adl08  |   004   |       -1       |
| mercury |   openstacks-adl08  |   005   |       -1       |
| mercury |   openstacks-adl08  |   006   |       -1       |
| mercury |   openstacks-adl08  |   007   |       -1       |
| mercury |   openstacks-adl08  |   008   |       -1       |
| mercury |   openstacks-adl08  |   009   |       -1       |
| mercury |   openstacks-adl08  |   010   |       -1       |
| mercury |   openstacks-adl08  |   011   |       -1       |
| mercury |   openstacks-adl08  |   012   |       -1       |
| mercury |   openstacks-adl08  |   013   |       -1       |
| mercury |   openstacks-adl08  |   014   |       -1       |
| mercury |   openstacks-adl08  |   015   |       -1       |
| mercury |   openstacks-adl08  |   016   |       -1       |
| mercury |   openstacks-adl08  |   017   |       -1       |
| mercury |   openstacks-adl08  |   018   |       -1       |
| mercury |   openstacks-adl08  |   019   |       -1       |
| mercury |   openstacks-adl08  |   020   |       -1       |
| mercury |   openstacks-adl08  |   021   |       -1       |
| mercury |   openstacks-adl08  |   022   |       -1       |
| mercury |   openstacks-adl08  |   023   |       -1       |
| mercury |   openstacks-adl08  |   024   |       -1       |
| mercury |   openstacks-adl08  |   025   |       -1       |
| mercury |   openstacks-adl08  |   026   |       -1       |
| mercury |   openstacks-adl08  |   027   |       -1       |
| mercury |   openstacks-adl08  |   028   |       -1       |
| mercury |   openstacks-adl08  |   029   |       -1       |
| mercury |   openstacks-adl08  |   030   |       -1       |
|   siw   |   openstacks-adl08  |   000   |       0        |
