
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : parcprinter
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+----------------------+---------+----------------+
| planner |        domain        | problem | oktimefirstsol |
+---------+----------------------+---------+----------------+
|  bfs-f  |     parcprinter      |   000   |       0        |
|  bfs-f  |     parcprinter      |   001   |       2        |
|  bfs-f  |     parcprinter      |   002   |       3        |
|  bfs-f  |     parcprinter      |   003   |       5        |
|  bfs-f  |     parcprinter      |   004   |       6        |
|  bfs-f  |     parcprinter      |   005   |       15       |
|  bfs-f  |     parcprinter      |   006   |       1        |
|  bfs-f  |     parcprinter      |   007   |      478       |
|  bfs-f  |     parcprinter      |   008   |      859       |
|  bfs-f  |     parcprinter      |   009   |      149       |
|  bfs-f  |     parcprinter      |   010   |       1        |
|  bfs-f  |     parcprinter      |   011   |       10       |
|  bfs-f  |     parcprinter      |   012   |       16       |
|  bfs-f  |     parcprinter      |   013   |       17       |
|  bfs-f  |     parcprinter      |   014   |       7        |
|  bfs-f  |     parcprinter      |   015   |       12       |
|  bfs-f  |     parcprinter      |   016   |       18       |
|  bfs-f  |     parcprinter      |   017   |       33       |
|  bfs-f  |     parcprinter      |   018   |       70       |
|  bfs-f  |     parcprinter      |   019   |       -1       |
|  jasper |     parcprinter      |   000   |       0        |
|  jasper |     parcprinter      |   001   |       0        |
|  jasper |     parcprinter      |   002   |       0        |
|  jasper |     parcprinter      |   003   |       1        |
|  jasper |     parcprinter      |   004   |       0        |
|  jasper |     parcprinter      |   005   |       1        |
|  jasper |     parcprinter      |   006   |       1        |
|  jasper |     parcprinter      |   007   |       1        |
|  jasper |     parcprinter      |   008   |       0        |
|  jasper |     parcprinter      |   009   |       0        |
|  jasper |     parcprinter      |   010   |       1        |
|  jasper |     parcprinter      |   011   |       1        |
|  jasper |     parcprinter      |   012   |       0        |
|  jasper |     parcprinter      |   013   |       0        |
|  jasper |     parcprinter      |   014   |       0        |
|  jasper |     parcprinter      |   015   |       1        |
|  jasper |     parcprinter      |   016   |       0        |
|  jasper |     parcprinter      |   017   |       1        |
|  jasper |     parcprinter      |   018   |       0        |
|  jasper |     parcprinter      |   019   |       1        |
| mercury |     parcprinter      |   000   |       1        |
| mercury |     parcprinter      |   001   |       0        |
| mercury |     parcprinter      |   002   |       1        |
| mercury |     parcprinter      |   003   |       2        |
| mercury |     parcprinter      |   004   |       0        |
| mercury |     parcprinter      |   005   |       1        |
| mercury |     parcprinter      |   006   |       1        |
| mercury |     parcprinter      |   007   |       1        |
| mercury |     parcprinter      |   008   |       1        |
| mercury |     parcprinter      |   009   |       1        |
| mercury |     parcprinter      |   010   |       2        |
| mercury |     parcprinter      |   011   |       1        |
| mercury |     parcprinter      |   012   |       2        |
| mercury |     parcprinter      |   013   |       2        |
| mercury |     parcprinter      |   014   |       9        |
| mercury |     parcprinter      |   015   |       10       |
| mercury |     parcprinter      |   016   |       1        |
| mercury |     parcprinter      |   017   |       1        |
| mercury |     parcprinter      |   018   |       1        |
| mercury |     parcprinter      |   019   |       1        |
|   siw   |     parcprinter      |   000   |       0        |
|   siw   |     parcprinter      |   001   |       0        |
|   siw   |     parcprinter      |   002   |       0        |
|   siw   |     parcprinter      |   003   |       0        |
|   siw   |     parcprinter      |   004   |       0        |
|   siw   |     parcprinter      |   005   |       0        |
|   siw   |     parcprinter      |   006   |       0        |
|   siw   |     parcprinter      |   007   |       0        |
|   siw   |     parcprinter      |   008   |       0        |
|   siw   |     parcprinter      |   009   |       0        |
|   siw   |     parcprinter      |   010   |       0        |
|   siw   |     parcprinter      |   011   |       0        |
|   siw   |     parcprinter      |   012   |       0        |
|   siw   |     parcprinter      |   013   |       0        |
|   siw   |     parcprinter      |   014   |       0        |
|   siw   |     parcprinter      |   015   |       0        |
|   siw   |     parcprinter      |   016   |       0        |
|   siw   |     parcprinter      |   017   |       0        |
|   siw   |     parcprinter      |   018   |       0        |
|   siw   |     parcprinter      |   019   |       0        |
|  bfs-f  | parcprinter-strips08 |   000   |       0        |
|  bfs-f  | parcprinter-strips08 |   001   |       0        |
|  bfs-f  | parcprinter-strips08 |   002   |       0        |
|  bfs-f  | parcprinter-strips08 |   003   |       0        |
|  bfs-f  | parcprinter-strips08 |   004   |       1        |
|  bfs-f  | parcprinter-strips08 |   005   |       0        |
|  bfs-f  | parcprinter-strips08 |   006   |       0        |
|  bfs-f  | parcprinter-strips08 |   007   |       1        |
|  bfs-f  | parcprinter-strips08 |   008   |       1        |
|  bfs-f  | parcprinter-strips08 |   009   |       3        |
|  bfs-f  | parcprinter-strips08 |   010   |       0        |
|  bfs-f  | parcprinter-strips08 |   011   |       0        |
|  bfs-f  | parcprinter-strips08 |   012   |       0        |
|  bfs-f  | parcprinter-strips08 |   013   |       1        |
|  bfs-f  | parcprinter-strips08 |   014   |       1        |
|  bfs-f  | parcprinter-strips08 |   015   |       0        |
|  bfs-f  | parcprinter-strips08 |   016   |       1        |
|  bfs-f  | parcprinter-strips08 |   017   |       2        |
|  bfs-f  | parcprinter-strips08 |   018   |       4        |
|  bfs-f  | parcprinter-strips08 |   019   |       5        |
|  bfs-f  | parcprinter-strips08 |   020   |       0        |
|  bfs-f  | parcprinter-strips08 |   021   |       0        |
|  bfs-f  | parcprinter-strips08 |   022   |       0        |
|  bfs-f  | parcprinter-strips08 |   023   |       1        |
|  bfs-f  | parcprinter-strips08 |   024   |       0        |
|  bfs-f  | parcprinter-strips08 |   025   |       5        |
|  bfs-f  | parcprinter-strips08 |   026   |       16       |
|  bfs-f  | parcprinter-strips08 |   027   |      478       |
|  bfs-f  | parcprinter-strips08 |   028   |      868       |
|  bfs-f  | parcprinter-strips08 |   029   |      149       |
|  jasper | parcprinter-strips08 |   000   |       0        |
|  jasper | parcprinter-strips08 |   001   |       0        |
