
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : parkinglearning08
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+-------------------+---------+----------------+
| planner |       domain      | problem | oktimefirstsol |
+---------+-------------------+---------+----------------+
|  bfs-f  | parkinglearning08 |   000   |       8        |
|  bfs-f  | parkinglearning08 |   001   |       29       |
|  bfs-f  | parkinglearning08 |   002   |       15       |
|  bfs-f  | parkinglearning08 |   003   |       13       |
|  bfs-f  | parkinglearning08 |   004   |       26       |
|  bfs-f  | parkinglearning08 |   005   |       23       |
|  bfs-f  | parkinglearning08 |   006   |       9        |
|  bfs-f  | parkinglearning08 |   007   |       20       |
|  bfs-f  | parkinglearning08 |   008   |       58       |
|  bfs-f  | parkinglearning08 |   009   |      138       |
|  bfs-f  | parkinglearning08 |   010   |      147       |
|  bfs-f  | parkinglearning08 |   011   |       39       |
|  bfs-f  | parkinglearning08 |   012   |       89       |
|  bfs-f  | parkinglearning08 |   013   |      106       |
|  bfs-f  | parkinglearning08 |   014   |       71       |
|  bfs-f  | parkinglearning08 |   015   |      282       |
|  bfs-f  | parkinglearning08 |   016   |      756       |
|  bfs-f  | parkinglearning08 |   017   |       47       |
|  bfs-f  | parkinglearning08 |   018   |       33       |
|  bfs-f  | parkinglearning08 |   019   |       83       |
|  bfs-f  | parkinglearning08 |   020   |      404       |
|  bfs-f  | parkinglearning08 |   021   |      299       |
|  bfs-f  | parkinglearning08 |   022   |      408       |
|  bfs-f  | parkinglearning08 |   023   |      342       |
|  bfs-f  | parkinglearning08 |   024   |      171       |
|  bfs-f  | parkinglearning08 |   025   |       0        |
|  bfs-f  | parkinglearning08 |   026   |      440       |
|  bfs-f  | parkinglearning08 |   027   |      937       |
|  bfs-f  | parkinglearning08 |   028   |       0        |
|  bfs-f  | parkinglearning08 |   029   |      962       |
|  jasper | parkinglearning08 |   000   |       -1       |
|  jasper | parkinglearning08 |   001   |       -1       |
|  jasper | parkinglearning08 |   002   |       -1       |
|  jasper | parkinglearning08 |   003   |       -1       |
|  jasper | parkinglearning08 |   004   |       -1       |
|  jasper | parkinglearning08 |   005   |       -1       |
|  jasper | parkinglearning08 |   006   |       -1       |
