
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : pathways06
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+------------+---------+----------------+
| planner |   domain   | problem | oktimefirstsol |
+---------+------------+---------+----------------+
|  bfs-f  | pathways06 |   000   |       0        |
|  bfs-f  | pathways06 |   001   |       0        |
|  bfs-f  | pathways06 |   002   |       0        |
|  bfs-f  | pathways06 |   003   |       0        |
|  bfs-f  | pathways06 |   004   |       0        |
|  bfs-f  | pathways06 |   005   |       0        |
|  bfs-f  | pathways06 |   006   |       0        |
|  bfs-f  | pathways06 |   007   |       1        |
|  bfs-f  | pathways06 |   008   |       1        |
|  bfs-f  | pathways06 |   009   |       1        |
|  bfs-f  | pathways06 |   010   |       1        |
|  bfs-f  | pathways06 |   011   |       33       |
|  bfs-f  | pathways06 |   012   |       1        |
|  bfs-f  | pathways06 |   013   |       1        |
|  bfs-f  | pathways06 |   014   |       1        |
|  bfs-f  | pathways06 |   015   |       3        |
|  bfs-f  | pathways06 |   016   |       4        |
|  bfs-f  | pathways06 |   017   |       3        |
|  bfs-f  | pathways06 |   018   |       4        |
|  bfs-f  | pathways06 |   019   |       3        |
|  bfs-f  | pathways06 |   020   |       6        |
|  bfs-f  | pathways06 |   021   |       4        |
|  bfs-f  | pathways06 |   022   |       5        |
|  bfs-f  | pathways06 |   023   |       6        |
|  bfs-f  | pathways06 |   024   |       8        |
|  bfs-f  | pathways06 |   025   |       11       |
|  bfs-f  | pathways06 |   026   |       0        |
|  bfs-f  | pathways06 |   027   |       10       |
|  bfs-f  | pathways06 |   028   |       10       |
|  bfs-f  | pathways06 |   029   |       11       |
|  jasper | pathways06 |   000   |       -1       |
|  jasper | pathways06 |   001   |       -1       |
|  jasper | pathways06 |   002   |       -1       |
|  jasper | pathways06 |   003   |       -1       |
|  jasper | pathways06 |   004   |       -1       |
|  jasper | pathways06 |   005   |       -1       |
|  jasper | pathways06 |   006   |       -1       |
|  jasper | pathways06 |   007   |       -1       |
|  jasper | pathways06 |   008   |       -1       |
|  jasper | pathways06 |   009   |       -1       |
|  jasper | pathways06 |   010   |       -1       |
|  jasper | pathways06 |   011   |       -1       |
|  jasper | pathways06 |   012   |       -1       |
|  jasper | pathways06 |   013   |       -1       |
|  jasper | pathways06 |   014   |       -1       |
|  jasper | pathways06 |   015   |       -1       |
|  jasper | pathways06 |   016   |       -1       |
|  jasper | pathways06 |   017   |       -1       |
|  jasper | pathways06 |   018   |       -1       |
|  jasper | pathways06 |   019   |       -1       |
|  jasper | pathways06 |   020   |       -1       |
|  jasper | pathways06 |   021   |       -1       |
|  jasper | pathways06 |   022   |       -1       |
|  jasper | pathways06 |   023   |       -1       |
