
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : pegsol-strips08
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+-----------------+---------+----------------+
| planner |      domain     | problem | oktimefirstsol |
+---------+-----------------+---------+----------------+
|  bfs-f  | pegsol-strips08 |   000   |       0        |
|  bfs-f  | pegsol-strips08 |   001   |       0        |
|  bfs-f  | pegsol-strips08 |   002   |       0        |
|  bfs-f  | pegsol-strips08 |   003   |       0        |
|  bfs-f  | pegsol-strips08 |   004   |       0        |
|  bfs-f  | pegsol-strips08 |   005   |       0        |
|  bfs-f  | pegsol-strips08 |   006   |       0        |
|  bfs-f  | pegsol-strips08 |   007   |       0        |
|  bfs-f  | pegsol-strips08 |   008   |       0        |
|  bfs-f  | pegsol-strips08 |   009   |       0        |
|  bfs-f  | pegsol-strips08 |   010   |       0        |
|  bfs-f  | pegsol-strips08 |   011   |       0        |
|  bfs-f  | pegsol-strips08 |   012   |       0        |
|  bfs-f  | pegsol-strips08 |   013   |       0        |
|  bfs-f  | pegsol-strips08 |   014   |       0        |
|  bfs-f  | pegsol-strips08 |   015   |       0        |
|  bfs-f  | pegsol-strips08 |   016   |       1        |
|  bfs-f  | pegsol-strips08 |   017   |       1        |
|  bfs-f  | pegsol-strips08 |   018   |       0        |
|  bfs-f  | pegsol-strips08 |   019   |       1        |
|  bfs-f  | pegsol-strips08 |   020   |       0        |
|  bfs-f  | pegsol-strips08 |   021   |       0        |
|  bfs-f  | pegsol-strips08 |   022   |       0        |
|  bfs-f  | pegsol-strips08 |   023   |       0        |
|  bfs-f  | pegsol-strips08 |   024   |       0        |
|  bfs-f  | pegsol-strips08 |   025   |       0        |
|  bfs-f  | pegsol-strips08 |   026   |       1        |
|  bfs-f  | pegsol-strips08 |   027   |       1        |
|  bfs-f  | pegsol-strips08 |   028   |       2        |
|  bfs-f  | pegsol-strips08 |   029   |       1        |
|  jasper | pegsol-strips08 |   000   |       1        |
|  jasper | pegsol-strips08 |   001   |       0        |
|  jasper | pegsol-strips08 |   002   |       1        |
|  jasper | pegsol-strips08 |   003   |       0        |
|  jasper | pegsol-strips08 |   004   |       1        |
|  jasper | pegsol-strips08 |   005   |       0        |
|  jasper | pegsol-strips08 |   006   |       1        |
|  jasper | pegsol-strips08 |   007   |       0        |
|  jasper | pegsol-strips08 |   008   |       0        |
|  jasper | pegsol-strips08 |   009   |       0        |
|  jasper | pegsol-strips08 |   010   |       0        |
|  jasper | pegsol-strips08 |   011   |       0        |
|  jasper | pegsol-strips08 |   012   |       0        |
|  jasper | pegsol-strips08 |   013   |       1        |
|  jasper | pegsol-strips08 |   014   |       1        |
|  jasper | pegsol-strips08 |   015   |       0        |
|  jasper | pegsol-strips08 |   016   |       0        |
|  jasper | pegsol-strips08 |   017   |       0        |
|  jasper | pegsol-strips08 |   018   |       0        |
|  jasper | pegsol-strips08 |   019   |       0        |
|  jasper | pegsol-strips08 |   020   |       1        |
