
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : rovers06
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+----------+---------+----------------+
| planner |  domain  | problem | oktimefirstsol |
+---------+----------+---------+----------------+
|  bfs-f  | rovers06 |   000   |       0        |
|  bfs-f  | rovers06 |   001   |       0        |
|  bfs-f  | rovers06 |   002   |       0        |
|  bfs-f  | rovers06 |   003   |       0        |
|  bfs-f  | rovers06 |   004   |       0        |
|  bfs-f  | rovers06 |   005   |       0        |
|  bfs-f  | rovers06 |   006   |       0        |
|  bfs-f  | rovers06 |   007   |       0        |
|  bfs-f  | rovers06 |   008   |       0        |
|  bfs-f  | rovers06 |   009   |       0        |
|  bfs-f  | rovers06 |   010   |       0        |
|  bfs-f  | rovers06 |   011   |       0        |
|  bfs-f  | rovers06 |   012   |       0        |
|  bfs-f  | rovers06 |   013   |       0        |
|  bfs-f  | rovers06 |   014   |       0        |
|  bfs-f  | rovers06 |   015   |       0        |
|  bfs-f  | rovers06 |   016   |       0        |
|  bfs-f  | rovers06 |   017   |       0        |
|  bfs-f  | rovers06 |   018   |       1        |
|  bfs-f  | rovers06 |   019   |       2        |
|  bfs-f  | rovers06 |   020   |       2        |
|  bfs-f  | rovers06 |   021   |       1        |
|  bfs-f  | rovers06 |   022   |       2        |
|  bfs-f  | rovers06 |   023   |       3        |
|  bfs-f  | rovers06 |   024   |       1        |
|  bfs-f  | rovers06 |   025   |       1        |
|  bfs-f  | rovers06 |   026   |       2        |
|  bfs-f  | rovers06 |   027   |       4        |
|  bfs-f  | rovers06 |   028   |       61       |
|  bfs-f  | rovers06 |   029   |       8        |
|  bfs-f  | rovers06 |   030   |       7        |
|  bfs-f  | rovers06 |   031   |       26       |
|  bfs-f  | rovers06 |   032   |       43       |
|  bfs-f  | rovers06 |   033   |       32       |
|  bfs-f  | rovers06 |   034   |      128       |
|  bfs-f  | rovers06 |   035   |       57       |
|  bfs-f  | rovers06 |   036   |      186       |
|  bfs-f  | rovers06 |   037   |      181       |
|  bfs-f  | rovers06 |   038   |      229       |
|  bfs-f  | rovers06 |   039   |      242       |
|  jasper | rovers06 |   000   |       -1       |
|  jasper | rovers06 |   001   |       -1       |
|  jasper | rovers06 |   002   |       -1       |
|  jasper | rovers06 |   003   |       -1       |
|  jasper | rovers06 |   004   |       -1       |
|  jasper | rovers06 |   005   |       -1       |
|  jasper | rovers06 |   006   |       -1       |
|  jasper | rovers06 |   007   |       -1       |
|  jasper | rovers06 |   008   |       -1       |
|  jasper | rovers06 |   009   |       -1       |
|  jasper | rovers06 |   010   |       -1       |
|  jasper | rovers06 |   011   |       -1       |
|  jasper | rovers06 |   012   |       -1       |
|  jasper | rovers06 |   013   |       -1       |
|  jasper | rovers06 |   014   |       -1       |
|  jasper | rovers06 |   015   |       -1       |
|  jasper | rovers06 |   016   |       -1       |
|  jasper | rovers06 |   017   |       -1       |
|  jasper | rovers06 |   018   |       -1       |
|  jasper | rovers06 |   019   |       -1       |
|  jasper | rovers06 |   020   |       -1       |
|  jasper | rovers06 |   021   |       -1       |
|  jasper | rovers06 |   022   |       -1       |
|  jasper | rovers06 |   023   |       -1       |
|  jasper | rovers06 |   024   |       -1       |
|  jasper | rovers06 |   025   |       -1       |
|  jasper | rovers06 |   026   |       -1       |
|  jasper | rovers06 |   027   |       -1       |
|  jasper | rovers06 |   028   |       -1       |
|  jasper | rovers06 |   029   |       -1       |
|  jasper | rovers06 |   030   |       -1       |
|  jasper | rovers06 |   031   |       -1       |
|  jasper | rovers06 |   032   |       -1       |
|  jasper | rovers06 |   033   |       -1       |
|  jasper | rovers06 |   034   |       -1       |
|  jasper | rovers06 |   035   |       -1       |
|  jasper | rovers06 |   036   |       -1       |
|  jasper | rovers06 |   037   |       -1       |
|  jasper | rovers06 |   038   |       -1       |
|  jasper | rovers06 |   039   |       -1       |
| mercury | rovers06 |   000   |       1        |
| mercury | rovers06 |   001   |       0        |
| mercury | rovers06 |   002   |       1        |
