
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : satellitelearning11
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+---------------------+---------+----------------+
| planner |        domain       | problem | oktimefirstsol |
+---------+---------------------+---------+----------------+
|  bfs-f  | satellitelearning11 |   000   |       -1       |
|  bfs-f  | satellitelearning11 |   001   |       -1       |
|  bfs-f  | satellitelearning11 |   002   |       -1       |
|  bfs-f  | satellitelearning11 |   003   |       -1       |
|  bfs-f  | satellitelearning11 |   004   |       -1       |
|  bfs-f  | satellitelearning11 |   005   |       -1       |
|  bfs-f  | satellitelearning11 |   006   |       -1       |
|  bfs-f  | satellitelearning11 |   007   |       -1       |
|  bfs-f  | satellitelearning11 |   008   |       -1       |
|  bfs-f  | satellitelearning11 |   009   |       -1       |
|  bfs-f  | satellitelearning11 |   010   |       -1       |
|  bfs-f  | satellitelearning11 |   011   |       -1       |
|  bfs-f  | satellitelearning11 |   012   |       -1       |
|  bfs-f  | satellitelearning11 |   013   |       -1       |
|  bfs-f  | satellitelearning11 |   014   |       -1       |
|  bfs-f  | satellitelearning11 |   015   |       -1       |
|  bfs-f  | satellitelearning11 |   016   |       -1       |
|  bfs-f  | satellitelearning11 |   017   |       -1       |
|  bfs-f  | satellitelearning11 |   018   |       -1       |
|  bfs-f  | satellitelearning11 |   019   |       -1       |
|  bfs-f  | satellitelearning11 |   020   |       -1       |
|  bfs-f  | satellitelearning11 |   021   |       -1       |
|  bfs-f  | satellitelearning11 |   022   |       -1       |
|  bfs-f  | satellitelearning11 |   023   |       -1       |
|  bfs-f  | satellitelearning11 |   024   |       -1       |
|  bfs-f  | satellitelearning11 |   025   |       -1       |
|  bfs-f  | satellitelearning11 |   026   |       -1       |
|  bfs-f  | satellitelearning11 |   027   |       -1       |
|  bfs-f  | satellitelearning11 |   028   |       -1       |
|  bfs-f  | satellitelearning11 |   029   |       -1       |
|  jasper | satellitelearning11 |   000   |       -1       |
|  jasper | satellitelearning11 |   001   |       -1       |
|  jasper | satellitelearning11 |   002   |       -1       |
|  jasper | satellitelearning11 |   003   |       -1       |
|  jasper | satellitelearning11 |   004   |       -1       |
|  jasper | satellitelearning11 |   005   |       -1       |
|  jasper | satellitelearning11 |   006   |       -1       |
|  jasper | satellitelearning11 |   007   |       -1       |
|  jasper | satellitelearning11 |   008   |       -1       |
|  jasper | satellitelearning11 |   009   |       -1       |
|  jasper | satellitelearning11 |   010   |       -1       |
|  jasper | satellitelearning11 |   011   |       -1       |
|  jasper | satellitelearning11 |   012   |       -1       |
