
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : sokoban
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+-------------------+---------+----------------+
| planner |       domain      | problem | oktimefirstsol |
+---------+-------------------+---------+----------------+
|  bfs-f  |      sokoban      |   000   |       60       |
|  bfs-f  |      sokoban      |   001   |       9        |
|  bfs-f  |      sokoban      |   002   |       4        |
|  bfs-f  |      sokoban      |   003   |       14       |
|  bfs-f  |      sokoban      |   004   |      544       |
|  bfs-f  |      sokoban      |   005   |       12       |
|  bfs-f  |      sokoban      |   006   |       0        |
|  bfs-f  |      sokoban      |   007   |       -1       |
|  bfs-f  |      sokoban      |   008   |       1        |
|  bfs-f  |      sokoban      |   009   |      367       |
|  bfs-f  |      sokoban      |   010   |      111       |
|  bfs-f  |      sokoban      |   011   |       -1       |
|  bfs-f  |      sokoban      |   012   |       33       |
|  bfs-f  |      sokoban      |   013   |       6        |
|  bfs-f  |      sokoban      |   014   |      1380      |
|  bfs-f  |      sokoban      |   015   |       1        |
|  bfs-f  |      sokoban      |   016   |       -1       |
|  bfs-f  |      sokoban      |   017   |       -1       |
|  bfs-f  |      sokoban      |   018   |       -1       |
|  bfs-f  |      sokoban      |   019   |       -1       |
|  jasper |      sokoban      |   000   |       0        |
|  jasper |      sokoban      |   001   |       0        |
|  jasper |      sokoban      |   002   |       0        |
|  jasper |      sokoban      |   003   |       0        |
|  jasper |      sokoban      |   004   |       0        |
|  jasper |      sokoban      |   005   |       0        |
|  jasper |      sokoban      |   006   |       1        |
|  jasper |      sokoban      |   007   |       1        |
|  jasper |      sokoban      |   008   |       1        |
|  jasper |      sokoban      |   009   |       0        |
|  jasper |      sokoban      |   010   |       0        |
|  jasper |      sokoban      |   011   |       0        |
|  jasper |      sokoban      |   012   |       0        |
|  jasper |      sokoban      |   013   |       0        |
|  jasper |      sokoban      |   014   |       0        |
|  jasper |      sokoban      |   015   |       0        |
|  jasper |      sokoban      |   016   |       0        |
|  jasper |      sokoban      |   017   |       -1       |
|  jasper |      sokoban      |   018   |       1        |
|  jasper |      sokoban      |   019   |       -1       |
| mercury |      sokoban      |   000   |       6        |
| mercury |      sokoban      |   001   |       2        |
| mercury |      sokoban      |   002   |       3        |
| mercury |      sokoban      |   003   |       5        |
| mercury |      sokoban      |   004   |       8        |
| mercury |      sokoban      |   005   |       9        |
| mercury |      sokoban      |   006   |       2        |
| mercury |      sokoban      |   007   |       24       |
| mercury |      sokoban      |   008   |       1        |
| mercury |      sokoban      |   009   |       10       |
| mercury |      sokoban      |   010   |       45       |
| mercury |      sokoban      |   011   |      451       |
| mercury |      sokoban      |   012   |      136       |
| mercury |      sokoban      |   013   |       14       |
| mercury |      sokoban      |   014   |       64       |
| mercury |      sokoban      |   015   |      1468      |
| mercury |      sokoban      |   016   |      242       |
| mercury |      sokoban      |   017   |      850       |
| mercury |      sokoban      |   018   |       -1       |
| mercury |      sokoban      |   019   |       -1       |
|   siw   |      sokoban      |   000   |       -1       |
|   siw   |      sokoban      |   001   |       -1       |
|   siw   |      sokoban      |   002   |       -1       |
|   siw   |      sokoban      |   003   |       -1       |
|   siw   |      sokoban      |   004   |       -1       |
|   siw   |      sokoban      |   005   |       -1       |
|   siw   |      sokoban      |   006   |       -1       |
|   siw   |      sokoban      |   007   |       -1       |
|   siw   |      sokoban      |   008   |       1        |
|   siw   |      sokoban      |   009   |       -1       |
|   siw   |      sokoban      |   010   |       -1       |
|   siw   |      sokoban      |   011   |       -1       |
|   siw   |      sokoban      |   012   |       -1       |
|   siw   |      sokoban      |   013   |       -1       |
|   siw   |      sokoban      |   014   |       -1       |
|   siw   |      sokoban      |   015   |       -1       |
|   siw   |      sokoban      |   016   |       -1       |
|   siw   |      sokoban      |   017   |       -1       |
|   siw   |      sokoban      |   018   |       -1       |
|   siw   |      sokoban      |   019   |       -1       |
|  bfs-f  |  sokoban-strips08 |   000   |       0        |
|  bfs-f  |  sokoban-strips08 |   001   |       0        |
|  bfs-f  |  sokoban-strips08 |   002   |       0        |
|  bfs-f  |  sokoban-strips08 |   003   |       1        |
|  bfs-f  |  sokoban-strips08 |   004   |       0        |
|  bfs-f  |  sokoban-strips08 |   005   |       3        |
|  bfs-f  |  sokoban-strips08 |   006   |       1        |
|  bfs-f  |  sokoban-strips08 |   007   |       10       |
|  bfs-f  |  sokoban-strips08 |   008   |       46       |
|  bfs-f  |  sokoban-strips08 |   009   |       1        |
|  bfs-f  |  sokoban-strips08 |   010   |       1        |
|  bfs-f  |  sokoban-strips08 |   011   |       12       |
|  bfs-f  |  sokoban-strips08 |   012   |       1        |
|  bfs-f  |  sokoban-strips08 |   013   |      545       |
|  bfs-f  |  sokoban-strips08 |   014   |       -1       |
|  bfs-f  |  sokoban-strips08 |   015   |       13       |
|  bfs-f  |  sokoban-strips08 |   016   |       4        |
|  bfs-f  |  sokoban-strips08 |   017   |       -1       |
|  bfs-f  |  sokoban-strips08 |   018   |       1        |
|  bfs-f  |  sokoban-strips08 |   019   |       -1       |
|  bfs-f  |  sokoban-strips08 |   020   |      178       |
|  bfs-f  |  sokoban-strips08 |   021   |       -1       |
|  bfs-f  |  sokoban-strips08 |   022   |      367       |
|  bfs-f  |  sokoban-strips08 |   023   |       7        |
|  bfs-f  |  sokoban-strips08 |   024   |       60       |
|  bfs-f  |  sokoban-strips08 |   025   |       -1       |
|  bfs-f  |  sokoban-strips08 |   026   |       33       |
|  bfs-f  |  sokoban-strips08 |   027   |      110       |
|  bfs-f  |  sokoban-strips08 |   028   |       -1       |
|  bfs-f  |  sokoban-strips08 |   029   |      1380      |
|  jasper |  sokoban-strips08 |   000   |       0        |
|  jasper |  sokoban-strips08 |   001   |       0        |
|  jasper |  sokoban-strips08 |   002   |       0        |
|  jasper |  sokoban-strips08 |   003   |       0        |
|  jasper |  sokoban-strips08 |   004   |       1        |
|  jasper |  sokoban-strips08 |   005   |       0        |
|  jasper |  sokoban-strips08 |   006   |       0        |
|  jasper |  sokoban-strips08 |   007   |       0        |
