
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : sokobanlearning08
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+-------------------+---------+----------------+
| planner |       domain      | problem | oktimefirstsol |
+---------+-------------------+---------+----------------+
|  bfs-f  | sokobanlearning08 |   000   |       0        |
|  bfs-f  | sokobanlearning08 |   001   |       1        |
|  bfs-f  | sokobanlearning08 |   002   |       0        |
|  bfs-f  | sokobanlearning08 |   003   |       0        |
|  bfs-f  | sokobanlearning08 |   004   |       38       |
|  bfs-f  | sokobanlearning08 |   005   |       7        |
|  bfs-f  | sokobanlearning08 |   006   |       1        |
|  bfs-f  | sokobanlearning08 |   007   |       1        |
|  bfs-f  | sokobanlearning08 |   008   |       21       |
|  bfs-f  | sokobanlearning08 |   009   |       24       |
|  bfs-f  | sokobanlearning08 |   010   |       26       |
|  bfs-f  | sokobanlearning08 |   011   |       5        |
|  bfs-f  | sokobanlearning08 |   012   |       5        |
|  bfs-f  | sokobanlearning08 |   013   |       77       |
|  bfs-f  | sokobanlearning08 |   014   |       5        |
|  bfs-f  | sokobanlearning08 |   015   |       13       |
|  bfs-f  | sokobanlearning08 |   016   |       50       |
|  bfs-f  | sokobanlearning08 |   017   |       28       |
|  bfs-f  | sokobanlearning08 |   018   |       71       |
|  bfs-f  | sokobanlearning08 |   019   |       3        |
|  bfs-f  | sokobanlearning08 |   020   |       11       |
|  bfs-f  | sokobanlearning08 |   021   |       5        |
|  bfs-f  | sokobanlearning08 |   022   |      102       |
|  bfs-f  | sokobanlearning08 |   023   |       58       |
|  bfs-f  | sokobanlearning08 |   024   |      186       |
|  bfs-f  | sokobanlearning08 |   025   |       96       |
|  bfs-f  | sokobanlearning08 |   026   |       97       |
|  bfs-f  | sokobanlearning08 |   027   |       12       |
|  bfs-f  | sokobanlearning08 |   028   |       64       |
|  bfs-f  | sokobanlearning08 |   029   |       2        |
|  jasper | sokobanlearning08 |   000   |       -1       |
|  jasper | sokobanlearning08 |   001   |       -1       |
|  jasper | sokobanlearning08 |   002   |       -1       |
|  jasper | sokobanlearning08 |   003   |       -1       |
|  jasper | sokobanlearning08 |   004   |       -1       |
