
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : storage06
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+-----------+---------+----------------+
| planner |   domain  | problem | oktimefirstsol |
+---------+-----------+---------+----------------+
|  bfs-f  | storage06 |   000   |       0        |
|  bfs-f  | storage06 |   001   |       0        |
|  bfs-f  | storage06 |   002   |       0        |
|  bfs-f  | storage06 |   003   |       0        |
|  bfs-f  | storage06 |   004   |       0        |
|  bfs-f  | storage06 |   005   |       0        |
|  bfs-f  | storage06 |   006   |       0        |
|  bfs-f  | storage06 |   007   |       0        |
|  bfs-f  | storage06 |   008   |       0        |
|  bfs-f  | storage06 |   009   |       0        |
|  bfs-f  | storage06 |   010   |       0        |
|  bfs-f  | storage06 |   011   |       0        |
|  bfs-f  | storage06 |   012   |       0        |
|  bfs-f  | storage06 |   013   |       0        |
|  bfs-f  | storage06 |   014   |       0        |
|  bfs-f  | storage06 |   015   |       0        |
|  bfs-f  | storage06 |   016   |       0        |
|  bfs-f  | storage06 |   017   |       0        |
|  bfs-f  | storage06 |   018   |       0        |
|  bfs-f  | storage06 |   019   |       1        |
|  bfs-f  | storage06 |   020   |       1        |
|  bfs-f  | storage06 |   021   |       1        |
|  bfs-f  | storage06 |   022   |       3        |
|  bfs-f  | storage06 |   023   |       4        |
|  bfs-f  | storage06 |   024   |       1        |
|  bfs-f  | storage06 |   025   |       1        |
|  bfs-f  | storage06 |   026   |       2        |
|  bfs-f  | storage06 |   027   |       3        |
|  bfs-f  | storage06 |   028   |       63       |
|  bfs-f  | storage06 |   029   |       8        |
|  bfs-f  | storage06 |   030   |       8        |
|  bfs-f  | storage06 |   031   |       26       |
|  bfs-f  | storage06 |   032   |       43       |
|  bfs-f  | storage06 |   033   |       33       |
|  bfs-f  | storage06 |   034   |      127       |
|  bfs-f  | storage06 |   035   |       56       |
|  bfs-f  | storage06 |   036   |      186       |
|  bfs-f  | storage06 |   037   |      183       |
