
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : tpp06
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+--------+---------+----------------+
| planner | domain | problem | oktimefirstsol |
+---------+--------+---------+----------------+
|  bfs-f  | tpp06  |   000   |       0        |
|  bfs-f  | tpp06  |   001   |       0        |
|  bfs-f  | tpp06  |   002   |       0        |
|  bfs-f  | tpp06  |   003   |       0        |
|  bfs-f  | tpp06  |   004   |       0        |
|  bfs-f  | tpp06  |   005   |       0        |
|  bfs-f  | tpp06  |   006   |       0        |
|  bfs-f  | tpp06  |   007   |       0        |
|  bfs-f  | tpp06  |   008   |       0        |
|  bfs-f  | tpp06  |   009   |       0        |
|  bfs-f  | tpp06  |   010   |       1        |
|  bfs-f  | tpp06  |   011   |       7        |
|  bfs-f  | tpp06  |   012   |       10       |
|  bfs-f  | tpp06  |   013   |       59       |
|  bfs-f  | tpp06  |   014   |      138       |
|  bfs-f  | tpp06  |   015   |      294       |
|  bfs-f  | tpp06  |   016   |      504       |
|  bfs-f  | tpp06  |   017   |      613       |
|  bfs-f  | tpp06  |   018   |      1703      |
|  bfs-f  | tpp06  |   019   |       0        |
|  bfs-f  | tpp06  |   020   |       0        |
|  bfs-f  | tpp06  |   021   |       36       |
|  bfs-f  | tpp06  |   022   |       0        |
|  bfs-f  | tpp06  |   023   |      905       |
|  bfs-f  | tpp06  |   024   |      111       |
|  bfs-f  | tpp06  |   025   |       84       |
|  bfs-f  | tpp06  |   026   |      165       |
|  bfs-f  | tpp06  |   027   |      1798      |
|  bfs-f  | tpp06  |   028   |       0        |
|  bfs-f  | tpp06  |   029   |       0        |
|  jasper | tpp06  |   000   |       -1       |
|  jasper | tpp06  |   001   |       -1       |
|  jasper | tpp06  |   002   |       -1       |
|  jasper | tpp06  |   003   |       -1       |
|  jasper | tpp06  |   004   |       -1       |
|  jasper | tpp06  |   005   |       -1       |
|  jasper | tpp06  |   006   |       -1       |
|  jasper | tpp06  |   007   |       -1       |
|  jasper | tpp06  |   008   |       -1       |
|  jasper | tpp06  |   009   |       -1       |
|  jasper | tpp06  |   010   |       -1       |
|  jasper | tpp06  |   011   |       -1       |
|  jasper | tpp06  |   012   |       -1       |
|  jasper | tpp06  |   013   |       -1       |
|  jasper | tpp06  |   014   |       -1       |
|  jasper | tpp06  |   015   |       -1       |
|  jasper | tpp06  |   016   |       -1       |
|  jasper | tpp06  |   017   |       -1       |
|  jasper | tpp06  |   018   |       -1       |
|  jasper | tpp06  |   019   |       -1       |
|  jasper | tpp06  |   020   |       -1       |
|  jasper | tpp06  |   021   |       -1       |
|  jasper | tpp06  |   022   |       -1       |
|  jasper | tpp06  |   023   |       -1       |
|  jasper | tpp06  |   024   |       -1       |
|  jasper | tpp06  |   025   |       -1       |
|  jasper | tpp06  |   026   |       -1       |
|  jasper | tpp06  |   027   |       -1       |
|  jasper | tpp06  |   028   |       -1       |
|  jasper | tpp06  |   029   |       -1       |
| mercury | tpp06  |   000   |       1        |
| mercury | tpp06  |   001   |       0        |
| mercury | tpp06  |   002   |       0        |
| mercury | tpp06  |   003   |       0        |
| mercury | tpp06  |   004   |       0        |
| mercury | tpp06  |   005   |       1        |
| mercury | tpp06  |   006   |       0        |
| mercury | tpp06  |   007   |       1        |
| mercury | tpp06  |   008   |       0        |
| mercury | tpp06  |   009   |       1        |
| mercury | tpp06  |   010   |       1        |
| mercury | tpp06  |   011   |       2        |
| mercury | tpp06  |   012   |       1        |
| mercury | tpp06  |   013   |       2        |
| mercury | tpp06  |   014   |       1        |
| mercury | tpp06  |   015   |       2        |
| mercury | tpp06  |   016   |       3        |
| mercury | tpp06  |   017   |       3        |
| mercury | tpp06  |   018   |       3        |
| mercury | tpp06  |   019   |       3        |
| mercury | tpp06  |   020   |       4        |
| mercury | tpp06  |   021   |       4        |
| mercury | tpp06  |   022   |       4        |
| mercury | tpp06  |   023   |       5        |
| mercury | tpp06  |   024   |       6        |
| mercury | tpp06  |   025   |       8        |
| mercury | tpp06  |   026   |       9        |
| mercury | tpp06  |   027   |       10       |
