
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : tppLearning11
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+---------------+---------+----------------+
| planner |     domain    | problem | oktimefirstsol |
+---------+---------------+---------+----------------+
|  bfs-f  | tppLearning11 |   000   |      121       |
|  bfs-f  | tppLearning11 |   001   |       87       |
|  bfs-f  | tppLearning11 |   002   |      104       |
|  bfs-f  | tppLearning11 |   003   |      106       |
|  bfs-f  | tppLearning11 |   004   |      127       |
|  bfs-f  | tppLearning11 |   005   |      193       |
|  bfs-f  | tppLearning11 |   006   |      153       |
|  bfs-f  | tppLearning11 |   007   |      171       |
|  bfs-f  | tppLearning11 |   008   |      152       |
|  bfs-f  | tppLearning11 |   009   |      148       |
|  bfs-f  | tppLearning11 |   010   |      236       |
|  bfs-f  | tppLearning11 |   011   |      306       |
|  bfs-f  | tppLearning11 |   012   |      344       |
|  bfs-f  | tppLearning11 |   013   |      422       |
|  bfs-f  | tppLearning11 |   014   |      329       |
|  bfs-f  | tppLearning11 |   015   |      555       |
|  bfs-f  | tppLearning11 |   016   |      593       |
|  bfs-f  | tppLearning11 |   017   |      717       |
|  bfs-f  | tppLearning11 |   018   |      736       |
|  bfs-f  | tppLearning11 |   019   |      690       |
|  bfs-f  | tppLearning11 |   020   |      1625      |
|  bfs-f  | tppLearning11 |   021   |      1757      |
|  bfs-f  | tppLearning11 |   022   |      1405      |
|  bfs-f  | tppLearning11 |   023   |      1780      |
|  bfs-f  | tppLearning11 |   024   |      1628      |
|  bfs-f  | tppLearning11 |   025   |      1580      |
|  bfs-f  | tppLearning11 |   026   |      1456      |
|  bfs-f  | tppLearning11 |   027   |       0        |
|  bfs-f  | tppLearning11 |   028   |      1268      |
|  bfs-f  | tppLearning11 |   029   |      1799      |
|  jasper | tppLearning11 |   000   |       -1       |
|  jasper | tppLearning11 |   001   |       -1       |
|  jasper | tppLearning11 |   002   |       -1       |
|  jasper | tppLearning11 |   003   |       -1       |
|  jasper | tppLearning11 |   004   |       -1       |
|  jasper | tppLearning11 |   005   |       -1       |
|  jasper | tppLearning11 |   006   |       -1       |
|  jasper | tppLearning11 |   007   |       -1       |
|  jasper | tppLearning11 |   008   |       -1       |
|  jasper | tppLearning11 |   009   |       -1       |
|  jasper | tppLearning11 |   010   |       -1       |
|  jasper | tppLearning11 |   011   |       -1       |
|  jasper | tppLearning11 |   012   |       -1       |
|  jasper | tppLearning11 |   013   |       -1       |
|  jasper | tppLearning11 |   014   |       -1       |
|  jasper | tppLearning11 |   015   |       -1       |
|  jasper | tppLearning11 |   016   |       -1       |
|  jasper | tppLearning11 |   017   |       -1       |
|  jasper | tppLearning11 |   018   |       -1       |
|  jasper | tppLearning11 |   019   |       -1       |
|  jasper | tppLearning11 |   020   |       -1       |
|  jasper | tppLearning11 |   021   |       -1       |
|  jasper | tppLearning11 |   022   |       -1       |
|  jasper | tppLearning11 |   023   |       -1       |
|  jasper | tppLearning11 |   024   |       -1       |
|  jasper | tppLearning11 |   025   |       -1       |
|  jasper | tppLearning11 |   026   |       -1       |
|  jasper | tppLearning11 |   027   |       -1       |
|  jasper | tppLearning11 |   028   |       -1       |
|  jasper | tppLearning11 |   029   |       -1       |
| mercury | tppLearning11 |   000   |       28       |
| mercury | tppLearning11 |   001   |       20       |
