
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : transport
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+--------------------+---------+----------------+
| planner |       domain       | problem | oktimefirstsol |
+---------+--------------------+---------+----------------+
|  bfs-f  |     transport      |   000   |       8        |
|  bfs-f  |     transport      |   001   |       21       |
|  bfs-f  |     transport      |   002   |       30       |
|  bfs-f  |     transport      |   003   |       6        |
|  bfs-f  |     transport      |   004   |       8        |
|  bfs-f  |     transport      |   005   |       28       |
|  bfs-f  |     transport      |   006   |       51       |
|  bfs-f  |     transport      |   007   |       43       |
|  bfs-f  |     transport      |   008   |       68       |
|  bfs-f  |     transport      |   009   |       73       |
|  bfs-f  |     transport      |   010   |       52       |
|  bfs-f  |     transport      |   011   |       39       |
|  bfs-f  |     transport      |   012   |       63       |
|  bfs-f  |     transport      |   013   |      558       |
|  bfs-f  |     transport      |   014   |      492       |
|  bfs-f  |     transport      |   015   |      343       |
|  bfs-f  |     transport      |   016   |      466       |
|  bfs-f  |     transport      |   017   |      354       |
|  bfs-f  |     transport      |   018   |      1592      |
|  bfs-f  |     transport      |   019   |      637       |
|  jasper |     transport      |   000   |       6        |
|  jasper |     transport      |   001   |       7        |
|  jasper |     transport      |   002   |       9        |
|  jasper |     transport      |   003   |       4        |
|  jasper |     transport      |   004   |       6        |
|  jasper |     transport      |   005   |       9        |
|  jasper |     transport      |   006   |       9        |
|  jasper |     transport      |   007   |       9        |
|  jasper |     transport      |   008   |       11       |
|  jasper |     transport      |   009   |       11       |
|  jasper |     transport      |   010   |       10       |
|  jasper |     transport      |   011   |       10       |
