
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : trucks06
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+----------+---------+----------------+
| planner |  domain  | problem | oktimefirstsol |
+---------+----------+---------+----------------+
|  bfs-f  | trucks06 |   000   |       0        |
|  bfs-f  | trucks06 |   001   |       0        |
|  bfs-f  | trucks06 |   002   |       0        |
|  bfs-f  | trucks06 |   003   |       0        |
|  bfs-f  | trucks06 |   004   |       0        |
|  bfs-f  | trucks06 |   005   |       1        |
|  bfs-f  | trucks06 |   006   |       0        |
|  bfs-f  | trucks06 |   007   |       0        |
|  bfs-f  | trucks06 |   008   |       30       |
|  bfs-f  | trucks06 |   009   |       2        |
|  bfs-f  | trucks06 |   010   |       9        |
|  bfs-f  | trucks06 |   011   |       10       |
|  bfs-f  | trucks06 |   012   |      802       |
|  bfs-f  | trucks06 |   013   |      141       |
|  bfs-f  | trucks06 |   014   |       0        |
|  bfs-f  | trucks06 |   015   |       37       |
|  bfs-f  | trucks06 |   016   |       36       |
|  bfs-f  | trucks06 |   017   |       0        |
|  bfs-f  | trucks06 |   018   |       0        |
|  bfs-f  | trucks06 |   019   |       0        |
|  bfs-f  | trucks06 |   020   |       0        |
|  bfs-f  | trucks06 |   021   |       0        |
|  bfs-f  | trucks06 |   022   |       0        |
|  bfs-f  | trucks06 |   023   |       0        |
|  bfs-f  | trucks06 |   024   |       0        |
|  bfs-f  | trucks06 |   025   |       0        |
|  bfs-f  | trucks06 |   026   |       0        |
|  bfs-f  | trucks06 |   027   |       0        |
|  bfs-f  | trucks06 |   028   |       0        |
|  bfs-f  | trucks06 |   029   |       0        |
|  jasper | trucks06 |   000   |       -1       |
|  jasper | trucks06 |   001   |       -1       |
|  jasper | trucks06 |   002   |       -1       |
|  jasper | trucks06 |   003   |       -1       |
|  jasper | trucks06 |   004   |       -1       |
|  jasper | trucks06 |   005   |       -1       |
|  jasper | trucks06 |   006   |       -1       |
|  jasper | trucks06 |   007   |       -1       |
|  jasper | trucks06 |   008   |       -1       |
|  jasper | trucks06 |   009   |       -1       |
|  jasper | trucks06 |   010   |       -1       |
|  jasper | trucks06 |   011   |       -1       |
|  jasper | trucks06 |   012   |       -1       |
|  jasper | trucks06 |   013   |       -1       |
|  jasper | trucks06 |   014   |       -1       |
|  jasper | trucks06 |   015   |       -1       |
|  jasper | trucks06 |   016   |       -1       |
|  jasper | trucks06 |   017   |       -1       |
|  jasper | trucks06 |   018   |       -1       |
|  jasper | trucks06 |   019   |       -1       |
|  jasper | trucks06 |   020   |       -1       |
|  jasper | trucks06 |   021   |       -1       |
|  jasper | trucks06 |   022   |       -1       |
|  jasper | trucks06 |   023   |       -1       |
|  jasper | trucks06 |   024   |       -1       |
|  jasper | trucks06 |   025   |       -1       |
|  jasper | trucks06 |   026   |       -1       |
|  jasper | trucks06 |   027   |       -1       |
|  jasper | trucks06 |   028   |       -1       |
|  jasper | trucks06 |   029   |       -1       |
