
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : woodworking-strips08
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+----------------------+---------+----------------+
| planner |        domain        | problem | oktimefirstsol |
+---------+----------------------+---------+----------------+
|  bfs-f  | woodworking-strips08 |   000   |       0        |
|  bfs-f  | woodworking-strips08 |   001   |       0        |
|  bfs-f  | woodworking-strips08 |   002   |       0        |
|  bfs-f  | woodworking-strips08 |   003   |       0        |
|  bfs-f  | woodworking-strips08 |   004   |       1        |
|  bfs-f  | woodworking-strips08 |   005   |       3        |
|  bfs-f  | woodworking-strips08 |   006   |       7        |
|  bfs-f  | woodworking-strips08 |   007   |       11       |
|  bfs-f  | woodworking-strips08 |   008   |       25       |
|  bfs-f  | woodworking-strips08 |   009   |       29       |
|  bfs-f  | woodworking-strips08 |   010   |       0        |
|  bfs-f  | woodworking-strips08 |   011   |       0        |
|  bfs-f  | woodworking-strips08 |   012   |       0        |
|  bfs-f  | woodworking-strips08 |   013   |       1        |
|  bfs-f  | woodworking-strips08 |   014   |       1        |
|  bfs-f  | woodworking-strips08 |   015   |       3        |
|  bfs-f  | woodworking-strips08 |   016   |       5        |
|  bfs-f  | woodworking-strips08 |   017   |       7        |
|  bfs-f  | woodworking-strips08 |   018   |       11       |
|  bfs-f  | woodworking-strips08 |   019   |       36       |
|  bfs-f  | woodworking-strips08 |   020   |       0        |
|  bfs-f  | woodworking-strips08 |   021   |       0        |
|  bfs-f  | woodworking-strips08 |   022   |       0        |
|  bfs-f  | woodworking-strips08 |   023   |       1        |
|  bfs-f  | woodworking-strips08 |   024   |       1        |
|  bfs-f  | woodworking-strips08 |   025   |       2        |
|  bfs-f  | woodworking-strips08 |   026   |       3        |
|  bfs-f  | woodworking-strips08 |   027   |       12       |
|  bfs-f  | woodworking-strips08 |   028   |       -1       |
|  bfs-f  | woodworking-strips08 |   029   |       95       |
|  jasper | woodworking-strips08 |   000   |       0        |
|  jasper | woodworking-strips08 |   001   |       1        |
|  jasper | woodworking-strips08 |   002   |       1        |
|  jasper | woodworking-strips08 |   003   |       1        |
|  jasper | woodworking-strips08 |   004   |       1        |
|  jasper | woodworking-strips08 |   005   |       2        |
|  jasper | woodworking-strips08 |   006   |       4        |
|  jasper | woodworking-strips08 |   007   |       5        |
|  jasper | woodworking-strips08 |   008   |       4        |
|  jasper | woodworking-strips08 |   009   |       4        |
|  jasper | woodworking-strips08 |   010   |       0        |
|  jasper | woodworking-strips08 |   011   |       0        |
|  jasper | woodworking-strips08 |   012   |       1        |
|  jasper | woodworking-strips08 |   013   |       2        |
|  jasper | woodworking-strips08 |   014   |       1        |
|  jasper | woodworking-strips08 |   015   |       2        |
|  jasper | woodworking-strips08 |   016   |       3        |
|  jasper | woodworking-strips08 |   017   |       3        |
|  jasper | woodworking-strips08 |   018   |       3        |
|  jasper | woodworking-strips08 |   019   |       6        |
|  jasper | woodworking-strips08 |   020   |       0        |
|  jasper | woodworking-strips08 |   021   |       1        |
|  jasper | woodworking-strips08 |   022   |       0        |
|  jasper | woodworking-strips08 |   023   |       1        |
|  jasper | woodworking-strips08 |   024   |       1        |
|  jasper | woodworking-strips08 |   025   |       2        |
|  jasper | woodworking-strips08 |   026   |       2        |
|  jasper | woodworking-strips08 |   027   |       3        |
|  jasper | woodworking-strips08 |   028   |       3        |
|  jasper | woodworking-strips08 |   029   |       3        |
| mercury | woodworking-strips08 |   000   |       1        |
| mercury | woodworking-strips08 |   001   |       1        |
| mercury | woodworking-strips08 |   002   |       3        |
| mercury | woodworking-strips08 |   003   |       3        |
| mercury | woodworking-strips08 |   004   |       4        |
| mercury | woodworking-strips08 |   005   |       4        |
| mercury | woodworking-strips08 |   006   |       6        |
| mercury | woodworking-strips08 |   007   |       10       |
| mercury | woodworking-strips08 |   008   |       12       |
| mercury | woodworking-strips08 |   009   |       13       |
| mercury | woodworking-strips08 |   010   |       0        |
| mercury | woodworking-strips08 |   011   |       1        |
| mercury | woodworking-strips08 |   012   |       2        |
| mercury | woodworking-strips08 |   013   |       3        |
| mercury | woodworking-strips08 |   014   |       4        |
| mercury | woodworking-strips08 |   015   |       4        |
| mercury | woodworking-strips08 |   016   |       8        |
| mercury | woodworking-strips08 |   017   |       8        |
| mercury | woodworking-strips08 |   018   |       10       |
| mercury | woodworking-strips08 |   019   |       10       |
| mercury | woodworking-strips08 |   020   |       1        |
| mercury | woodworking-strips08 |   021   |       2        |
| mercury | woodworking-strips08 |   022   |       2        |
| mercury | woodworking-strips08 |   023   |       3        |
| mercury | woodworking-strips08 |   024   |       4        |
| mercury | woodworking-strips08 |   025   |       5        |
| mercury | woodworking-strips08 |   026   |       5        |
| mercury | woodworking-strips08 |   027   |       9        |
| mercury | woodworking-strips08 |   028   |       10       |
| mercury | woodworking-strips08 |   029   |       13       |
|   siw   | woodworking-strips08 |   000   |       0        |
|   siw   | woodworking-strips08 |   001   |       0        |
|   siw   | woodworking-strips08 |   002   |       0        |
|   siw   | woodworking-strips08 |   003   |       0        |
|   siw   | woodworking-strips08 |   004   |       1        |
|   siw   | woodworking-strips08 |   005   |       0        |
|   siw   | woodworking-strips08 |   006   |       0        |
|   siw   | woodworking-strips08 |   007   |       1        |
