
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : woodworking
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+----------------------+---------+----------------+
| planner |        domain        | problem | oktimefirstsol |
+---------+----------------------+---------+----------------+
|  bfs-f  |     woodworking      |   000   |       7        |
|  bfs-f  |     woodworking      |   001   |       10       |
|  bfs-f  |     woodworking      |   002   |       11       |
|  bfs-f  |     woodworking      |   003   |       25       |
|  bfs-f  |     woodworking      |   004   |       37       |
|  bfs-f  |     woodworking      |   005   |       28       |
|  bfs-f  |     woodworking      |   006   |       12       |
|  bfs-f  |     woodworking      |   007   |       -1       |
|  bfs-f  |     woodworking      |   008   |       8        |
|  bfs-f  |     woodworking      |   009   |       0        |
|  bfs-f  |     woodworking      |   010   |       32       |
|  bfs-f  |     woodworking      |   011   |       50       |
|  bfs-f  |     woodworking      |   012   |       50       |
|  bfs-f  |     woodworking      |   013   |       31       |
|  bfs-f  |     woodworking      |   014   |       74       |
|  bfs-f  |     woodworking      |   015   |       66       |
|  bfs-f  |     woodworking      |   016   |       40       |
|  bfs-f  |     woodworking      |   017   |       30       |
|  bfs-f  |     woodworking      |   018   |       73       |
|  bfs-f  |     woodworking      |   019   |       -1       |
|  jasper |     woodworking      |   000   |       4        |
|  jasper |     woodworking      |   001   |       3        |
|  jasper |     woodworking      |   002   |       3        |
|  jasper |     woodworking      |   003   |       4        |
|  jasper |     woodworking      |   004   |       5        |
|  jasper |     woodworking      |   005   |       4        |
|  jasper |     woodworking      |   006   |       3        |
|  jasper |     woodworking      |   007   |       3        |
|  jasper |     woodworking      |   008   |       2        |
