
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : barman
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+------------------+---------+----------------+
| planner |      domain      | problem | oktimefirstsol |
+---------+------------------+---------+----------------+
|  bfs-f  |      barman      |   000   |       0        |
|  bfs-f  |      barman      |   001   |       1        |
|  bfs-f  |      barman      |   002   |       1        |
|  bfs-f  |      barman      |   003   |       0        |
|  bfs-f  |      barman      |   004   |       0        |
|  bfs-f  |      barman      |   005   |       0        |
|  bfs-f  |      barman      |   006   |       0        |
|  bfs-f  |      barman      |   007   |       0        |
|  bfs-f  |      barman      |   008   |       0        |
|  bfs-f  |      barman      |   009   |       1        |
|  bfs-f  |      barman      |   010   |       1        |
|  bfs-f  |      barman      |   011   |       1        |
|  bfs-f  |      barman      |   012   |       0        |
|  bfs-f  |      barman      |   013   |       0        |
|  bfs-f  |      barman      |   014   |       1        |
|  bfs-f  |      barman      |   015   |       1        |
|  bfs-f  |      barman      |   016   |       1        |
|  bfs-f  |      barman      |   017   |       19       |
|  bfs-f  |      barman      |   018   |       1        |
|  bfs-f  |      barman      |   019   |       1        |
|  jasper |      barman      |   000   |       0        |
|  jasper |      barman      |   001   |       0        |
|  jasper |      barman      |   002   |       1        |
|  jasper |      barman      |   003   |       1        |
|  jasper |      barman      |   004   |       0        |
|  jasper |      barman      |   005   |       1        |
|  jasper |      barman      |   006   |       1        |
|  jasper |      barman      |   007   |       1        |
|  jasper |      barman      |   008   |       1        |
|  jasper |      barman      |   009   |       1        |
|  jasper |      barman      |   010   |       0        |
|  jasper |      barman      |   011   |       1        |
|  jasper |      barman      |   012   |       1        |
|  jasper |      barman      |   013   |       1        |
|  jasper |      barman      |   014   |       1        |
|  jasper |      barman      |   015   |       1        |
|  jasper |      barman      |   016   |       1        |
|  jasper |      barman      |   017   |       1        |
