
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : depotslearning11
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+------------------+---------+----------------+
| planner |      domain      | problem | oktimefirstsol |
+---------+------------------+---------+----------------+
|  bfs-f  | depotslearning11 |   000   |      403       |
|  bfs-f  | depotslearning11 |   001   |       0        |
|  bfs-f  | depotslearning11 |   002   |      1056      |
|  bfs-f  | depotslearning11 |   003   |      1269      |
|  bfs-f  | depotslearning11 |   004   |      1510      |
|  bfs-f  | depotslearning11 |   005   |       22       |
|  bfs-f  | depotslearning11 |   006   |      216       |
|  bfs-f  | depotslearning11 |   007   |      169       |
|  bfs-f  | depotslearning11 |   008   |       0        |
|  bfs-f  | depotslearning11 |   009   |      1697      |
|  bfs-f  | depotslearning11 |   010   |       0        |
|  bfs-f  | depotslearning11 |   011   |       0        |
|  bfs-f  | depotslearning11 |   012   |       0        |
|  bfs-f  | depotslearning11 |   013   |       0        |
|  bfs-f  | depotslearning11 |   014   |      161       |
|  bfs-f  | depotslearning11 |   015   |      1501      |
|  bfs-f  | depotslearning11 |   016   |       0        |
|  bfs-f  | depotslearning11 |   017   |      290       |
|  bfs-f  | depotslearning11 |   018   |      346       |
|  bfs-f  | depotslearning11 |   019   |       0        |
|  bfs-f  | depotslearning11 |   020   |       0        |
|  bfs-f  | depotslearning11 |   021   |       0        |
|  bfs-f  | depotslearning11 |   022   |       0        |
|  bfs-f  | depotslearning11 |   023   |       0        |
|  bfs-f  | depotslearning11 |   024   |       0        |
|  bfs-f  | depotslearning11 |   025   |       0        |
|  bfs-f  | depotslearning11 |   026   |       0        |
|  bfs-f  | depotslearning11 |   027   |       0        |
|  bfs-f  | depotslearning11 |   028   |       0        |
|  bfs-f  | depotslearning11 |   029   |      1718      |
|  jasper | depotslearning11 |   000   |       -1       |
|  jasper | depotslearning11 |   001   |       -1       |
|  jasper | depotslearning11 |   002   |       -1       |
|  jasper | depotslearning11 |   003   |       -1       |
|  jasper | depotslearning11 |   004   |       -1       |
|  jasper | depotslearning11 |   005   |       -1       |
|  jasper | depotslearning11 |   006   |       -1       |
|  jasper | depotslearning11 |   007   |       -1       |
|  jasper | depotslearning11 |   008   |       -1       |
|  jasper | depotslearning11 |   009   |       -1       |
|  jasper | depotslearning11 |   010   |       -1       |
|  jasper | depotslearning11 |   011   |       -1       |
|  jasper | depotslearning11 |   012   |       -1       |
|  jasper | depotslearning11 |   013   |       -1       |
|  jasper | depotslearning11 |   014   |       -1       |
|  jasper | depotslearning11 |   015   |       -1       |
|  jasper | depotslearning11 |   016   |       -1       |
|  jasper | depotslearning11 |   017   |       -1       |
|  jasper | depotslearning11 |   018   |       -1       |
|  jasper | depotslearning11 |   019   |       -1       |
|  jasper | depotslearning11 |   020   |       -1       |
|  jasper | depotslearning11 |   021   |       -1       |
|  jasper | depotslearning11 |   022   |       -1       |
|  jasper | depotslearning11 |   023   |       -1       |
|  jasper | depotslearning11 |   024   |       -1       |
|  jasper | depotslearning11 |   025   |       -1       |
|  jasper | depotslearning11 |   026   |       -1       |
|  jasper | depotslearning11 |   027   |       -1       |
|  jasper | depotslearning11 |   028   |       -1       |
|  jasper | depotslearning11 |   029   |       -1       |
| mercury | depotslearning11 |   000   |       -1       |
| mercury | depotslearning11 |   001   |       -1       |
| mercury | depotslearning11 |   002   |       -1       |
| mercury | depotslearning11 |   003   |       -1       |
| mercury | depotslearning11 |   004   |       -1       |
| mercury | depotslearning11 |   005   |       -1       |
| mercury | depotslearning11 |   006   |       -1       |
| mercury | depotslearning11 |   007   |       -1       |
| mercury | depotslearning11 |   008   |       -1       |
| mercury | depotslearning11 |   009   |       -1       |
| mercury | depotslearning11 |   010   |       -1       |
| mercury | depotslearning11 |   011   |       -1       |
| mercury | depotslearning11 |   012   |       -1       |
| mercury | depotslearning11 |   013   |       -1       |
| mercury | depotslearning11 |   014   |       -1       |
| mercury | depotslearning11 |   015   |       -1       |
| mercury | depotslearning11 |   016   |       -1       |
| mercury | depotslearning11 |   017   |       -1       |
| mercury | depotslearning11 |   018   |       -1       |
| mercury | depotslearning11 |   019   |       -1       |
| mercury | depotslearning11 |   020   |       -1       |
| mercury | depotslearning11 |   021   |       -1       |
| mercury | depotslearning11 |   022   |       -1       |
| mercury | depotslearning11 |   023   |       -1       |
| mercury | depotslearning11 |   024   |       -1       |
| mercury | depotslearning11 |   025   |       -1       |
| mercury | depotslearning11 |   026   |       -1       |
| mercury | depotslearning11 |   027   |       -1       |
| mercury | depotslearning11 |   028   |       -1       |
| mercury | depotslearning11 |   029   |       -1       |
|   siw   | depotslearning11 |   000   |       8        |
|   siw   | depotslearning11 |   001   |       0        |
|   siw   | depotslearning11 |   002   |       0        |
|   siw   | depotslearning11 |   003   |       4        |
|   siw   | depotslearning11 |   004   |       0        |
|   siw   | depotslearning11 |   005   |       0        |
|   siw   | depotslearning11 |   006   |       0        |
|   siw   | depotslearning11 |   007   |       10       |
|   siw   | depotslearning11 |   008   |      260       |
|   siw   | depotslearning11 |   009   |       23       |
|   siw   | depotslearning11 |   010   |       23       |
|   siw   | depotslearning11 |   011   |       0        |
|   siw   | depotslearning11 |   012   |       0        |
|   siw   | depotslearning11 |   013   |       41       |
|   siw   | depotslearning11 |   014   |       0        |
|   siw   | depotslearning11 |   015   |       0        |
|   siw   | depotslearning11 |   016   |       0        |
|   siw   | depotslearning11 |   017   |       57       |
|   siw   | depotslearning11 |   018   |       0        |
|   siw   | depotslearning11 |   019   |       0        |
|   siw   | depotslearning11 |   020   |       0        |
|   siw   | depotslearning11 |   021   |       0        |
|   siw   | depotslearning11 |   022   |       0        |
|   siw   | depotslearning11 |   023   |      109       |
|   siw   | depotslearning11 |   024   |       0        |
|   siw   | depotslearning11 |   025   |      205       |
|   siw   | depotslearning11 |   026   |       0        |
|   siw   | depotslearning11 |   027   |      366       |
|   siw   | depotslearning11 |   028   |       0        |
|   siw   | depotslearning11 |   029   |       0        |
+---------+------------------+---------+----------------+
 legend:
   planner [key]
   domain [key]
   problem [key]
   oktimefirstsol: time stamp of the first *valid* solution file or -1 if none [raw data]

 created by IPCrun 1.2 (Revision: 312), Sun Feb 11 17:17:50 2018

