
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : elevators08
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+-------------+---------+----------------+
| planner |    domain   | problem | oktimefirstsol |
+---------+-------------+---------+----------------+
|  bfs-f  | elevators08 |   000   |       0        |
|  bfs-f  | elevators08 |   001   |       0        |
|  bfs-f  | elevators08 |   002   |       0        |
|  bfs-f  | elevators08 |   003   |       0        |
|  bfs-f  | elevators08 |   004   |       0        |
|  bfs-f  | elevators08 |   005   |       0        |
|  bfs-f  | elevators08 |   006   |       0        |
|  bfs-f  | elevators08 |   007   |       0        |
|  bfs-f  | elevators08 |   008   |       0        |
|  bfs-f  | elevators08 |   009   |       1        |
|  bfs-f  | elevators08 |   010   |       1        |
|  bfs-f  | elevators08 |   011   |       0        |
|  bfs-f  | elevators08 |   012   |       0        |
|  bfs-f  | elevators08 |   013   |       1        |
|  bfs-f  | elevators08 |   014   |       1        |
|  bfs-f  | elevators08 |   015   |       2        |
|  bfs-f  | elevators08 |   016   |       2        |
|  bfs-f  | elevators08 |   017   |       4        |
|  bfs-f  | elevators08 |   018   |       6        |
|  bfs-f  | elevators08 |   019   |       3        |
|  bfs-f  | elevators08 |   020   |       3        |
|  bfs-f  | elevators08 |   021   |       7        |
|  bfs-f  | elevators08 |   022   |       9        |
|  bfs-f  | elevators08 |   023   |       19       |
|  bfs-f  | elevators08 |   024   |       26       |
|  bfs-f  | elevators08 |   025   |       41       |
|  bfs-f  | elevators08 |   026   |       59       |
|  bfs-f  | elevators08 |   027   |      134       |
|  bfs-f  | elevators08 |   028   |      193       |
|  bfs-f  | elevators08 |   029   |      170       |
|  jasper | elevators08 |   000   |       0        |
|  jasper | elevators08 |   001   |       0        |
|  jasper | elevators08 |   002   |       0        |
|  jasper | elevators08 |   003   |       0        |
|  jasper | elevators08 |   004   |       0        |
|  jasper | elevators08 |   005   |       1        |
|  jasper | elevators08 |   006   |       0        |
|  jasper | elevators08 |   007   |       0        |
|  jasper | elevators08 |   008   |       0        |
|  jasper | elevators08 |   009   |       0        |
|  jasper | elevators08 |   010   |       0        |
|  jasper | elevators08 |   011   |       1        |
|  jasper | elevators08 |   012   |       1        |
|  jasper | elevators08 |   013   |       1        |
|  jasper | elevators08 |   014   |       1        |
|  jasper | elevators08 |   015   |       1        |
|  jasper | elevators08 |   016   |       1        |
|  jasper | elevators08 |   017   |       1        |
|  jasper | elevators08 |   018   |       1        |
|  jasper | elevators08 |   019   |       1        |
|  jasper | elevators08 |   020   |       1        |
|  jasper | elevators08 |   021   |       1        |
|  jasper | elevators08 |   022   |       1        |
|  jasper | elevators08 |   023   |       3        |
|  jasper | elevators08 |   024   |       3        |
|  jasper | elevators08 |   025   |       3        |
