
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : n-puzzlelearning08
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+--------------------+---------+----------------+
| planner |       domain       | problem | oktimefirstsol |
+---------+--------------------+---------+----------------+
|  bfs-f  | n-puzzlelearning08 |   000   |       3        |
|  bfs-f  | n-puzzlelearning08 |   001   |       5        |
|  bfs-f  | n-puzzlelearning08 |   002   |       6        |
|  bfs-f  | n-puzzlelearning08 |   003   |       4        |
|  bfs-f  | n-puzzlelearning08 |   004   |       4        |
|  bfs-f  | n-puzzlelearning08 |   005   |      462       |
|  bfs-f  | n-puzzlelearning08 |   006   |      113       |
|  bfs-f  | n-puzzlelearning08 |   007   |      117       |
|  bfs-f  | n-puzzlelearning08 |   008   |       48       |
|  bfs-f  | n-puzzlelearning08 |   009   |       41       |
|  bfs-f  | n-puzzlelearning08 |   010   |      157       |
|  bfs-f  | n-puzzlelearning08 |   011   |       79       |
|  bfs-f  | n-puzzlelearning08 |   012   |       86       |
|  bfs-f  | n-puzzlelearning08 |   013   |      180       |
|  bfs-f  | n-puzzlelearning08 |   014   |       95       |
|  bfs-f  | n-puzzlelearning08 |   015   |       61       |
|  bfs-f  | n-puzzlelearning08 |   016   |       53       |
|  bfs-f  | n-puzzlelearning08 |   017   |       81       |
|  bfs-f  | n-puzzlelearning08 |   018   |       65       |
|  bfs-f  | n-puzzlelearning08 |   019   |      129       |
|  bfs-f  | n-puzzlelearning08 |   020   |      1232      |
|  bfs-f  | n-puzzlelearning08 |   021   |      486       |
|  bfs-f  | n-puzzlelearning08 |   022   |       0        |
|  bfs-f  | n-puzzlelearning08 |   023   |      591       |
|  bfs-f  | n-puzzlelearning08 |   024   |       0        |
|  bfs-f  | n-puzzlelearning08 |   025   |       0        |
|  bfs-f  | n-puzzlelearning08 |   026   |       0        |
|  bfs-f  | n-puzzlelearning08 |   027   |       0        |
|  bfs-f  | n-puzzlelearning08 |   028   |       0        |
|  bfs-f  | n-puzzlelearning08 |   029   |       0        |
|  jasper | n-puzzlelearning08 |   000   |       -1       |
|  jasper | n-puzzlelearning08 |   001   |       -1       |
|  jasper | n-puzzlelearning08 |   002   |       -1       |
|  jasper | n-puzzlelearning08 |   003   |       -1       |
|  jasper | n-puzzlelearning08 |   004   |       -1       |
|  jasper | n-puzzlelearning08 |   005   |       -1       |
|  jasper | n-puzzlelearning08 |   006   |       -1       |
|  jasper | n-puzzlelearning08 |   007   |       -1       |
|  jasper | n-puzzlelearning08 |   008   |       -1       |
|  jasper | n-puzzlelearning08 |   009   |       -1       |
|  jasper | n-puzzlelearning08 |   010   |       -1       |
|  jasper | n-puzzlelearning08 |   011   |       -1       |
|  jasper | n-puzzlelearning08 |   012   |       -1       |
|  jasper | n-puzzlelearning08 |   013   |       -1       |
|  jasper | n-puzzlelearning08 |   014   |       -1       |
|  jasper | n-puzzlelearning08 |   015   |       -1       |
|  jasper | n-puzzlelearning08 |   016   |       -1       |
