
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : openstacks-strips08
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+---------------------+---------+----------------+
| planner |        domain       | problem | oktimefirstsol |
+---------+---------------------+---------+----------------+
|  bfs-f  | openstacks-strips08 |   000   |       0        |
|  bfs-f  | openstacks-strips08 |   001   |       0        |
|  bfs-f  | openstacks-strips08 |   002   |       0        |
|  bfs-f  | openstacks-strips08 |   003   |       0        |
|  bfs-f  | openstacks-strips08 |   004   |       0        |
|  bfs-f  | openstacks-strips08 |   005   |       0        |
|  bfs-f  | openstacks-strips08 |   006   |       0        |
|  bfs-f  | openstacks-strips08 |   007   |       0        |
|  bfs-f  | openstacks-strips08 |   008   |       0        |
|  bfs-f  | openstacks-strips08 |   009   |       0        |
|  bfs-f  | openstacks-strips08 |   010   |       1        |
|  bfs-f  | openstacks-strips08 |   011   |       0        |
|  bfs-f  | openstacks-strips08 |   012   |       0        |
|  bfs-f  | openstacks-strips08 |   013   |       0        |
|  bfs-f  | openstacks-strips08 |   014   |       0        |
|  bfs-f  | openstacks-strips08 |   015   |       1        |
|  bfs-f  | openstacks-strips08 |   016   |       1        |
|  bfs-f  | openstacks-strips08 |   017   |       1        |
|  bfs-f  | openstacks-strips08 |   018   |       3        |
|  bfs-f  | openstacks-strips08 |   019   |       3        |
|  bfs-f  | openstacks-strips08 |   020   |       2        |
|  bfs-f  | openstacks-strips08 |   021   |       4        |
|  bfs-f  | openstacks-strips08 |   022   |       4        |
|  bfs-f  | openstacks-strips08 |   023   |       4        |
|  bfs-f  | openstacks-strips08 |   024   |       19       |
|  bfs-f  | openstacks-strips08 |   025   |       21       |
|  bfs-f  | openstacks-strips08 |   026   |       22       |
|  bfs-f  | openstacks-strips08 |   027   |       48       |
|  bfs-f  | openstacks-strips08 |   028   |       49       |
|  bfs-f  | openstacks-strips08 |   029   |       47       |
|  jasper | openstacks-strips08 |   000   |       0        |
|  jasper | openstacks-strips08 |   001   |       1        |
|  jasper | openstacks-strips08 |   002   |       0        |
|  jasper | openstacks-strips08 |   003   |       0        |
|  jasper | openstacks-strips08 |   004   |       0        |
|  jasper | openstacks-strips08 |   005   |       0        |
|  jasper | openstacks-strips08 |   006   |       0        |
|  jasper | openstacks-strips08 |   007   |       0        |
|  jasper | openstacks-strips08 |   008   |       1        |
|  jasper | openstacks-strips08 |   009   |       1        |
|  jasper | openstacks-strips08 |   010   |       0        |
|  jasper | openstacks-strips08 |   011   |       1        |
|  jasper | openstacks-strips08 |   012   |       0        |
|  jasper | openstacks-strips08 |   013   |       1        |
|  jasper | openstacks-strips08 |   014   |       1        |
|  jasper | openstacks-strips08 |   015   |       1        |
|  jasper | openstacks-strips08 |   016   |       1        |
|  jasper | openstacks-strips08 |   017   |       1        |
|  jasper | openstacks-strips08 |   018   |       2        |
|  jasper | openstacks-strips08 |   019   |       2        |
|  jasper | openstacks-strips08 |   020   |       2        |
|  jasper | openstacks-strips08 |   021   |       3        |
|  jasper | openstacks-strips08 |   022   |       3        |
|  jasper | openstacks-strips08 |   023   |       3        |
|  jasper | openstacks-strips08 |   024   |       5        |
