
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : parking
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+-------------------+---------+----------------+
| planner |       domain      | problem | oktimefirstsol |
+---------+-------------------+---------+----------------+
|  bfs-f  |      parking      |   000   |       0        |
|  bfs-f  |      parking      |   001   |       2        |
|  bfs-f  |      parking      |   002   |       2        |
|  bfs-f  |      parking      |   003   |       2        |
|  bfs-f  |      parking      |   004   |       1        |
|  bfs-f  |      parking      |   005   |       3        |
|  bfs-f  |      parking      |   006   |       2        |
|  bfs-f  |      parking      |   007   |       1        |
|  bfs-f  |      parking      |   008   |       8        |
|  bfs-f  |      parking      |   009   |       7        |
|  bfs-f  |      parking      |   010   |       24       |
|  bfs-f  |      parking      |   011   |       21       |
|  bfs-f  |      parking      |   012   |       8        |
|  bfs-f  |      parking      |   013   |       52       |
|  bfs-f  |      parking      |   014   |       77       |
|  bfs-f  |      parking      |   015   |       11       |
|  bfs-f  |      parking      |   016   |       49       |
|  bfs-f  |      parking      |   017   |       34       |
|  bfs-f  |      parking      |   018   |      176       |
|  bfs-f  |      parking      |   019   |       14       |
|  jasper |      parking      |   000   |       1        |
|  jasper |      parking      |   001   |       1        |
|  jasper |      parking      |   002   |       2        |
|  jasper |      parking      |   003   |       2        |
|  jasper |      parking      |   004   |       2        |
|  jasper |      parking      |   005   |       2        |
|  jasper |      parking      |   006   |       3        |
|  jasper |      parking      |   007   |       3        |
|  jasper |      parking      |   008   |       3        |
|  jasper |      parking      |   009   |       3        |
|  jasper |      parking      |   010   |       4        |
|  jasper |      parking      |   011   |       8        |
|  jasper |      parking      |   012   |       4        |
|  jasper |      parking      |   013   |       4        |
|  jasper |      parking      |   014   |       6        |
|  jasper |      parking      |   015   |       6        |
|  jasper |      parking      |   016   |       6        |
|  jasper |      parking      |   017   |       6        |
|  jasper |      parking      |   018   |       9        |
|  jasper |      parking      |   019   |       13       |
| mercury |      parking      |   000   |       2        |
| mercury |      parking      |   001   |       3        |
| mercury |      parking      |   002   |       4        |
| mercury |      parking      |   003   |       3        |
| mercury |      parking      |   004   |       3        |
| mercury |      parking      |   005   |       2        |
| mercury |      parking      |   006   |       4        |
| mercury |      parking      |   007   |       4        |
| mercury |      parking      |   008   |       4        |
| mercury |      parking      |   009   |       4        |
| mercury |      parking      |   010   |       8        |
| mercury |      parking      |   011   |       8        |
| mercury |      parking      |   012   |       11       |
| mercury |      parking      |   013   |       13       |
| mercury |      parking      |   014   |       13       |
| mercury |      parking      |   015   |       8        |
| mercury |      parking      |   016   |       23       |
| mercury |      parking      |   017   |       28       |
| mercury |      parking      |   018   |       18       |
| mercury |      parking      |   019   |       49       |
|   siw   |      parking      |   000   |       0        |
|   siw   |      parking      |   001   |       0        |
|   siw   |      parking      |   002   |       0        |
|   siw   |      parking      |   003   |       1        |
|   siw   |      parking      |   004   |       1        |
|   siw   |      parking      |   005   |       1        |
|   siw   |      parking      |   006   |       0        |
|   siw   |      parking      |   007   |       0        |
|   siw   |      parking      |   008   |       0        |
|   siw   |      parking      |   009   |       1        |
|   siw   |      parking      |   010   |       1        |
|   siw   |      parking      |   011   |       1        |
