
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : parkinglearning11
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+-------------------+---------+----------------+
| planner |       domain      | problem | oktimefirstsol |
+---------+-------------------+---------+----------------+
|  bfs-f  | parkinglearning11 |   000   |      838       |
|  bfs-f  | parkinglearning11 |   001   |      937       |
|  bfs-f  | parkinglearning11 |   002   |      314       |
|  bfs-f  | parkinglearning11 |   003   |      1195      |
|  bfs-f  | parkinglearning11 |   004   |      1030      |
|  bfs-f  | parkinglearning11 |   005   |      794       |
|  bfs-f  | parkinglearning11 |   006   |       0        |
|  bfs-f  | parkinglearning11 |   007   |       0        |
|  bfs-f  | parkinglearning11 |   008   |       0        |
|  bfs-f  | parkinglearning11 |   009   |       0        |
|  bfs-f  | parkinglearning11 |   010   |       0        |
|  bfs-f  | parkinglearning11 |   011   |       0        |
|  bfs-f  | parkinglearning11 |   012   |       0        |
|  bfs-f  | parkinglearning11 |   013   |       0        |
|  bfs-f  | parkinglearning11 |   014   |       0        |
|  bfs-f  | parkinglearning11 |   015   |       0        |
|  bfs-f  | parkinglearning11 |   016   |       0        |
|  bfs-f  | parkinglearning11 |   017   |       0        |
|  bfs-f  | parkinglearning11 |   018   |       0        |
|  bfs-f  | parkinglearning11 |   019   |       0        |
|  bfs-f  | parkinglearning11 |   020   |       0        |
|  bfs-f  | parkinglearning11 |   021   |       0        |
|  bfs-f  | parkinglearning11 |   022   |       0        |
|  bfs-f  | parkinglearning11 |   023   |       0        |
|  bfs-f  | parkinglearning11 |   024   |       0        |
|  bfs-f  | parkinglearning11 |   025   |       0        |
|  bfs-f  | parkinglearning11 |   026   |       0        |
|  bfs-f  | parkinglearning11 |   027   |       0        |
|  bfs-f  | parkinglearning11 |   028   |       0        |
|  bfs-f  | parkinglearning11 |   029   |       0        |
|  jasper | parkinglearning11 |   000   |       -1       |
|  jasper | parkinglearning11 |   001   |       -1       |
|  jasper | parkinglearning11 |   002   |       -1       |
|  jasper | parkinglearning11 |   003   |       -1       |
|  jasper | parkinglearning11 |   004   |       -1       |
|  jasper | parkinglearning11 |   005   |       -1       |
|  jasper | parkinglearning11 |   006   |       -1       |
|  jasper | parkinglearning11 |   007   |       -1       |
|  jasper | parkinglearning11 |   008   |       -1       |
|  jasper | parkinglearning11 |   009   |       -1       |
|  jasper | parkinglearning11 |   010   |       -1       |
|  jasper | parkinglearning11 |   011   |       -1       |
|  jasper | parkinglearning11 |   012   |       -1       |
|  jasper | parkinglearning11 |   013   |       -1       |
|  jasper | parkinglearning11 |   014   |       -1       |
|  jasper | parkinglearning11 |   015   |       -1       |
|  jasper | parkinglearning11 |   016   |       -1       |
|  jasper | parkinglearning11 |   017   |       -1       |
|  jasper | parkinglearning11 |   018   |       -1       |
|  jasper | parkinglearning11 |   019   |       -1       |
|  jasper | parkinglearning11 |   020   |       -1       |
|  jasper | parkinglearning11 |   021   |       -1       |
|  jasper | parkinglearning11 |   022   |       -1       |
|  jasper | parkinglearning11 |   023   |       -1       |
|  jasper | parkinglearning11 |   024   |       -1       |
|  jasper | parkinglearning11 |   025   |       -1       |
|  jasper | parkinglearning11 |   026   |       -1       |
|  jasper | parkinglearning11 |   027   |       -1       |
|  jasper | parkinglearning11 |   028   |       -1       |
|  jasper | parkinglearning11 |   029   |       -1       |
| mercury | parkinglearning11 |   000   |       87       |
| mercury | parkinglearning11 |   001   |      111       |
| mercury | parkinglearning11 |   002   |      120       |
| mercury | parkinglearning11 |   003   |      130       |
| mercury | parkinglearning11 |   004   |      179       |
| mercury | parkinglearning11 |   005   |       94       |
