
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : scanalyzer
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+---------------------+---------+----------------+
| planner |        domain       | problem | oktimefirstsol |
+---------+---------------------+---------+----------------+
|  bfs-f  |      scanalyzer     |   000   |       2        |
|  bfs-f  |      scanalyzer     |   001   |       1        |
|  bfs-f  |      scanalyzer     |   002   |       0        |
|  bfs-f  |      scanalyzer     |   003   |       0        |
|  bfs-f  |      scanalyzer     |   004   |       4        |
|  bfs-f  |      scanalyzer     |   005   |       4        |
|  bfs-f  |      scanalyzer     |   006   |       11       |
|  bfs-f  |      scanalyzer     |   007   |       3        |
|  bfs-f  |      scanalyzer     |   008   |       0        |
|  bfs-f  |      scanalyzer     |   009   |       1        |
|  bfs-f  |      scanalyzer     |   010   |       1        |
|  bfs-f  |      scanalyzer     |   011   |       0        |
|  bfs-f  |      scanalyzer     |   012   |       0        |
|  bfs-f  |      scanalyzer     |   013   |       4        |
|  bfs-f  |      scanalyzer     |   014   |       3        |
|  bfs-f  |      scanalyzer     |   015   |       11       |
|  bfs-f  |      scanalyzer     |   016   |       7        |
|  bfs-f  |      scanalyzer     |   017   |      144       |
|  bfs-f  |      scanalyzer     |   018   |      155       |
|  bfs-f  |      scanalyzer     |   019   |      246       |
|  jasper |      scanalyzer     |   000   |       12       |
|  jasper |      scanalyzer     |   001   |       2        |
|  jasper |      scanalyzer     |   002   |       0        |
|  jasper |      scanalyzer     |   003   |       0        |
|  jasper |      scanalyzer     |   004   |       4        |
|  jasper |      scanalyzer     |   005   |       9        |
|  jasper |      scanalyzer     |   006   |       7        |
|  jasper |      scanalyzer     |   007   |       8        |
|  jasper |      scanalyzer     |   008   |       1        |
|  jasper |      scanalyzer     |   009   |       2        |
|  jasper |      scanalyzer     |   010   |       1        |
|  jasper |      scanalyzer     |   011   |       2        |
|  jasper |      scanalyzer     |   012   |       0        |
|  jasper |      scanalyzer     |   013   |       4        |
|  jasper |      scanalyzer     |   014   |       3        |
