
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : thoughtfullearning08
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+----------------------+---------+----------------+
| planner |        domain        | problem | oktimefirstsol |
+---------+----------------------+---------+----------------+
|  bfs-f  | thoughtfullearning08 |   000   |       2        |
|  bfs-f  | thoughtfullearning08 |   001   |      396       |
|  bfs-f  | thoughtfullearning08 |   002   |      982       |
|  bfs-f  | thoughtfullearning08 |   003   |       2        |
|  bfs-f  | thoughtfullearning08 |   004   |       2        |
|  bfs-f  | thoughtfullearning08 |   005   |       1        |
|  bfs-f  | thoughtfullearning08 |   006   |       2        |
|  bfs-f  | thoughtfullearning08 |   007   |       1        |
|  bfs-f  | thoughtfullearning08 |   008   |       4        |
|  bfs-f  | thoughtfullearning08 |   009   |       45       |
|  bfs-f  | thoughtfullearning08 |   010   |      359       |
|  bfs-f  | thoughtfullearning08 |   011   |       2        |
|  bfs-f  | thoughtfullearning08 |   012   |       4        |
|  bfs-f  | thoughtfullearning08 |   013   |      130       |
|  bfs-f  | thoughtfullearning08 |   014   |       10       |
|  bfs-f  | thoughtfullearning08 |   015   |       5        |
|  bfs-f  | thoughtfullearning08 |   016   |       3        |
|  bfs-f  | thoughtfullearning08 |   017   |       3        |
|  bfs-f  | thoughtfullearning08 |   018   |       8        |
|  bfs-f  | thoughtfullearning08 |   019   |      436       |
|  bfs-f  | thoughtfullearning08 |   020   |       6        |
|  bfs-f  | thoughtfullearning08 |   021   |      115       |
|  bfs-f  | thoughtfullearning08 |   022   |       30       |
|  bfs-f  | thoughtfullearning08 |   023   |      258       |
|  bfs-f  | thoughtfullearning08 |   024   |       2        |
|  bfs-f  | thoughtfullearning08 |   025   |       2        |
|  bfs-f  | thoughtfullearning08 |   026   |      296       |
|  bfs-f  | thoughtfullearning08 |   027   |       4        |
|  bfs-f  | thoughtfullearning08 |   028   |       2        |
|  bfs-f  | thoughtfullearning08 |   029   |       3        |
|  jasper | thoughtfullearning08 |   000   |       -1       |
|  jasper | thoughtfullearning08 |   001   |       -1       |
|  jasper | thoughtfullearning08 |   002   |       -1       |
|  jasper | thoughtfullearning08 |   003   |       -1       |
|  jasper | thoughtfullearning08 |   004   |       -1       |
|  jasper | thoughtfullearning08 |   005   |       -1       |
|  jasper | thoughtfullearning08 |   006   |       -1       |
|  jasper | thoughtfullearning08 |   007   |       -1       |
|  jasper | thoughtfullearning08 |   008   |       -1       |
|  jasper | thoughtfullearning08 |   009   |       -1       |
|  jasper | thoughtfullearning08 |   010   |       -1       |
|  jasper | thoughtfullearning08 |   011   |       -1       |
|  jasper | thoughtfullearning08 |   012   |       -1       |
|  jasper | thoughtfullearning08 |   013   |       -1       |
|  jasper | thoughtfullearning08 |   014   |       -1       |
|  jasper | thoughtfullearning08 |   015   |       -1       |
|  jasper | thoughtfullearning08 |   016   |       -1       |
|  jasper | thoughtfullearning08 |   017   |       -1       |
|  jasper | thoughtfullearning08 |   018   |       -1       |
|  jasper | thoughtfullearning08 |   019   |       -1       |
|  jasper | thoughtfullearning08 |   020   |       -1       |
|  jasper | thoughtfullearning08 |   021   |       -1       |
|  jasper | thoughtfullearning08 |   022   |       -1       |
|  jasper | thoughtfullearning08 |   023   |       -1       |
|  jasper | thoughtfullearning08 |   024   |       -1       |
|  jasper | thoughtfullearning08 |   025   |       -1       |
|  jasper | thoughtfullearning08 |   026   |       -1       |
|  jasper | thoughtfullearning08 |   027   |       -1       |
|  jasper | thoughtfullearning08 |   028   |       -1       |
|  jasper | thoughtfullearning08 |   029   |       -1       |
| mercury | thoughtfullearning08 |   000   |       -1       |
| mercury | thoughtfullearning08 |   001   |       -1       |
| mercury | thoughtfullearning08 |   002   |       -1       |
| mercury | thoughtfullearning08 |   003   |       -1       |
| mercury | thoughtfullearning08 |   004   |       -1       |
| mercury | thoughtfullearning08 |   005   |       -1       |
| mercury | thoughtfullearning08 |   006   |       -1       |
| mercury | thoughtfullearning08 |   007   |       -1       |
| mercury | thoughtfullearning08 |   008   |       -1       |
| mercury | thoughtfullearning08 |   009   |       -1       |
| mercury | thoughtfullearning08 |   010   |       -1       |
| mercury | thoughtfullearning08 |   011   |       -1       |
| mercury | thoughtfullearning08 |   012   |       -1       |
| mercury | thoughtfullearning08 |   013   |       -1       |
| mercury | thoughtfullearning08 |   014   |       -1       |
| mercury | thoughtfullearning08 |   015   |       -1       |
| mercury | thoughtfullearning08 |   016   |       -1       |
| mercury | thoughtfullearning08 |   017   |       -1       |
| mercury | thoughtfullearning08 |   018   |       -1       |
| mercury | thoughtfullearning08 |   019   |       -1       |
| mercury | thoughtfullearning08 |   020   |       -1       |
| mercury | thoughtfullearning08 |   021   |       -1       |
| mercury | thoughtfullearning08 |   022   |       -1       |
| mercury | thoughtfullearning08 |   023   |       -1       |
| mercury | thoughtfullearning08 |   024   |       -1       |
| mercury | thoughtfullearning08 |   025   |       -1       |
| mercury | thoughtfullearning08 |   026   |       -1       |
| mercury | thoughtfullearning08 |   027   |       -1       |
| mercury | thoughtfullearning08 |   028   |       -1       |
| mercury | thoughtfullearning08 |   029   |       -1       |
|   siw   | thoughtfullearning08 |   000   |       1        |
|   siw   | thoughtfullearning08 |   001   |       1        |
|   siw   | thoughtfullearning08 |   002   |       1        |
|   siw   | thoughtfullearning08 |   003   |       1        |
|   siw   | thoughtfullearning08 |   004   |       1        |
|   siw   | thoughtfullearning08 |   005   |       1        |
|   siw   | thoughtfullearning08 |   006   |       1        |
|   siw   | thoughtfullearning08 |   007   |       1        |
|   siw   | thoughtfullearning08 |   008   |       1        |
|   siw   | thoughtfullearning08 |   009   |       1        |
|   siw   | thoughtfullearning08 |   010   |       1        |
|   siw   | thoughtfullearning08 |   011   |       1        |
|   siw   | thoughtfullearning08 |   012   |       1        |
|   siw   | thoughtfullearning08 |   013   |       0        |
|   siw   | thoughtfullearning08 |   014   |       0        |
|   siw   | thoughtfullearning08 |   015   |       2        |
|   siw   | thoughtfullearning08 |   016   |       0        |
|   siw   | thoughtfullearning08 |   017   |       1        |
|   siw   | thoughtfullearning08 |   018   |       1        |
|   siw   | thoughtfullearning08 |   019   |       2        |
|   siw   | thoughtfullearning08 |   020   |       2        |
|   siw   | thoughtfullearning08 |   021   |       1        |
|   siw   | thoughtfullearning08 |   022   |       2        |
|   siw   | thoughtfullearning08 |   023   |       0        |
|   siw   | thoughtfullearning08 |   024   |       0        |
|   siw   | thoughtfullearning08 |   025   |       0        |
|   siw   | thoughtfullearning08 |   026   |       2        |
|   siw   | thoughtfullearning08 |   027   |       1        |
|   siw   | thoughtfullearning08 |   028   |       1        |
|   siw   | thoughtfullearning08 |   029   |       1        |
+---------+----------------------+---------+----------------+
 legend:
   planner [key]
   domain [key]
   problem [key]
   oktimefirstsol: time stamp of the first *valid* solution file or -1 if none [raw data]

 created by IPCrun 1.2 (Revision: 312), Sun Feb 11 16:56:42 2018

