
 Revision: 308 
 Date: 2011-12-21 00:08:29 +0100 (Wed, 21 Dec 2011) 

 ./report.py 1.2

 -----------------------------------------------------------------------------
 * directory      : /home/isabel/Desktop/newResults/results/seq-sat/
 * snapshot       : None
 * name           : report
 * level          : None
 * planner        : .*
 * domain         : transport-strips08
 * problem        : .*
 * variables      : ['oktimefirstsol']
 * unroll         : False
 * sorting        : ['domain (ascending)']
 * style          : table
 -----------------------------------------------------------------------------

[('domain', '<')]
----
 name: report
+---------+--------------------+---------+----------------+
| planner |       domain       | problem | oktimefirstsol |
+---------+--------------------+---------+----------------+
|  bfs-f  | transport-strips08 |   000   |       0        |
|  bfs-f  | transport-strips08 |   001   |       0        |
|  bfs-f  | transport-strips08 |   002   |       0        |
|  bfs-f  | transport-strips08 |   003   |       1        |
|  bfs-f  | transport-strips08 |   004   |       0        |
|  bfs-f  | transport-strips08 |   005   |       23       |
|  bfs-f  | transport-strips08 |   006   |       14       |
|  bfs-f  | transport-strips08 |   007   |       9        |
|  bfs-f  | transport-strips08 |   008   |       21       |
|  bfs-f  | transport-strips08 |   009   |       43       |
|  bfs-f  | transport-strips08 |   010   |       0        |
|  bfs-f  | transport-strips08 |   011   |       0        |
|  bfs-f  | transport-strips08 |   012   |       0        |
|  bfs-f  | transport-strips08 |   013   |       1        |
|  bfs-f  | transport-strips08 |   014   |       1        |
|  bfs-f  | transport-strips08 |   015   |       7        |
|  bfs-f  | transport-strips08 |   016   |       8        |
|  bfs-f  | transport-strips08 |   017   |       28       |
|  bfs-f  | transport-strips08 |   018   |       50       |
|  bfs-f  | transport-strips08 |   019   |       69       |
|  bfs-f  | transport-strips08 |   020   |       0        |
|  bfs-f  | transport-strips08 |   021   |       0        |
|  bfs-f  | transport-strips08 |   022   |       0        |
|  bfs-f  | transport-strips08 |   023   |       0        |
|  bfs-f  | transport-strips08 |   024   |       1        |
|  bfs-f  | transport-strips08 |   025   |       3        |
|  bfs-f  | transport-strips08 |   026   |       9        |
|  bfs-f  | transport-strips08 |   027   |       16       |
|  bfs-f  | transport-strips08 |   028   |       30       |
|  bfs-f  | transport-strips08 |   029   |       73       |
|  jasper | transport-strips08 |   000   |       0        |
|  jasper | transport-strips08 |   001   |       1        |
|  jasper | transport-strips08 |   002   |       1        |
|  jasper | transport-strips08 |   003   |       1        |
|  jasper | transport-strips08 |   004   |       2        |
|  jasper | transport-strips08 |   005   |       3        |
|  jasper | transport-strips08 |   006   |       4        |
|  jasper | transport-strips08 |   007   |       6        |
|  jasper | transport-strips08 |   008   |       7        |
|  jasper | transport-strips08 |   009   |       9        |
|  jasper | transport-strips08 |   010   |       0        |
|  jasper | transport-strips08 |   011   |       0        |
|  jasper | transport-strips08 |   012   |       1        |
|  jasper | transport-strips08 |   013   |       1        |
|  jasper | transport-strips08 |   014   |       2        |
|  jasper | transport-strips08 |   015   |       4        |
|  jasper | transport-strips08 |   016   |       5        |
|  jasper | transport-strips08 |   017   |       7        |
|  jasper | transport-strips08 |   018   |       9        |
|  jasper | transport-strips08 |   019   |       11       |
|  jasper | transport-strips08 |   020   |       0        |
|  jasper | transport-strips08 |   021   |       0        |
|  jasper | transport-strips08 |   022   |       1        |
|  jasper | transport-strips08 |   023   |       1        |
|  jasper | transport-strips08 |   024   |       2        |
|  jasper | transport-strips08 |   025   |       4        |
|  jasper | transport-strips08 |   026   |       5        |
|  jasper | transport-strips08 |   027   |       7        |
|  jasper | transport-strips08 |   028   |       9        |
|  jasper | transport-strips08 |   029   |       11       |
| mercury | transport-strips08 |   000   |       0        |
| mercury | transport-strips08 |   001   |       1        |
| mercury | transport-strips08 |   002   |       2        |
| mercury | transport-strips08 |   003   |       2        |
| mercury | transport-strips08 |   004   |       2        |
| mercury | transport-strips08 |   005   |       3        |
| mercury | transport-strips08 |   006   |       4        |
