original_prdomain,  original_problem,  trans_domain,  trans_problem, domain, task_name, requirements, types, objects, predicates, functions, init, goal, actions, axioms, use_min_cost_metric, generated_rules, relevant_atoms, auxiliary_atoms, final_queue_length, total_queue_pushes, implied_effects_removed, effect_conditions_simplified, implied_preconditions_added, translator_variables, translator_derived_variables, translator_facts, translator_mutex_groups, translator_total_mutex_groups_size, translator_operators, translator_task_size, numberVariablesCG, highLevelVariablesCG, totalEdgesCG, totalWeightCG, veRatio, weRatio, wvRatio, hvRatio, inputEdgeCGMax, inputEdgeCGAvg, inputEdgeCGStd, outputEdgeCGMax, outputEdgeCGAvg, outputEdgeCGStd, inputWeightCGMax, inputWeightCGAvg, inputWeightCGStd, outputWeightCGMax, outputWeightCGAvg, outputWeightCGStd, inputEdgeHVMax, inputEdgeHVAvg, inputEdgeHVStd, outputEdgeHVMax, outputEdgeHVAvg, outputEdgeHVStd, inputWeightHVMax, inputWeightHVAvg, inputWeightHVStd, outputWeightHVMax, outputWeightHVAvg, outputWeightHVStd, numberVariablesDTG, totalEdgesDTG, totalWeigthDTG, edVaRatioDTG, weEdRatioDTG, weVaRatioDTG, inputEdgeDTGMax, inputEdgeDTGAvg, inputEdgeDTGStd, outputEdgeDTGMax, outputEdgeDTGAvg, outputEdgeDTGStd, inputWeightDTGMax, inputWeightDTGAvg, inputWeightDTGStd, outputWeightDTGMax, outputWeightDTGAvg, outputWeightDTGStd, no, file, num_relevant_facts, num_actions, h_max, h_ff, h_ff_ratio, rp_fact_balance_min, rp_fact_balance_avg, rp_fact_balance_var, rp_goal_balance_min, rp_goal_balance_avg, rp_goal_balance_var  , balance_Ratio, Unbalance_Ratio, Balance_Distorsion, Additive, Blind, Causal_graph, Context-enhanced_additive, FF, Goal_count, Landmark_count, Landmark-cut, Max       , n_landmarks, numberEdges, edVaratioLand, numberFatherNodes, numberChildrenNodes, nodosbetween      , avginput, maxinput, stdinput     , avgoutput, maxoutput, stdoutput       , blackVariables, blackRootVariables       , redBlackVariables, allpairsvaluesconnected, allvaluesconnectedgoal        , blackstronglpyarents, Maximaleffectsblack , Hred-black  
/home/isabel/domains/seq-opt/Barman/domain.pddl, /home/isabel/domains/seq-opt/Barman/p435.1.pddl, /home/isabel/domains/seq-opt/Barman/domain.pddl, /home/isabel/domains/seq-opt/Barman/p435.1.pddl, barman,prob,2,10,21,16,0,35,4,12,0,0,115,763,854,1617,2674,0,794,0,80,0,171,9,35,478,4604,80,4, 769, 7196, 0.104031, 9.35761, 89.95, 0.05, 78, 9.6125, 14.8404, 38, 9.6125, 6.77586, 1032, 89.95, 207.019,1168, 89.95, 153.318, 1, 0.05, 0.217945, 26, 1.3, 5.66657, 2, 0.1, 0.43589, 26, 1.3,5.66657,171, 1442, 7290, 0.197805, 0.118585, 1, 116, 7.53036, 0.110406, 126, 7.41161, 0.110406, 672, 18.3107,0.220812, 682,17.1899, 0.110406,  1, /home/isabel/domains/seq-opt/Barman/p435.1.pddl, 94, 578, 5, 16, 3.200000, -3, -0.106383, 0.939308, 1, 1.000000, 0.000000, 5.463668, 4.179931, 44,136,1,40,136,19,4,15,10,5,42,123,2.92857,27,4,11,2.92857,10,3.16228,2.92857,16,4.79583,3,0,80,0,0,0,2,16
/home/isabel/domains/seq-opt/Barman/domain.pddl, /home/isabel/domains/seq-opt/Barman/p435.2.pddl, /home/isabel/domains/seq-opt/Barman/domain.pddl, /home/isabel/domains/seq-opt/Barman/p435.2.pddl, barman,prob,2,10,21,16,0,35,4,12,0,0,115,763,854,1617,2674,0,794,0,80,0,171,9,35,478,4604,80,4, 771, 7196, 0.103761, 9.33333, 89.95, 0.05, 78, 9.6375, 14.8595, 38, 9.6375, 6.78646, 1032, 89.95, 207.015,1168, 89.95, 153.312, 1, 0.05, 0.217945, 26, 1.3, 5.66657, 2, 0.1, 0.43589, 26, 1.3,5.66657,171, 1450, 7332, 0.197763, 0.117931, 1, 116, 7.55536, 0.110406, 126, 7.46161, 0.110406, 672, 18.3857,0.220812, 682,17.2899, 0.110406,  1, /home/isabel/domains/seq-opt/Barman/p435.2.pddl, 94, 578, 5, 16, 3.200000, -3, -0.106383, 0.927913, 1, 1.000000, 0.000000, 5.463668, 4.179931, 44,136,1,40,136,20,4,15,10,5,42,122,2.90476,27,4,11,2.90476,10,3.16228,2.90476,16,4.79583,3,0,80,0,0,0,2,19
/home/isabel/domains/seq-opt/Barman/domain.pddl, /home/isabel/domains/seq-opt/Barman/p435.3.pddl, /home/isabel/domains/seq-opt/Barman/domain.pddl, /home/isabel/domains/seq-opt/Barman/p435.3.pddl, barman,prob,2,10,21,16,0,35,4,12,0,0,115,763,854,1617,2674,0,794,0,80,0,171,9,35,478,4604,80,4, 769, 7196, 0.104031, 9.35761, 89.95, 0.05, 78, 9.6125, 14.8404, 38, 9.6125, 6.77586, 1032, 89.95, 207.019,1168, 89.95, 153.318, 1, 0.05, 0.217945, 26, 1.3, 5.66657, 2, 0.1, 0.43589, 26, 1.3,5.66657,171, 1442, 7290, 0.197805, 0.118585, 1, 116, 7.53036, 0.110406, 126, 7.41161, 0.110406, 672, 18.3107,0.220812, 682,17.1899, 0.110406,  1, /home/isabel/domains/seq-opt/Barman/p435.3.pddl, 94, 578, 5, 16, 3.200000, -3, -0.106383, 0.939308, 1, 1.000000, 0.000000, 5.463668, 4.179931, 44,136,1,40,136,18,4,15,10,5,42,123,2.92857,27,4,11,2.92857,10,3.16228,2.92857,16,4.79583,3,0,80,0,0,0,2,18
/home/isabel/domains/seq-opt/Barman/domain.pddl, /home/isabel/domains/seq-opt/Barman/p536.1.pddl, /home/isabel/domains/seq-opt/Barman/domain.pddl, /home/isabel/domains/seq-opt/Barman/p536.1.pddl, barman,prob,2,10,23,16,0,40,5,12,0,0,115,947,1051,1998,3324,0,1016,0,100,0,213,10,40,610,5868,100,5, 973, 9196, 0.102775, 9.45118, 91.96, 0.05, 98, 9.73, 17.1627, 44, 9.73, 7.2854, 1314, 91.96, 238.799,1524, 91.96, 176.768, 1, 0.05, 0.217945, 26, 1.3, 5.66657, 2, 0.1, 0.43589, 26, 1.3,5.66657,213, 1838, 9336, 0.196872, 0.115887, 1, 146, 7.64833, 0.099, 158, 7.59833, 0.099, 858, 18.5017,0.198, 870,17.4583, 0.099,  1, /home/isabel/domains/seq-opt/Barman/p536.1.pddl, 116, 730, 5, 18, 3.600000, -4, -0.103448, 0.994635, 1, 1.000000, 0.000000, 5.671233, 5.095891, 51,170,1,50,170,19,5,17,16,5,48,145,3.02083,31,5,12,3.02083,12,3.74166,3.02083,16,5,4,0,100,0,0,0,2,19
/home/isabel/domains/seq-opt/Barman/domain.pddl, /home/isabel/domains/seq-opt/Barman/p536.2.pddl, /home/isabel/domains/seq-opt/Barman/domain.pddl, /home/isabel/domains/seq-opt/Barman/p536.2.pddl, barman,prob,2,10,23,16,0,40,5,12,0,0,115,947,1051,1998,3324,0,1016,0,100,0,213,10,40,610,5868,100,5, 975, 9196, 0.102564, 9.43179, 91.96, 0.05, 98, 9.75, 17.1799, 44, 9.75, 7.29572, 1314, 91.96, 238.797,1524, 91.96, 176.765, 1, 0.05, 0.217945, 26, 1.3, 5.66657, 2, 0.1, 0.43589, 26, 1.3,5.66657,213, 1846, 9378, 0.196844, 0.115385, 1, 146, 7.66833, 0.099, 158, 7.63833, 0.099, 858, 18.5617,0.198, 870,17.5383, 0.099,  1, /home/isabel/domains/seq-opt/Barman/p536.2.pddl, 116, 730, 5, 18, 3.600000, -3, -0.103448, 0.985930, 1, 1.000000, 0.000000, 5.671233, 5.095891, 51,170,1,50,170,20,5,17,12,5,48,144,3,31,5,12,3,12,3.74166,3,16,5,4,0,100,0,0,0,2,19
/home/isabel/domains/seq-opt/Barman/domain.pddl, /home/isabel/domains/seq-opt/Barman/p536.3.pddl, /home/isabel/domains/seq-opt/Barman/domain.pddl, /home/isabel/domains/seq-opt/Barman/p536.3.pddl, barman,prob,2,10,23,16,0,40,5,12,0,0,115,947,1051,1998,3324,0,1016,0,100,0,213,10,40,610,5868,100,5, 973, 9196, 0.102775, 9.45118, 91.96, 0.05, 98, 9.73, 17.1627, 44, 9.73, 7.2854, 1314, 91.96, 238.799,1524, 91.96, 176.768, 1, 0.05, 0.217945, 26, 1.3, 5.66657, 2, 0.1, 0.43589, 26, 1.3,5.66657,213, 1838, 9336, 0.196872, 0.115887, 1, 146, 7.64833, 0.099, 158, 7.59833, 0.099, 858, 18.5017,0.198, 870,17.4583, 0.099,  1, /home/isabel/domains/seq-opt/Barman/p536.3.pddl, 116, 730, 5, 18, 3.600000, -4, -0.103448, 0.994635, 1, 1.000000, 0.000000, 5.671233, 5.095891, 51,170,1,50,170,20,5,17,11,5,48,145,3.02083,31,5,12,3.02083,12,3.74166,3.02083,16,5,4,0,100,0,0,0,2,19
/home/isabel/domains/seq-opt/Barman/domain.pddl, /home/isabel/domains/seq-opt/Barman/p638.1.pddl, /home/isabel/domains/seq-opt/Barman/domain.pddl, /home/isabel/domains/seq-opt/Barman/p638.1.pddl, barman,prob,2,10,26,16,0,48,7,12,0,0,115,1284,1409,2693,4520,0,1422,0,137,0,291,12,50,854,8205,137,7, 1353, 12900, 0.101256, 9.53437, 94.1606, 0.0510949, 135, 9.87591, 20.7844, 55, 9.87591, 8.01681, 1836, 94.1606, 288.7,2184, 94.1606, 212.581, 6, 0.0875912, 0.546715, 70, 1.64964, 7.91524, 38, 0.364964, 3.25302, 70, 1.64964,7.91524,291, 2578, 13168, 0.195778, 0.112878, 1, 210, 7.86813, 0.0848121, 226, 7.69294, 0.0848121, 1262, 19.0757,0.169624, 1278,17.7861, 0.0848121,  1, /home/isabel/domains/seq-opt/Barman/p638.1.pddl, 157, 1012, 5, 22, 4.400000, -3, -0.095541, 1.014440, 1, 1.000000, 0.000000, 7.280632, 6.209486, 63,206,1,50,206,23,7,20,13,5,58,171,2.94828,38,7,13,2.94828,14,4,2.94828,16,4.89898,6,0,137,0,0,0,2,25
/home/isabel/domains/seq-opt/Barman/domain.pddl, /home/isabel/domains/seq-opt/Barman/p638.2.pddl, /home/isabel/domains/seq-opt/Barman/domain.pddl, /home/isabel/domains/seq-opt/Barman/p638.2.pddl, barman,prob,2,10,26,16,0,48,7,12,0,0,115,1284,1409,2693,4520,0,1422,0,137,0,291,12,50,854,8205,137,7, 1353, 12900, 0.101256, 9.53437, 94.1606, 0.0510949, 135, 9.87591, 20.7855, 55, 9.87591, 8.01681, 1836, 94.1606, 288.705,2184, 94.1606, 212.587, 1, 0.0510949, 0.220191, 26, 1.32847, 5.72497, 2, 0.10219, 0.440383, 26, 1.32847,5.72497,291, 2578, 13168, 0.195778, 0.112878, 1, 210, 7.86813, 0.0848121, 226, 7.69294, 0.0848121, 1262, 19.0757,0.169624, 1278,17.7861, 0.0848121,  1, /home/isabel/domains/seq-opt/Barman/p638.2.pddl, 157, 1012, 5, 21, 4.200000, -4, -0.095541, 1.051438, 1, 1.000000, 0.000000, 5.909091, 6.092885, 59,238,1,70,238,22,7,20,13,5,58,182,3.13793,38,7,13,3.13793,15,4.3589,3.13793,16,5.19615,6,0,137,0,0,0,2,24
/home/isabel/domains/seq-opt/Barman/domain.pddl, /home/isabel/domains/seq-opt/Barman/p638.3.pddl, /home/isabel/domains/seq-opt/Barman/domain.pddl, /home/isabel/domains/seq-opt/Barman/p638.3.pddl, barman,prob,2,10,26,16,0,48,7,12,0,0,115,1284,1409,2693,4520,0,1422,0,137,0,291,12,50,854,8205,137,7, 1353, 12900, 0.101256, 9.53437, 94.1606, 0.0510949, 135, 9.87591, 20.7848, 55, 9.87591, 8.01681, 1836, 94.1606, 288.702,2184, 94.1606, 212.583, 1, 0.0510949, 0.220191, 26, 1.32847, 5.72497, 2, 0.10219, 0.440383, 26, 1.32847,5.72497,291, 2578, 13168, 0.195778, 0.112878, 1, 210, 7.86813, 0.0848121, 226, 7.69294, 0.0848121, 1262, 19.0757,0.169624, 1278,17.7861, 0.0848121,  1, /home/isabel/domains/seq-opt/Barman/p638.3.pddl, 157, 1012, 5, 21, 4.200000, -4, -0.095541, 1.039252, 1, 1.000000, 0.000000, 5.909091, 6.092885, 59,238,1,70,238,24,7,20,19,5,58,182,3.13793,38,7,13,3.13793,15,4.3589,3.13793,16,5.19615,6,0,137,0,0,0,2,24
/home/isabel/domains/seq-opt/Barman/domain.pddl, /home/isabel/domains/seq-opt/Barman/p739.1.pddl, /home/isabel/domains/seq-opt/Barman/domain.pddl, /home/isabel/domains/seq-opt/Barman/p739.1.pddl, barman,prob,2,10,28,16,0,53,8,12,0,0,115,1503,1646,3149,5290,0,1694,0,162,0,343,13,55,1016,9754,162,8, 1607, 15350, 0.100809, 9.55196, 94.7531, 0.0493827, 160, 9.91975, 22.9559, 61, 9.91975, 8.41954, 2178, 94.7531, 316.865,2640, 94.7531, 234.294, 6, 0.0802469, 0.508913, 70, 1.55556, 7.55229, 38, 0.320988, 2.99723, 70, 1.55556,7.55229,343, 3064, 15704, 0.19511, 0.111945, 1, 248, 7.9422, 0.0780824, 266, 7.71998, 0.0780824, 1504, 19.226,0.156165, 1522,17.8597, 0.0780824,  1, /home/isabel/domains/seq-opt/Barman/p739.1.pddl, 184, 1194, 5, 24, 4.800000, -5, -0.092391, 1.087052, 1, 1.000000, 0.000000, 7.502513, 7.311558, 70,240,1,58,240,27,8,22,14,5,64,193,3.01562,42,8,14,3.01562,16,4.47214,3.01562,16,5,7,0,162,0,0,0,2,27
