@relation sat-problems

@attribute domain {termes, spider, grounded-strips-spider, snake, settlers, grounded-strips-settlers, organic-synthesis, nurikabe, organic-synthesis-split, grounded-strips-nurikabe, flashfill, grounded-strips-flashfill, data-network, caldera, grounded-strips-caldera, caldera-split, grounded-strips-caldera-split, agricola , '?'}
@attribute task_name string
@attribute requirements numeric
@attribute types numeric
@attribute objects numeric
@attribute predicates numeric
@attribute functions numeric
@attribute init numeric
@attribute goal numeric
@attribute actions numeric
@attribute axioms numeric
@attribute use_min_cost_metric numeric
@attribute generated_rules numeric
@attribute relevant_atoms numeric
@attribute auxiliary_atoms numeric
@attribute final_queue_length numeric
@attribute total_queue_pushes numeric
@attribute implied_effects_removed numeric
@attribute effect_conditions_simplified numeric
@attribute implied_preconditions_added numeric
@attribute translator_variables numeric
@attribute translator_derived_variables numeric
@attribute translator_facts numeric
@attribute translator_mutex_groups numeric
@attribute translator_total_mutex_groups_size numeric
@attribute translator_operators numeric
@attribute translator_task_size numeric
@attribute numberVariablesCG numeric
@attribute highLevelVariablesCG numeric
@attribute totalEdgesCG numeric
@attribute totalWeightCG numeric
@attribute veRatio numeric
@attribute weRatio numeric
@attribute wvRatio numeric
@attribute hvRatio numeric
@attribute inputEdgeCGMax numeric
@attribute inputEdgeCGAvg numeric
@attribute inputEdgeCGStd numeric
@attribute outputEdgeCGMax numeric
@attribute outputEdgeCGAvg numeric
@attribute outputEdgeCGStd numeric
@attribute inputWeightCGMax numeric
@attribute inputWeightCGAvg numeric
@attribute inputWeightCGStd numeric
@attribute outputWeightCGMax numeric
@attribute outputWeightCGAvg numeric
@attribute outputWeightCGStd numeric
@attribute inputEdgeHVMax numeric
@attribute inputEdgeHVAvg numeric
@attribute inputEdgeHVStd numeric
@attribute outputEdgeHVMax numeric
@attribute outputEdgeHVAvg numeric
@attribute outputEdgeHVStd numeric
@attribute inputWeightHVMax numeric
@attribute inputWeightHVAvg numeric
@attribute inputWeightHVStd numeric
@attribute outputWeightHVMax numeric
@attribute outputWeightHVAvg numeric
@attribute outputWeightHVStd numeric
@attribute numberVariablesDTG numeric
@attribute totalEdgesDTG numeric
@attribute totalWeigthDTG numeric
@attribute edVaRatioDTG numeric
@attribute weEdRatioDTG numeric
@attribute weVaRatioDTG numeric
@attribute inputEdgeDTGMax numeric
@attribute inputEdgeDTGAvg numeric
@attribute inputEdgeDTGStd numeric
@attribute outputEdgeDTGMax numeric
@attribute outputEdgeDTGAvg numeric
@attribute outputEdgeDTGStd numeric
@attribute inputWeightDTGMax numeric
@attribute inputWeightDTGAvg numeric
@attribute inputWeightDTGStd numeric
@attribute outputWeightDTGMax numeric
@attribute outputWeightDTGAvg numeric
@attribute outputWeightDTGStd numeric
@attribute no numeric
@attribute file string
@attribute num_relevant_facts numeric
@attribute num_actions numeric
@attribute h_max numeric
@attribute h_ff numeric
@attribute h_ff_ratio numeric
@attribute rp_fact_balance_min numeric
@attribute rp_fact_balance_avg numeric
@attribute rp_fact_balance_var numeric
@attribute rp_goal_balance_min numeric
@attribute rp_goal_balance_avg numeric
@attribute rp_goal_balance_var numeric
@attribute balance_Ratio numeric
@attribute Unbalance_Ratio numeric
@attribute Balance_Distorsion numeric
@attribute Additive numeric
@attribute Blind numeric
@attribute Causal_graph numeric
@attribute Context-enhanced_additive numeric
@attribute FF numeric
@attribute Goal_count numeric
@attribute Landmark_count numeric
@attribute Landmark-cut numeric
@attribute Max numeric
@attribute n_landmarks numeric
@attribute numberEdges numeric
@attribute edVaratioLand numeric
@attribute numberFatherNodes numeric
@attribute numberChildrenNodes numeric
@attribute nodosbetween numeric
@attribute avginput numeric
@attribute maxinput numeric
@attribute stdinput numeric
@attribute avgoutput numeric
@attribute maxoutput numeric
@attribute stdoutput numeric
@attribute blackVariables numeric
@attribute blackRootVariables numeric
@attribute redBlackVariables numeric
@attribute allpairsvaluesconnected numeric
@attribute allvaluesconnectedgoal numeric
@attribute blackstronglpyarents numeric
@attribute Maximaleffectsblack  numeric
@attribute Hred-black numeric
@attribute planner {mercury,siw,jasper,bfs-f,arvand,lamar,fd-autotune-1,fd-autotune-2,fdss-2,lama-2008,lama-2011,lpg,madagascar,madagascar-p,probe,yahsp2-mt}
@attribute class {True,False}

@data
grounded-strips-spider,grounded-strips-spider-1-4-6-4-2-1700,2,1,0,758,1,93,30,12125,0,1,71677,12883,0,12883,71769,0,29822,0,717,0,1455,124,316,12077,201169,717,30, 48129, 778846, 0.0148975, 16.1825, 1086.26, 0.041841, 716, 67.1255, 87.7649, 665, 67.1255, 71.5648, 86875, 1086.26, 5967.34,73220, 1086.26, 4680.46, 428, 5.66248, 39.4703, 6888, 42.2594, 513.369, 8045, 102.457, 698.987, 6888, 42.2594,513.369,1445, 86959, 865877, 0.100429, 0.016617, 1, 5778, 60.5995, 3.31913, 5778, 60.1072, 3.33778, 54425, 547.891,27.0938, 54425,544.444, 3.33778,  1, /home/isabel/ipc2018/opt/spider/p04.pddl, 757, 12125, 17, 91, 5.352941, -23, 0.091149, 1.986982, -2, 1.100000, 0.746101, 37.252285, 35.583584, 3634,5286,1,241,4972,88,30,116,47,17,273,3831,14.033,141,14,118,14.033,124,20.7605,14.033,112,22.4944,?,?,?,?,?,?,?,88,fdss-2, True
spider,spider-2-2-9-6-2-1300,4,6,46,22,1,321,44,16,0,1,129,46198,40568,86766,290420,0,60662,0,707,0,2153,81,1583,43163,621554,704,44, 73979, 1967154, 0.00951621, 26.5907, 2794.25, 0.0625, 703, 104.947, 114.74, 583, 104.947, 101.959, 239783, 2794.25, 15920,196320, 2793.56, 10856.8, 561, 15.544, 80.4137, 15338, 413.503, 2103.92, 13530, 338.017, 1875.84, 15338, 413.503,2103.92,2147, 291459, 2803275, 0.103971, 0.00736639, 1, 12086, 154.338, 49.9351, 12086, 153.868, 49.9313, 68207, 1284.43,322.615, 68207,1281.14, 49.9313,  1, /home/isabel/ipc2018/opt/spider/p13.pddl, 1500, 44229, 17, 161, 9.470589, -49, 0.067333, 2.571925, -1, 1.477273, 0.690475, 55.479416, 88.287598, 8025,5713,1,297,5343,161,44,171,46,17,398,3531,8.87186,202,37,159,8.87186,196,24.7588,8.87186,49,12.3288,?,?,?,?,?,?,?,161,fdss-2, True
organic-synthesis,mit_p03,4,34,23,5,0,38,30,52,0,0,1345,152312,21635,173947,1455141,0,35280,0,32,0,64,0,0,5880,136162,22,6, 499, 676968, 0.0440882, 1356.65, 30771.3, 0.272727, 20, 15.5, 5.96009, 21, 15.5, 3.99716, 74400, 30771.3, 30493.4,52320, 18774.9, 12784.1, 20, 3.77273, 6.95395, 52320, 7250.55, 14217.2, 25152, 2948.73, 7185.86, 52320, 7250.55,14217.2,44, 29, 190, 0.152632, 1.51724, 1, 1, 0.659091, 0, 1, 0.659091, 0, 8, 2.77273,0.508774, 8,2.77273, 0,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,16,1,16,16,5,4,7,2,2,22,56,2.54545,14,5,3,2.54545,7,2.23607,2.54545,11,4.12311,?,?,?,?,?,?,?,3,fdss-2, True
termes,termes-00038-0036-4x3x3-random_towers_4x3_3_1_3,2,3,16,7,0,51,13,7,0,0,52,694,2281,2975,3574,0,94,0,13,0,58,12,56,468,2807,13,12, 73, 1606, 0.178082, 22, 123.538, 0.923077, 12, 5.61538, 2.61765, 12, 5.61538, 2.61765, 350, 123.538, 73.3009,572, 123.538, 180.446, 11, 4.69231, 2.29999, 518, 79.5385, 127.781, 174, 96.6154, 43.3262, 518, 79.5385,127.781,58, 636, 2230, 0.285202, 0.091195, 1, 40, 7.14103, 1.28008, 40, 7.14103, 1.28008, 120, 21.3462,3.84023, 120,21.3462, 1.28008,  1, /home/isabel/ipc2018/opt/termes/p01.pddl, 58, 468, 5, 10, 2.000000, -5, 0.000000, 1.033908, -1, 0.333333, 1.490712, 3.653846, 2.839744, 40,23,1,5,16,11,1,8,7,5,21,25,1.19048,4,11,6,1.19048,5,1,1.19048,10,2.23607,1,0,13,0,0,0,0,11,fdss-2, True
snake,snake-empty-6x7-1-5-16-11455,2,1,43,9,0,169,21,3,0,0,32,21956,1257,23213,109633,0,40873,0,208,0,511,3,101,21405,245622,208,21, 39157, 486000, 0.00531195, 12.4116, 2336.54, 0.100962, 207, 188.255, 8.64066, 207, 188.255, 53.3636, 105985, 2336.54, 9979.69,74581, 2336.54, 7044.93, 203, 20.4183, 60.93, 468, 38.476, 120.89, 3716, 325.923, 987.783, 468, 38.476,120.89,511, 127390, 613390, 0.207682, 0.0040113, 1, 10716, 208.581, 3.55371, 10716, 208.581, 3.55371, 54291, 986.372,15.4224, 54291,986.372, 3.55371,  1, /home/isabel/ipc2018/opt/snake/p16.pddl, 369, 21405, 9, 20, 2.222222, -15, 0.016260, 1.818232, -5, 0.000000, 1.195229, 9.843681, 23.128382, 795,30,1,30,30,19,5,9,9,9,40,44,1.1,20,20,0,1.1,5,1.41421,1.1,9,2.82843,?,?,?,?,?,?,?,20,fdss-2, True
organic-synthesis,mit_p04,4,34,32,5,0,60,48,52,0,0,1345,304,12927,13231,13255,0,64,0,36,0,72,0,0,12,268,14,4, 186, 292, 0.0752688, 1.56989, 20.8571, 0.285714, 9, 5.14286, 3.60272, 7, 5.14286, 1.6413, 48, 20.8571, 18.512,12, 7.14286, 3.64216, 0, 0, 0, 3, 0.857143, 1.35526, 0, 0, 0, 3, 0.857143,1.35526,28, 44, 144, 0.305556, 0.636364, 1, 5, 1.57143, 0.124086, 5, 1.57143, 0.124086, 15, 4.85714,0.372257, 15,4.85714, 0.124086,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,4,1,4,4,2,4,4,2,1,14,16,1.14286,10,4,0,1.14286,2,0,1.14286,4,1.73205,?,?,?,?,?,?,?,2,fdss-2, True
grounded-strips-settlers,grounded-strips-popt-tiny-03-veryeasy,2,1,0,1114,1,407,4,7616,0,1,22983,8730,0,8730,23390,0,11478,0,1028,0,2117,83,238,7616,56825,965,4, 21901, 142440, 0.0440619, 6.50381, 147.606, 0.00414508, 200, 22.1244, 37.6138, 299, 22.1244, 38.2905, 3802, 147.606, 552.776,4291, 146.669, 631.568, 200, 0.250777, 6.48053, 4216, 4.38756, 135.647, 356, 0.427979, 11.5009, 4216, 4.38756,135.647,1987, 26375, 167803, 0.157178, 0.0753365, 1, 261, 13.5379, 0.514524, 261, 13.5379, 0.514524, 821, 41.735,2.78165, 821,41.735, 0.514524,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,51,1,11,143,27,3,11,24,9,31,53,1.70968,20,3,8,1.70968,8,1.73205,1.70968,11,2.82843,?,?,?,?,?,?,?,27,fdss-2, True
grounded-strips-settlers,grounded-strips-popt-small-02-veryeasy,2,1,0,1349,1,436,3,11484,0,1,34607,12833,0,12833,35043,0,17079,0,1188,0,2485,155,424,11484,84407,1117,3, 30586, 186376, 0.03652, 6.09351, 166.854, 0.00268577, 363, 26.6634, 45.0526, 446, 26.6634, 51.7705, 5727, 166.854, 702.672,6630, 165.588, 827.474, 363, 0.330349, 10.857, 6517, 5.83796, 194.907, 702, 0.635631, 20.9955, 6517, 5.83796,194.907,2333, 39444, 224136, 0.175982, 0.0591471, 1, 474, 16.9237, 0.478304, 469, 16.6449, 0.403569, 1557, 59.5474,1.2406, 1547,58.6106, 0.403569,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,20,1,3,20,9,2,4,9,7,12,14,1.16667,8,2,2,1.16667,3,0,1.16667,7,2,?,?,?,?,?,?,?,14,fdss-2, True
grounded-strips-nurikabe,grounded-strips-random-3x3-2,2,1,0,157,1,39,3,588,0,1,1626,630,0,630,1452,0,487,0,94,0,201,108,248,337,2886,80,3, 1069, 3022, 0.0748363, 2.82694, 37.775, 0.0375, 58, 11.85, 12.8968, 66, 11.85, 10.5001, 277, 37.775, 54.2801,396, 34.875, 73.01, 58, 0.7625, 6.44834, 396, 5.0625, 43.9902, 238, 3.025, 26.4405, 396, 5.0625,43.9902,169, 922, 3715, 0.248183, 0.183297, 1, 93, -9000, 0.0552029, 77, -9000, 0.0552029, 236, -9000,0.276015, 207,-9000, 0.0552029,  1, /home/isabel/ipc2018/opt/nurikabe/p01.pddl, 85, 101, 5, 8, 1.600000, -2, 0.000000, 0.685994, 0, 0.000000, 0.000000, 1.178694, 0.168385, 8,?,?,?,?,?,?,?,?,?,17,40,2.35294,7,2,8,2.35294,7,1.73205,2.35294,10,2.64575,?,?,?,?,?,?,?, ?,fdss-2, True
data-network,p8-3-23-tiny-network-3,5,5,51,10,4,223,3,5,0,1,61,1887,4424,6311,9040,0,229,0,49,0,127,3,35,1528,9776,49,3, 241, 6966, 0.20332, 28.9046, 142.163, 0.0612245, 12, 4.91837, 3.14829, 32, 4.91837, 6.16387, 832, 142.163, 169.677,1901, 142.163, 307.043, 2, 0.122449, 0.479483, 1, 0.0612245, 0.239742, 32, 1.46939, 6.25676, 1, 0.0612245,0.239742,127, 2500, 7886, 0.317017, 0.0508, 1, 495, 14.9256, 0.0699708, 467, 14.9256, 0.0699708, 1633, 35.132,0.139942, 1533,35.132, 0.0699708,  1, /home/isabel/ipc2018/opt/data-network/p04.pddl, 105, 1530, 6, 14, 2.333333, -8, 0.028571, 1.064198, 1, 1.000000, 0.000000, 7.181046, 4.373203, 44,26,1,6,26,14,3,6,10,6,19,52,2.73684,11,3,5,2.73684,7,2.23607,2.73684,10,3.60555,2,0,49,0,0,0,1,14,fdss-2, True
