@relation sat-problems

@attribute domain {petri-net-alignment, termes, spider, grounded-strips-spider, snake, settlers, grounded-strips-settlers, organic-synthesis, nurikabe, organic-synthesis-split, grounded-strips-nurikabe, flashfill, grounded-strips-flashfill, data-network, caldera, grounded-strips-caldera, caldera-split, grounded-strips-caldera-split, agricola , '?'}
@attribute task_name string
@attribute requirements numeric
@attribute types numeric
@attribute objects numeric
@attribute predicates numeric
@attribute functions numeric
@attribute init numeric
@attribute goal numeric
@attribute actions numeric
@attribute axioms numeric
@attribute use_min_cost_metric numeric
@attribute generated_rules numeric
@attribute relevant_atoms numeric
@attribute auxiliary_atoms numeric
@attribute final_queue_length numeric
@attribute total_queue_pushes numeric
@attribute implied_effects_removed numeric
@attribute effect_conditions_simplified numeric
@attribute implied_preconditions_added numeric
@attribute translator_variables numeric
@attribute translator_derived_variables numeric
@attribute translator_facts numeric
@attribute translator_mutex_groups numeric
@attribute translator_total_mutex_groups_size numeric
@attribute translator_operators numeric
@attribute translator_task_size numeric
@attribute numberVariablesCG numeric
@attribute highLevelVariablesCG numeric
@attribute totalEdgesCG numeric
@attribute totalWeightCG numeric
@attribute veRatio numeric
@attribute weRatio numeric
@attribute wvRatio numeric
@attribute hvRatio numeric
@attribute inputEdgeCGMax numeric
@attribute inputEdgeCGAvg numeric
@attribute inputEdgeCGStd numeric
@attribute outputEdgeCGMax numeric
@attribute outputEdgeCGAvg numeric
@attribute outputEdgeCGStd numeric
@attribute inputWeightCGMax numeric
@attribute inputWeightCGAvg numeric
@attribute inputWeightCGStd numeric
@attribute outputWeightCGMax numeric
@attribute outputWeightCGAvg numeric
@attribute outputWeightCGStd numeric
@attribute inputEdgeHVMax numeric
@attribute inputEdgeHVAvg numeric
@attribute inputEdgeHVStd numeric
@attribute outputEdgeHVMax numeric
@attribute outputEdgeHVAvg numeric
@attribute outputEdgeHVStd numeric
@attribute inputWeightHVMax numeric
@attribute inputWeightHVAvg numeric
@attribute inputWeightHVStd numeric
@attribute outputWeightHVMax numeric
@attribute outputWeightHVAvg numeric
@attribute outputWeightHVStd numeric
@attribute numberVariablesDTG numeric
@attribute totalEdgesDTG numeric
@attribute totalWeigthDTG numeric
@attribute edVaRatioDTG numeric
@attribute weEdRatioDTG numeric
@attribute weVaRatioDTG numeric
@attribute inputEdgeDTGMax numeric
@attribute inputEdgeDTGAvg numeric
@attribute inputEdgeDTGStd numeric
@attribute outputEdgeDTGMax numeric
@attribute outputEdgeDTGAvg numeric
@attribute outputEdgeDTGStd numeric
@attribute inputWeightDTGMax numeric
@attribute inputWeightDTGAvg numeric
@attribute inputWeightDTGStd numeric
@attribute outputWeightDTGMax numeric
@attribute outputWeightDTGAvg numeric
@attribute outputWeightDTGStd numeric
@attribute no numeric
@attribute file string
@attribute num_relevant_facts numeric
@attribute num_actions numeric
@attribute h_max numeric
@attribute h_ff numeric
@attribute h_ff_ratio numeric
@attribute rp_fact_balance_min numeric
@attribute rp_fact_balance_avg numeric
@attribute rp_fact_balance_var numeric
@attribute rp_goal_balance_min numeric
@attribute rp_goal_balance_avg numeric
@attribute rp_goal_balance_var numeric
@attribute balance_Ratio numeric
@attribute Unbalance_Ratio numeric
@attribute Balance_Distorsion numeric
@attribute Additive numeric
@attribute Blind numeric
@attribute Causal_graph numeric
@attribute Context-enhanced_additive numeric
@attribute FF numeric
@attribute Goal_count numeric
@attribute Landmark_count numeric
@attribute Landmark-cut numeric
@attribute Max numeric
@attribute n_landmarks numeric
@attribute numberEdges numeric
@attribute edVaratioLand numeric
@attribute numberFatherNodes numeric
@attribute numberChildrenNodes numeric
@attribute nodosbetween numeric
@attribute avginput numeric
@attribute maxinput numeric
@attribute stdinput numeric
@attribute avgoutput numeric
@attribute maxoutput numeric
@attribute stdoutput numeric
@attribute blackVariables numeric
@attribute blackRootVariables numeric
@attribute redBlackVariables numeric
@attribute allpairsvaluesconnected numeric
@attribute allvaluesconnectedgoal numeric
@attribute blackstronglpyarents numeric
@attribute Maximaleffectsblack  numeric
@attribute Hred-black numeric
@attribute planner {mercury,siw,jasper,bfs-f,arvand,lamar,fd-autotune-1,fd-autotune-2,fdss-2,lama-2008,lama-2011,lpg,madagascar,madagascar-p,probe,yahsp2-mt}
@attribute class {True,False}

@data
petri-net-alignment,align,2,3,599,4,1,4,268,925,0,1,2557,3323,0,3323,4357,0,901,0,269,0,868,1,332,925,6825,269,268, 1108, 3123, 0.24278, 2.81859, 11.6097, 0.996283, 213, 4.11896, 12.792, 267, 4.11896, 18.3119, 993, 11.6097, 63.2502,969, 11.6097, 70.9188, 213, 4.11524, 12.7931, 662, 8.00743, 40.1195, 993, 10.3792, 60.1694, 662, 8.00743,40.1195,867, 2430, 5492, 0.442462, 0.35679, 1, 380, 3.29368, 0.121489, 380, 3.29368, 0.121489, 1092, 7.28809,0.242978, 1092,7.28809, 0.121489,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,5061,1,336,5061,448,3,452,346,331,726,60609,83.4835,117,158,451,83.4835,331,101.435,83.4835,331,101.538,10,0,269,0,0,0,4,448,fdss-2, True
agricola,opt04-4-4,3,19,81,33,2,258,1,22,0,1,258,30078,1468,31546,112463,0,31791,0,109,0,242,6,36,29439,322983,103,1, 1299, 607950, 0.0792918, 468.014, 5902.43, 0.00970874, 73, 12.0874, 14.0375, 51, 12.0874, 10.4129, 106500, 5902.43, 16483.4,138660, 4643.1, 19508.7, 11, 0.106796, 1.07859, 8, 0.0776699, 0.784428, 20, 0.194175, 1.96107, 8, 0.0776699,0.784428,230, 46390, 271153, 0.171084, 0.00495797, 1, 6185, 136.598, 0.195153, 6265, 134.437, 0.195153, 34720, 570.115,0.390305, 35332,562.407, 0.195153,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,628,1,8,628,29,1,30,28,28,63,485,7.69841,33,1,29,7.69841,29,8.77496,7.69841,37,10,?,?,?,?,?,?,?,29,fdss-2, True
agricola,opt05-4-5,3,19,83,33,2,263,1,22,0,1,258,48835,1550,50385,182707,0,51815,0,110,0,250,7,44,48179,541596,104,1, 1324, 1049030, 0.0785498, 792.319, 10086.8, 0.00961538, 74, 12.25, 14.2726, 52, 12.25, 10.4741, 177708, 10086.8, 27525.1,247572, 7904.97, 33881.6, 12, 0.115385, 1.17103, 8, 0.0769231, 0.780684, 20, 0.192308, 1.95171, 8, 0.0769231,0.780684,238, 74041, 451583, 0.163959, 0.00321444, 1, 10206, 209.238, 0.19423, 10386, 207.036, 0.19423, 55168, 907.887,0.388461, 56368,900.012, 0.19423,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,652,1,8,756,32,1,30,29,28,63,485,7.69841,33,1,29,7.69841,29,8.77496,7.69841,37,10,?,?,?,?,?,?,?,32,fdss-2, True
grounded-strips-caldera,grounded-strips-p3_hosts_trial_8,2,1,0,881,1,197,3,8047,0,1,34975,6498,0,6498,20771,0,2163,0,481,0,969,77,154,3307,47647,385,3, 18447, 241117, 0.0208706, 13.0708, 626.278, 0.00779221, 318, 41.9896, 39.4984, 302, 41.9896, 34.8984, 11219, 626.278, 1196.8,4218, 508.834, 913.453, 318, 1.17662, 16.8803, 3496, 16.0623, 202.166, 11219, 33.1195, 573.477, 3496, 16.0623,202.166,777, 7105, 117858, 0.0602844, 0.10936, 1, 348, 9.02468, 1.39789, 348, 9.02468, 1.39789, 3236, 40.6567,56.246, 3236,40.6567, 1.39789,  1, /home/isabel/ipc2018/opt/caldera/p06.pddl, 454, 5386, 9, 14, 1.555556, -1, 0.277533, 0.923304, 0, 0.000000, 0.000000, 0.000000, 0.000000, 0,5604,1,50,5604,17,2,8,13,9,32,97,3.03125,11,2,19,3.03125,18,4.24264,3.03125,21,4.12311,?,?,?,?,?,?,?,18,fdss-2, True
grounded-strips-caldera,grounded-strips-p4_hosts_trial_1,2,1,0,1013,1,19,4,5089,0,1,27053,6102,0,6102,27071,0,4272,0,1003,0,2015,114,228,4861,77230,936,4, 28861, 270636, 0.0324313, 9.37722, 289.141, 0.0042735, 934, 27.9893, 69.0879, 877, 27.9893, 52.7578, 15231, 289.141, 1232.25,12780, 229.906, 802.208, 934, 1.3985, 31.3079, 12780, 19.2906, 434.268, 15231, 20.1068, 504.032, 12780, 19.2906,434.268,1881, 13982, 109415, 0.127789, 0.13453, 1, 1496, 7.40278, 0.163256, 1496, 7.375, 0.163256, 18101, 52.8761,182.356, 18101,52.5085, 0.163256,  1, /home/isabel/ipc2018/opt/caldera/p10.pddl, 222, 2737, 5, 15, 3.000000, -3, 0.477477, 1.016502, 1, 1.000000, 0.000000, 0.728900, 0.078919, 10,2097,1,78,2097,15,3,16,9,5,47,128,2.7234,20,6,21,2.7234,21,3.4641,2.7234,19,4.69042,?,?,?,?,?,?,?,16,fdss-2, True
agricola,opt11-6-5,3,19,88,33,2,274,1,22,0,1,258,65188,1733,66921,243942,0,70328,0,127,0,286,7,46,64487,718321,122,1, 1754, 1377830, 0.0695553, 785.536, 11293.7, 0.00819672, 84, 13.8033, 15.3776, 64, 13.8033, 12.0236, 233079, 11293.7, 32938.1,309465, 8968.3, 40151.4, 15, 0.122951, 1.35246, 14, 0.114754, 1.2623, 30, 0.245902, 2.70492, 14, 0.114754,1.2623,276, 104129, 619881, 0.167982, 0.00265056, 1, 13402, 251.877, 0.224484, 13627, 249.103, 0.224484, 72648, 1043.24,0.493865, 74145,1033.44, 0.224484,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,2668,1,8,3084,40,1,40,37,36,81,838,10.3457,41,1,39,10.3457,39,12.083,10.3457,47,13.1909,?,?,?,?,?,?,?,40,fdss-2, True
petri-net-alignment,align,2,3,658,4,1,4,268,1043,0,1,2911,3677,0,3677,4888,0,960,0,269,0,927,1,391,1043,7592,269,268, 1121, 3536, 0.239964, 3.15433, 13.145, 0.996283, 223, 4.16729, 13.3975, 267, 4.16729, 18.3973, 1170, 13.145, 74.5482,1087, 13.145, 80.8516, 223, 4.16357, 13.3985, 780, 9.10409, 47.2699, 1170, 11.6952, 70.9086, 780, 9.10409,47.2699,926, 2726, 6202, 0.439536, 0.339692, 1, 460, 3.62454, 0.121489, 460, 3.62454, 0.121489, 1317, 8.05938,0.242978, 1317,8.05938, 0.121489,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,5120,1,395,5120,507,3,511,399,390,785,81909,104.343,117,158,510,104.343,390,122.029,104.343,390,122.107,10,0,269,0,0,0,4,507,fdss-2, True
agricola,opt20-9-5,3,19,94,33,2,286,1,22,0,1,258,85468,1934,87402,319797,0,93947,0,148,0,331,7,49,84713,933076,143,1, 2351, 1767761, 0.0608252, 751.919, 12362, 0.00699301, 96, 15.8951, 17.3837, 79, 15.8951, 13.3609, 298482, 12362, 38372.6,379640, 9980.7, 46245.4, 22, 0.153846, 1.83329, 20, 0.13986, 1.66663, 45, 0.314685, 3.74991, 20, 0.13986,1.66663,321, 144886, 839176, 0.172653, 0.00221553, 1, 20720, 302.663, 0.166079, 20990, 300.736, 0.166079, 106348, 1277.74,0.456717, 108238,1270.83, 0.166079,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,20716,1,8,20716,49,1,55,48,48,108,1557,14.4167,53,1,54,14.4167,54,17.0294,14.4167,62,18.0278,?,?,?,?,?,?,?,49,fdss-2, True
petri-net-alignment,align,2,3,604,4,1,4,268,935,0,1,2587,3353,0,3353,4402,0,906,0,269,0,873,1,337,935,6890,269,268, 1138, 3158, 0.23638, 2.77504, 11.7398, 0.996283, 232, 4.23048, 13.9409, 267, 4.23048, 18.6336, 1008, 11.7398, 64.191,979, 11.7398, 71.7445, 232, 4.22677, 13.9419, 672, 8.10037, 40.7001, 1008, 10.4907, 61.062, 672, 8.10037,40.7001,872, 2454, 5550, 0.442162, 0.355338, 1, 383, 3.3197, 0.0911166, 383, 3.3197, 0.0911166, 1105, 7.34948,0.182233, 1105,7.34948, 0.0911166,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,5066,1,341,5066,453,3,457,348,336,731,62279,85.197,117,158,456,85.197,336,103.175,85.197,336,103.276,10,0,269,0,0,0,4,453,fdss-2, True
agricola,opt14-7-5,3,19,90,33,2,278,1,22,0,1,258,71592,1800,73392,267901,0,77737,0,134,0,301,7,47,70873,784532,129,1, 1943, 1496493, 0.0663922, 770.197, 11600.7, 0.00775194, 88, 14.4729, 15.9394, 69, 14.4729, 12.4931, 253968, 11600.7, 34730.7,328176, 9254.67, 42037.9, 17, 0.131783, 1.49095, 16, 0.124031, 1.40325, 35, 0.271318, 3.06961, 16, 0.124031,1.40325,291, 116744, 687780, 0.16974, 0.00249263, 1, 15808, 266.956, 0.174725, 16048, 264.021, 0.174725, 82272, 1084.89,0.436813, 83952,1074.6, 0.174725,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,5228,1,8,5484,42,1,45,40,40,89,1047,11.764,44,1,44,11.764,44,13.784,11.764,51,14.7986,?,?,?,?,?,?,?,42,fdss-2, True
