@relation problem-to-evaluate2019-03-0816:00:53

@attribute domain {termes, spider, grounded-strips-spider, snake, settlers, grounded-strips-settlers, organic-synthesis, nurikabe, organic-synthesis-split, grounded-strips-nurikabe, flashfill, grounded-strips-flashfill, data-network, caldera, grounded-strips-caldera, caldera-split, grounded-strips-caldera-split, agricola , '?'}
@attribute task_name string
@attribute requirements numeric
@attribute types numeric
@attribute objects numeric
@attribute predicates numeric
@attribute functions numeric
@attribute init numeric
@attribute goal numeric
@attribute actions numeric
@attribute axioms numeric
@attribute use_min_cost_metric numeric
@attribute generated_rules numeric
@attribute relevant_atoms numeric
@attribute auxiliary_atoms numeric
@attribute final_queue_length numeric
@attribute total_queue_pushes numeric
@attribute implied_effects_removed numeric
@attribute effect_conditions_simplified numeric
@attribute implied_preconditions_added numeric
@attribute translator_variables numeric
@attribute translator_derived_variables numeric
@attribute translator_facts numeric
@attribute translator_mutex_groups numeric
@attribute translator_total_mutex_groups_size numeric
@attribute translator_operators numeric
@attribute translator_task_size numeric
@attribute numberVariablesCG numeric
@attribute highLevelVariablesCG numeric
@attribute totalEdgesCG numeric
@attribute totalWeightCG numeric
@attribute veRatio numeric
@attribute weRatio numeric
@attribute wvRatio numeric
@attribute hvRatio numeric
@attribute inputEdgeCGMax numeric
@attribute inputEdgeCGAvg numeric
@attribute inputEdgeCGStd numeric
@attribute outputEdgeCGMax numeric
@attribute outputEdgeCGAvg numeric
@attribute outputEdgeCGStd numeric
@attribute inputWeightCGMax numeric
@attribute inputWeightCGAvg numeric
@attribute inputWeightCGStd numeric
@attribute outputWeightCGMax numeric
@attribute outputWeightCGAvg numeric
@attribute outputWeightCGStd numeric
@attribute inputEdgeHVMax numeric
@attribute inputEdgeHVAvg numeric
@attribute inputEdgeHVStd numeric
@attribute outputEdgeHVMax numeric
@attribute outputEdgeHVAvg numeric
@attribute outputEdgeHVStd numeric
@attribute inputWeightHVMax numeric
@attribute inputWeightHVAvg numeric
@attribute inputWeightHVStd numeric
@attribute outputWeightHVMax numeric
@attribute outputWeightHVAvg numeric
@attribute outputWeightHVStd numeric
@attribute numberVariablesDTG numeric
@attribute totalEdgesDTG numeric
@attribute totalWeigthDTG numeric
@attribute edVaRatioDTG numeric
@attribute weEdRatioDTG numeric
@attribute weVaRatioDTG numeric
@attribute inputEdgeDTGMax numeric
@attribute inputEdgeDTGAvg numeric
@attribute inputEdgeDTGStd numeric
@attribute outputEdgeDTGMax numeric
@attribute outputEdgeDTGAvg numeric
@attribute outputEdgeDTGStd numeric
@attribute inputWeightDTGMax numeric
@attribute inputWeightDTGAvg numeric
@attribute inputWeightDTGStd numeric
@attribute outputWeightDTGMax numeric
@attribute outputWeightDTGAvg numeric
@attribute outputWeightDTGStd numeric
@attribute no numeric
@attribute file string
@attribute num_relevant_facts numeric
@attribute num_actions numeric
@attribute h_max numeric
@attribute h_ff numeric
@attribute h_ff_ratio numeric
@attribute rp_fact_balance_min numeric
@attribute rp_fact_balance_avg numeric
@attribute rp_fact_balance_var numeric
@attribute rp_goal_balance_min numeric
@attribute rp_goal_balance_avg numeric
@attribute rp_goal_balance_var numeric
@attribute balance_Ratio numeric
@attribute Unbalance_Ratio numeric
@attribute Balance_Distorsion numeric
@attribute Additive numeric
@attribute Blind numeric
@attribute Causal_graph numeric
@attribute Context-enhanced_additive numeric
@attribute FF numeric
@attribute Goal_count numeric
@attribute Landmark_count numeric
@attribute Landmark-cut numeric
@attribute Max numeric
@attribute n_landmarks numeric
@attribute numberEdges numeric
@attribute edVaratioLand numeric
@attribute numberFatherNodes numeric
@attribute numberChildrenNodes numeric
@attribute nodosbetween numeric
@attribute avginput numeric
@attribute maxinput numeric
@attribute stdinput numeric
@attribute avgoutput numeric
@attribute maxoutput numeric
@attribute stdoutput numeric
@attribute blackVariables numeric
@attribute blackRootVariables numeric
@attribute redBlackVariables numeric
@attribute allpairsvaluesconnected numeric
@attribute allvaluesconnectedgoal numeric
@attribute blackstronglpyarents numeric
@attribute Maximaleffectsblack  numeric
@attribute Hred-black numeric
@attribute planner {mercury,siw,jasper,bfs-f,arvand,lamar,fd-autotune-1,fd-autotune-2,fdss-2,lama-2008,lama-2011,lpg,madagascar,madagascar-p,probe,yahsp2-mt}
@attribute class {True,False}

@data
agricola,sat21-3-10,3,19,96,33,2,410,1,22,0,1,258,247776,2324,250100,920610,0,266095,0,105,0,305,12,119,246879,2777047,99,1, 1220, 5412485, 0.0811475, 4436.46, 54671.6, 0.010101, 73, 11.8586, 14.7744, 52, 11.8586, 9.77113, 930298, 54671.6, 147538,1.33201e+06, 42642.8, 181217, 9, 0.0909091, 0.899954, 6, 0.0606061, 0.599969, 15, 0.151515, 1.49992, 6, 0.0606061,0.599969,293, 351746, 2214615, 0.158829, 0.000832987, 1, 67873, 926.563, 2046.34, 68673, 925.881, 2073.45, 393101, 4544.19,11926.9, 398701,4542.14, 2073.45,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,304,1,8,304,25,1,25,24,24,53,341,6.43396,28,1,24,6.43396,24,7.14143,6.43396,31,8.42615,?,?,?,?,?,?,?,25,fdss-2, True
agricola,sat22-4-10,3,19,99,33,2,417,1,22,0,1,258,299043,2422,301465,1112216,0,321615,0,115,0,326,12,120,298119,3310533,109,1, 1437, 6337350, 0.0758525, 4410.13, 58140.8, 0.00917431, 79, 12.6881, 15.4068, 54, 12.6881, 10.7411, 1.12271e+06, 58140.8, 168449,1.55785e+06, 45654.7, 200661, 11, 0.100917, 1.04876, 8, 0.0733945, 0.762738, 20, 0.183486, 1.90684, 8, 0.0733945,0.762738,314, 427558, 2628649, 0.162653, 0.000734403, 1, 79205, 1026.19, 1221.62, 80165, 1025.32, 1241.02, 460361, 4974.83,7486.96, 467081,4972.25, 1241.02,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,636,1,8,668,30,1,30,28,28,63,487,7.73016,33,1,29,7.73016,29,8.77496,7.73016,37,10,?,?,?,?,?,?,?,30,fdss-2, True
agricola,sat23-5-10,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,120,1, 1704, 7783605, 0.0704225, 4567.84, 64863.4, 0.00833333, 85, 13.7167, 16.0381, 59, 13.7167, 11.7546, 1.32419e+06, 64863.4, 190541,1.89687e+06, 50970.1, 235097, 14, 0.116667, 1.27268, 12, 0.1, 1.09087, 25, 0.208333, 2.27265, 12, 0.1,1.09087,337, 511158, 3209548, 0.159262, 0.000659287, 1, 87358, 1121.51, 2512.4, 88478, 1120.38, 2548.19, 502792, 5269.62,14597, 510632,5266.09, 2548.19,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,1292,1,8,1356,34,1,35,32,32,72,651,9.04167,37,1,34,9.04167,34,10.4403,9.04167,42,11.5758,?,?,?,?,?,?,?,34,fdss-2, True
agricola,sat24-6-10,3,19,104,33,2,428,1,22,0,1,258,381601,2605,384206,1423849,0,411874,0,132,0,362,12,122,380632,4218213,127,1, 1882, 8059126, 0.0674814, 4282.21, 63457.7, 0.00787402, 89, 14.3307, 16.4862, 63, 14.3307, 12.1591, 1.4306e+06, 63457.7, 198256,1.94732e+06, 50062, 234585, 16, 0.125984, 1.41417, 14, 0.110236, 1.2374, 30, 0.23622, 2.65157, 14, 0.110236,1.2374,352, 557842, 3396453, 0.164243, 0.000631003, 1, 89421, 1160.71, 0.0440185, 90621, 1159.51, 0.0440185, 518059, 5442.82,0.0880369, 526459,5439.2, 0.0440185,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,2668,1,8,3084,40,1,40,37,36,81,838,10.3457,41,1,39,10.3457,39,12.083,10.3457,47,13.1909,?,?,?,?,?,?,?,40,fdss-2, True
agricola,sat25-7-10,3,19,106,33,2,432,1,22,0,1,258,410900,2672,413572,1535338,0,444153,0,139,0,377,12,123,409913,4629329,134,1, 2076, 9026509, 0.0645472, 4348.03, 67362, 0.00746269, 93, 14.9851, 17.0061, 69, 14.9851, 12.6503, 1.53928e+06, 67362, 208988,2.16786e+06, 53142.4, 256187, 18, 0.134328, 1.54915, 16, 0.119403, 1.37702, 35, 0.261194, 3.01224, 16, 0.119403,1.37702,367, 606478, 3773486, 0.160721, 0.000605133, 1, 90682, 1200.85, 0, 91962, 1199.47, 0, 526402, 5381.38,0, 535362,5377.23, 0,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,5356,1,8,6188,44,1,45,41,40,90,1050,11.6667,45,1,44,11.6667,44,13.7477,11.6667,52,14.7986,?,?,?,?,?,?,?,44,fdss-2, True
agricola,sat26-8-10,3,19,108,33,2,436,1,22,0,1,258,440865,2739,443604,1649677,0,477254,0,146,0,392,12,124,439860,4865689,141,1, 2278, 9279594, 0.0618964, 4073.57, 65812.7, 0.0070922, 97, 15.6454, 17.6125, 73, 15.6454, 13.0521, 1.65023e+06, 65812.7, 216262,2.20696e+06, 52137.9, 254336, 20, 0.141844, 1.67832, 18, 0.12766, 1.51049, 40, 0.283688, 3.35664, 18, 0.12766,1.51049,382, 657066, 3966787, 0.165642, 0.000581372, 1, 91141, 1241.24, 2724.69, 92501, 1239.68, 2766.12, 533401, 5593.09,15877.6, 542921,5588.4, 2766.12,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,10348,1,8,10348,45,1,50,44,44,99,1289,13.0202,49,1,49,13.0202,49,15.3948,13.0202,57,16.4012,?,?,?,?,?,?,?,45,fdss-2, True
agricola,sat27-9-10,3,19,110,33,2,440,1,22,0,1,258,471496,2806,474302,1766866,0,511177,0,153,0,407,12,125,470473,5301513,148,1, 2496, 10315261, 0.0592949, 4132.72, 69697.7, 0.00675676, 101, 16.3378, 18.2851, 79, 16.3378, 13.536, 1.76344e+06, 69697.7, 226940,2.43884e+06, 55213.4, 276390, 22, 0.148649, 1.80227, 20, 0.135135, 1.63843, 45, 0.304054, 3.68646, 20, 0.135135,1.63843,397, 709606, 4374336, 0.16222, 0.000559465, 1, 93726, 1280.01, 2810.45, 95166, 1280.01, 2853.51, 547756, 5627.04,16240.6, 557836,5627.04, 2853.51,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,21228,1,8,23532,51,1,55,49,48,108,1555,14.3981,53,1,54,14.3981,54,17.0294,14.3981,62,18.0278,?,?,?,?,?,?,?,51,fdss-2, True
agricola,sat28-10-10,3,19,112,33,2,444,1,22,0,1,258,502793,2873,505666,1886905,0,545922,0,160,0,422,12,126,501752,5649341,155,1, 2723, 10978540, 0.0569225, 4031.78, 70829.3, 0.00645161, 105, 16.9613, 18.9906, 84, 16.9613, 13.9999, 1.87892e+06, 70829.3, 235769,2.57604e+06, 56230.4, 286319, 23, 0.148387, 1.84144, 22, 0.141935, 1.76137, 50, 0.322581, 4.00312, 22, 0.141935,1.76137,412, 764089, 4683435, 0.163147, 0.000539204, 1, 101841, 1322.32, 2905.83, 103361, 1320.41, 2949.99, 585376, 5789.47,16444.3, 596016,5783.76, 2949.99,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,42476,1,8,47084,55,1,60,53,52,117,1844,15.7607,57,1,59,15.7607,59,18.6815,15.7607,67,19.6723,?,?,?,?,?,?,?,55,fdss-2, True
agricola,sat29-11-10,3,19,114,33,2,448,1,22,0,1,258,534756,2940,537696,2009794,0,581489,0,167,0,437,12,127,533697,6000433,162,1, 2964, 11649861, 0.0546559, 3930.45, 71912.7, 0.00617284, 109, 17.679, 19.7923, 89, 17.679, 14.4678, 1.99668e+06, 71912.7, 244526,2.70982e+06, 57209.2, 295907, 25, 0.154321, 1.95811, 24, 0.148148, 1.87979, 55, 0.339506, 4.30785, 24, 0.148148,1.87979,427, 820532, 5012056, 0.163712, 0.000520394, 1, 100536, 1362.97, 2060.95, 102136, 1360.89, 2089.95, 575744, 5849.39,11431.2, 586944,5843.18, 2089.95,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,84972,1,8,94188,59,1,65,57,56,126,2156,17.1111,61,1,64,17.1111,64,20.347,17.1111,72,21.3073,?,?,?,?,?,?,?,59,fdss-2, True
agricola,sat30-12-10,3,19,116,33,2,452,1,22,0,1,258,567385,3007,570392,2135533,0,617878,0,174,0,452,12,128,566308,6240849,169,1, 3214, 11858074, 0.0525825, 3689.51, 70166.1, 0.00591716, 113, 18.3964, 20.6605, 93, 18.3964, 14.8668, 2.1167e+06, 70166.1, 251161,2.72624e+06, 56071.1, 291831, 27, 0.159763, 2.07077, 26, 0.153846, 1.99407, 60, 0.35503, 4.60171, 26, 0.153846,1.99407,442, 878927, 5218145, 0.168437, 0.000502886, 1, 109771, 1403.62, 3071.11, 111439, 1401.39, 3117.91, 600011, 5971.22,16938.2, 611735,5964.51, 3117.91,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,169964,1,8,188396,63,1,70,61,60,135,2495,18.4815,65,1,69,18.4815,69,22,18.4815,77,22.9347,?,?,?,?,?,?,?,63,fdss-2, True
