domain, requirements, types, objects, predicates, functions, init, goal, actions, use_min_cost_metric, generated_rules, relevant_atoms, auxiliary_atoms, final_queue_length, total_queue_pushes, effect_conditions_simplified, translator_variables, translator_facts, translator_mutex_groups, translator_total_mutex_groups_size, translator_operators, translator_task_size, numberVariablesCG, highLevelVariablesCG, totalEdgesCG, totalWeightCG, veRatio, weRatio, wvRatio, hvRatio, inputEdgeCGMax, inputEdgeCGAvg, inputEdgeCGStd, outputEdgeCGMax, outputEdgeCGAvg, outputEdgeCGStd, inputWeightCGMax, inputWeightCGAvg, inputWeightCGStd, outputWeightCGMax, outputWeightCGAvg, outputWeightCGStd, inputEdgeHVMax, inputEdgeHVAvg, inputEdgeHVStd, outputEdgeHVMax, outputEdgeHVAvg, outputEdgeHVStd, inputWeightHVMax, inputWeightHVAvg, inputWeightHVStd, outputWeightHVMax, outputWeightHVAvg, outputWeightHVStd, numberVariablesDTG, totalEdgesDTG, totalWeigthDTG, edVaRatioDTG, weEdRatioDTG, inputEdgeDTGMax, inputEdgeDTGAvg, inputEdgeDTGStd, outputEdgeDTGMax, outputEdgeDTGAvg, outputEdgeDTGStd, inputWeightDTGMax, inputWeightDTGAvg, inputWeightDTGStd, outputWeightDTGMax, outputWeightDTGAvg, outputWeightDTGStd, num_relevant_facts, num_actions, h_max, h_ff, h_ff_ratio, rp_fact_balance_min, rp_fact_balance_avg, rp_fact_balance_var, rp_goal_balance_min, rp_goal_balance_avg, rp_goal_balance_var, balance_Ratio, Unbalance_Ratio, Balance_Distorsion, Additive, Causal_graph, Context-enhanced_additive, FF, Goal_count, Landmark_count, Landmark-cut, Max, n_landmarks, numberEdges, edVaratioLand, numberFatherNodes, numberChildrenNodes, nodosbetween, avginput, maxinput, stdinput, avgoutput, maxoutput, stdoutput, blackVariables, blackRootVariables, redBlackVariables, allpairsvaluesconnected, allvaluesconnectedgoal, blackstronglpyarents, Maximaleffectsblack, Hred-black
nurikabe,2,4,99,13,0,388,11,4,0,39,11254,2779,14033,213672,17853,661,1433,13,137,9242,202206,661,11,10668,484952,0.061961,45.4586,733.664,0.016642,655,16.1392,48.3479,169,16.1392,19.7881,91881,733.664,4932.5,36216,733.664,1692.61,0,0,0,2,0.033283,0.255848,0,0,0,2,0.033283,0.255848,1423,91925,576877,0.159349,0.01548,9155,-9000,0.019418,9165,-9000,0.019418,63088,-9000,0.135928,63108,-9000,0.019418,2264,9242,19,79,4.157895,-6,0,0.490186,0,0,0,6.290025,3.27123,363,?,?,?,?,?,?,?,?,111,318,2.86486,43,11,57,2.86486,44,4.58258,2.86486,14,3.16228,?,?,?,?,?,?,?,?
spider,4,6,56,22,1,394,54,16,1,129,107306,88431,195737,649751,150531,1038,3238,99,2455,102685,1428936,1036,54,153282,4392715,0.006759,28.6577,4240.07,0.052124,1035,147.861,162.148,890,147.861,158.928,555643,4240.07,29450.2,421568,4239.52,19193.9,861,20.0666,114.956,25168,601.189,3301.04,24898,532.479,3233.41,25168,601.189,3301.04,3234,698447,6600338,0.10582,0.00463,26702,245.124,77.7457,26702,244.65,77.7426,148470,2066.41,512.443,148470,2063.09,77.7426,2266,104459,23,189,8.217391,-57,0.052957,2.378341,-1,1.37037,0.617531,46.999485,91.474701,16480,10201,374,8947,206,54,211,58,23,487,4883,10.0267,246,46,195,10.0267,239,27.6767,10.0267,71,15.2971,?,?,?,?,?,?,?,205
organic-synthesis-split,3,34,76,1237,1,140,41,1252,1,6310,342989,504271,847260,1323888,521414,5447,10894,0,0,329307,2274323,5079,41,480998,2289271,0.010559,4.75942,450.733,0.008072,1488,93.7031,146.996,2716,93.7031,146.873,35842,450.733,1025.41,24500,444.235,1622.73,905,0.688521,14.3232,23964,5.31916,336.295,35842,7.90569,503.021,23964,5.31916,336.295,10158,884662,3031795,0.291795,0.011482,5955,87.0902,8.62781,5955,87.0902,8.62781,22353,328.815,33.5713,22353,328.815,8.62781,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,83,302,3.63855,9,40,34,3.63855,10,3.87298,3.63855,38,9.43398,?,?,?,?,?,?,?,123
grounded-strips-caldera-split,2,1,0,1703,1,52,10,15412,1,77525,16563,0,16563,71096,36736,1678,3356,0,0,14872,201049,1482,10,36484,539060,0.040621,14.7752,363.738,0.006748,1474,21.4278,62.7719,971,21.4278,44.9449,79885,363.738,2447.01,31399,327.944,1652.35,1474,1.18623,38.591,28139,22.8279,744.91,79885,61.6619,2094.36,28139,22.8279,744.91,2964,61686,384664,0.160363,0.04805,3158,20.8117,0.947492,3158,20.8117,0.947492,16407,85.2783,44.3374,16407,85.2783,0.947492,854,11407,17,46,2.705882,-12,0.106557,1.477903,0,2,5.656854,0.375088,0.509132,1501,1822312,152,1822312,64,8,35,26,17,81,563,6.95062,25,8,48,6.95062,44,10.0499,6.95062,31,9.05539,?,?,?,?,?,?,?,71
flashfill,5,9,25,153,1,24,1,378,1,3187,18433,9924,28357,191018,4644,1622,3252,58,119,16686,224916,1621,1,17100,317457,0.094795,18.5647,195.84,0.000617,1620,10.5157,68.6907,1395,10.5157,44.1843,66118,195.84,2045.82,9990,118.869,512.723,0,0,0,60,0.037014,1.48979,0,0,0,60,0.037014,1.48979,3250,14308,88075,0.162452,0.227146,2818,4.40705,0.074467,2818,4.40705,0.074467,12691,19.8395,0.3351,12691,19.8395,0.074467,?,?,?,?,?,?,?,?,?,?,?,?,?,?,864,22,864,37,1,28,23,13,68,176,2.58824,46,1,21,2.58824,22,4.24264,2.58824,49,6.40312,?,?,?,?,?,?,?,36
agricola,3,19,94,33,2,287,2,22,1,258,113066,1949,115015,422772,123076,142,326,8,58,112310,1249768,137,2,2168,2396710,0.063192,1105.49,17494.2,0.014599,93,15.292,16.8294,74,15.292,12.9379,407711,17494.2,53952.7,538611,13974.3,65394.4,93,0.824818,8.08522,204,1.62044,17.4214,407711,2976.28,34705.7,204,1.62044,17.4214,316,182320,1086689,0.167776,0.001733,23544,388.268,1.68142,23952,386.607,1.68142,127608,1613.79,4.60879,130464,1608.8,1.68142,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10780,17,12465,56,2,59,45,44,115,1422,12.3652,56,2,57,12.3652,54,15.6205,12.3652,58,16.0312,?,?,?,?,?,?,?,55
settlers,3,19,170,50,1,728,7,28,1,446,3964,13367,17331,243428,32314,2018,4064,16,60,738,136079,1824,7,41284,243404,0.044182,5.89584,133.445,0.003838,1302,21.5784,98.2911,93,21.5784,12.1782,14152,133.445,739.682,996,130.029,148.653,239,0.452851,10.0129,6,0.015351,0.272628,444,0.846491,18.6224,6,0.015351,0.272628,3676,54153,246677,0.21953,0.067882,165,14.7866,0.023402,165,14.7866,0.023402,674,43.9892,0.046804,674,43.9892,0.023402,?,?,?,?,?,?,?,?,?,?,?,?,?,?,289,24,289,77,8,27,45,12,60,104,1.73333,39,7,14,1.73333,20,2.64575,1.73333,11,2.82843,?,?,?,?,?,?,?,73
nurikabe,2,4,81,13,0,306,10,4,0,39,6880,2092,8972,102292,7275,409,904,12,110,5384,98078,409,10,6349,227628,0.06442,35.8526,556.548,0.02445,403,15.5232,38.8557,134,15.5232,18.4306,44734,556.548,3014.81,20948,556.548,1216.78,0,0,0,2,0.0489,0.308882,0,0,0,2,0.0489,0.308882,894,44769,272397,0.164352,0.019969,5315,-9000,0.024663,5324,-9000,0.024663,34791,-9000,0.172641,34809,-9000,0.024663,1634,5384,15,70,4.666667,-5,0,0.540864,0,0,0,6.908028,3.897658,216,?,?,?,?,?,?,?,?,93,249,2.67742,38,10,45,2.67742,40,4.47214,2.67742,14,3,?,?,?,?,?,?,?,?
grounded-strips-caldera-split,2,1,0,373,1,46,4,1138,1,5657,1195,0,1195,3848,1792,290,580,0,0,874,10729,232,4,4822,25652,0.048113,5.31978,110.569,0.017241,220,18.0819,22.3705,81,18.0819,13.6026,3811,110.569,289.302,1361,99.1078,165.562,220,1.34483,15.0992,1361,7.53879,92.1936,3811,19.8233,254.115,1361,7.53879,92.1936,464,3480,22498,0.15468,0.133333,166,7.5,0.424906,166,7.5,0.424906,754,30.0496,5.09888,754,30.0496,0.424906,288,697,17,25,1.470588,-11,0.09375,1.594771,0,4,5.656854,0.247362,0.618992,1105,455578,56,455578,39,2,17,20,17,57,456,8,19,2,36,8,26,7.34847,8,37,11,?,?,?,?,?,?,?,41
organic-synthesis-split,3,34,57,1237,1,112,101,1252,1,6310,157560,394770,552330,787924,218607,3547,7094,0,0,149165,1023281,3320,77,231251,1000841,0.014357,4.32794,301.458,0.023193,1226,65.8699,84.2202,2016,65.8699,131.213,40020,301.458,885.438,15778,281.974,1117.82,913,1.48313,18.5717,15778,5.24187,273.805,40020,14.3413,694.719,15778,5.24187,273.805,6640,371057,1246390,0.297705,0.017895,4903,55.8821,1.98658,4903,55.8821,1.98658,17669,197.502,7.69474,17669,197.502,1.98658,?,?,?,?,?,?,?,?,?,?,?,?,?,?,20,20,20,5,4,4,4,3,81,8,0.098765,5,76,0,0.098765,4,0,0.098765,2,0,?,?,?,?,?,?,?,5
